ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
-0.013109,-0.056462,0.018935,-0.947407,0.132504,0.058605,-0.055968,0.051579,-0.997099
-0.008821,-0.045303,-0.023323,-0.787458,-0.109278,0.007511,-0.055785,0.060303,-0.996620
-0.006008,-0.027515,-0.063246,-0.671340,-0.421583,-0.085324,-0.058430,0.067539,-0.996004
-0.009731,-0.017213,-0.121165,-0.627481,-0.735654,-0.251593,-0.064381,0.073930,-0.995183
-0.016678,0.002110,-0.259349,-0.488319,-0.983975,-0.431975,-0.073288,0.079403,-0.994145
-0.015189,0.073501,-0.485995,-0.108399,-1.112527,-0.544549,-0.084237,0.082139,-0.993055
-0.017995,0.191600,-0.739880,0.471515,-1.151700,-0.555960,-0.096064,0.079930,-0.992161
-0.017365,0.337122,-0.971870,1.216331,-1.041606,-0.439706,-0.107498,0.071082,-0.991661
-0.019718,0.467991,-1.167760,2.073128,-0.761142,-0.240948,-0.116833,0.054333,-0.991664
-0.026480,0.505381,-1.288758,2.914757,-0.243929,-0.021734,-0.122034,0.029226,-0.992096
-0.033957,0.474180,-1.320776,3.569709,0.391111,0.183047,-0.121316,-0.003187,-0.992609
-0.043437,0.456876,-1.208525,3.986624,0.999914,0.351589,-0.114385,-0.040739,-0.992601
-0.055261,0.423321,-0.977646,4.211321,1.510664,0.495180,-0.102072,-0.081234,-0.991455
-0.068213,0.387946,-0.702523,4.341009,1.906926,0.622658,-0.085550,-0.123344,-0.988670
-0.084141,0.369688,-0.423479,4.341337,2.170057,0.713223,-0.066265,-0.165983,-0.983900
-0.129996,0.315308,-0.117930,4.148925,2.386582,0.691150,-0.045099,-0.207581,-0.977178
-0.165305,0.213780,0.182598,3.790334,2.460115,0.559513,-0.022668,-0.246296,-0.968929
-0.154461,0.111289,0.511619,3.352223,2.255159,0.392275,-0.000920,-0.280891,-0.959739
-0.122154,0.035956,0.806442,2.926092,1.934703,0.272496,0.018257,-0.311026,-0.950226
-0.098619,0.014863,0.993734,2.558142,1.554757,0.231300,0.034075,-0.337114,-0.940847
-0.086157,0.037061,1.128690,2.205462,1.124171,0.226378,0.045904,-0.359647,-0.931958
-0.072763,0.049756,1.234564,1.801140,0.703856,0.240438,0.053552,-0.378507,-0.924048
-0.060984,0.046072,1.304911,1.298748,0.350983,0.250866,0.057429,-0.393057,-0.917719
-0.045600,0.026998,1.330488,0.735206,0.084025,0.231744,0.058417,-0.402562,-0.913527
-0.026668,0.007469,1.326774,0.222909,-0.138064,0.191494,0.057308,-0.407035,-0.911613
