ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
-0.021254,0.030592,-0.105439,-0.392505,-1.006178,-0.236763,-0.228060,0.085238,-0.969909
-0.010373,0.068080,-0.208351,-0.355119,-1.098681,-0.155517,-0.238528,0.088338,-0.967110
-0.015803,0.103769,-0.305015,-0.397810,-1.097016,-0.063560,-0.249364,0.091696,-0.964059
-0.044307,0.149581,-0.449446,-0.470033,-1.004295,0.043275,-0.259572,0.095857,-0.960955
-0.070677,0.203319,-0.630605,-0.520847,-0.846407,0.143155,-0.268465,0.100926,-0.957988
-0.098025,0.228057,-0.846531,-0.451323,-0.583610,0.220833,-0.275205,0.106202,-0.955502
-0.134161,0.233984,-1.060196,-0.197364,-0.345146,0.209997,-0.279352,0.110086,-0.953857
-0.165640,0.229406,-1.195018,0.375055,-0.221896,0.097449,-0.281839,0.109919,-0.953145
-0.183074,0.214030,-1.257706,1.286786,-0.128492,-0.038736,-0.283525,0.102178,-0.953506
-0.186380,0.202844,-1.285862,2.313514,0.143430,-0.125895,-0.283713,0.084646,-0.955166
-0.175752,0.233645,-1.310154,3.216718,0.801393,-0.106646,-0.279510,0.057554,-0.958416
-0.176447,0.303265,-1.280371,3.829208,1.789042,0.050873,-0.267157,0.023228,-0.963373
-0.203952,0.366201,-1.135218,4.116036,2.898488,0.240979,-0.244366,-0.015203,-0.969564
-0.274022,0.422167,-0.835328,4.103481,3.910599,0.435084,-0.211055,-0.054811,-0.975936
-0.324241,0.410197,-0.428249,3.819092,4.583891,0.539982,-0.169335,-0.093013,-0.981160
-0.350206,0.314563,0.037554,3.356819,4.741215,0.492425,-0.123488,-0.127764,-0.984087
-0.354799,0.132609,0.490798,2.900729,4.393695,0.236714,-0.078536,-0.158274,-0.984267
-0.334813,-0.028369,0.849546,2.621937,3.731292,-0.169476,-0.038280,-0.185407,-0.981916
-0.300681,-0.086425,1.075965,2.522105,2.894033,-0.574737,-0.004831,-0.210740,-0.977530
-0.248748,-0.025615,1.206841,2.494553,2.114125,-0.862233,0.021194,-0.235188,-0.971719
-0.172446,0.060899,1.235096,2.506842,1.547904,-1.027307,0.041297,-0.259263,-0.964924
-0.089619,0.131622,1.235458,2.363299,1.137730,-1.005145,0.056981,-0.282424,-0.957596
-0.053153,0.220332,1.208511,2.012105,0.950402,-0.849957,0.069587,-0.302928,-0.950470
-0.047313,0.251925,1.136572,1.545756,1.001298,-0.630169,0.081096,-0.319354,-0.944159
-0.046885,0.219234,1.081233,1.053714,1.159113,-0.399195,0.092997,-0.331218,-0.938960
