ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
-0.075864,0.284421,0.285276,4.172709,0.937714,1.707859,0.359326,-0.339398,-0.869306
-0.130295,0.177091,0.501442,4.131729,0.528880,1.559608,0.359772,-0.381406,-0.851524
-0.159561,0.033420,0.740465,3.886574,-0.038630,1.267728,0.356217,-0.420612,-0.834383
-0.199378,-0.098707,0.989476,3.426140,-0.601639,0.896003,0.348700,-0.454989,-0.819386
-0.265017,-0.214366,1.131839,2.718146,-0.882653,0.499804,0.339175,-0.482656,-0.807468
-0.296328,-0.272663,1.141939,1.800914,-0.792231,0.184017,0.330584,-0.502117,-0.799120
-0.313816,-0.220611,1.117949,0.789256,-0.471845,0.000493,0.325016,-0.512787,-0.794616
-0.339059,-0.115438,1.126413,-0.125307,-0.075177,-0.092535,0.323083,-0.515193,-0.793847
-0.349548,-0.044561,1.162125,-0.858610,0.153155,-0.161819,0.324234,-0.510767,-0.796234
-0.348777,-0.024406,1.240906,-1.422651,-0.003541,-0.273146,0.326087,-0.500801,-0.801789
-0.320178,-0.039918,1.278800,-1.792657,-0.361393,-0.397610,0.326342,-0.486571,-0.810401
-0.270687,-0.035337,1.204114,-2.046031,-0.873632,-0.486381,0.323498,-0.469347,-0.821622
-0.228405,-0.003410,1.119820,-2.312292,-1.549389,-0.572524,0.315899,-0.449517,-0.835549
-0.188954,-0.003055,1.014137,-2.631273,-2.202551,-0.687145,0.302662,-0.426617,-0.852287
-0.185804,-0.019230,0.808348,-3.005423,-2.609834,-0.816607,0.284757,-0.399974,-0.871168
-0.218505,0.014149,0.507242,-3.329813,-2.631235,-0.953381,0.264724,-0.369388,-0.890771
-0.254031,0.087896,0.132974,-3.495540,-2.186924,-1.071764,0.246234,-0.335775,-0.909189
-0.257796,0.155214,-0.290072,-3.484060,-1.284844,-1.081404,0.233489,-0.300890,-0.924634
-0.225372,0.227804,-0.655369,-3.390004,-0.156853,-0.984875,0.229644,-0.266287,-0.936138
-0.171719,0.280593,-0.861570,-3.277653,0.964564,-0.824723,0.235821,-0.232619,-0.943545
-0.094782,0.290866,-0.910270,-3.114386,1.820886,-0.631429,0.250879,-0.200411,-0.947045
-0.010627,0.256992,-0.806966,-2.873359,2.269095,-0.487046,0.271629,-0.170384,-0.947200
0.058510,0.201495,-0.654389,-2.508823,2.361200,-0.414096,0.294563,-0.143420,-0.944809
0.117763,0.168073,-0.508902,-2.038341,2.050668,-0.394363,0.316273,-0.120587,-0.940973
0.152950,0.151489,-0.341608,-1.520769,1.415736,-0.429739,0.333195,-0.102432,-0.937277
