ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
0.017693,0.225956,-0.035158,5.918007,-2.921549,-1.292388,0.030616,-0.830875,-0.555616
0.027306,0.236759,0.101901,5.830688,-2.664858,-1.248099,0.026497,-0.861912,-0.506366
0.022244,0.234776,0.229475,5.681096,-2.356418,-1.165119,0.024982,-0.889485,-0.456282
0.001203,0.247493,0.333177,5.460431,-2.015388,-1.018660,0.025409,-0.913401,-0.406266
0.001691,0.278591,0.420806,5.099380,-1.671916,-0.877845,0.027103,-0.933468,-0.357635
0.032077,0.302815,0.493850,4.655767,-1.383822,-0.786267,0.029828,-0.949665,-0.311843
0.062307,0.310085,0.609060,4.124259,-1.153808,-0.680208,0.033198,-0.962306,-0.269934
0.054547,0.298170,0.734911,3.364546,-0.962600,-0.535414,0.036441,-0.971617,-0.233737
0.034760,0.275227,0.818288,2.413901,-0.834866,-0.422973,0.039138,-0.977834,-0.205693
0.036889,0.241646,0.908084,1.423701,-0.763098,-0.352142,0.041374,-0.981468,-0.187106
0.040539,0.216193,0.980747,0.457570,-0.679586,-0.286777,0.043216,-0.983054,-0.178150
0.043406,0.200217,0.978484,-0.431162,-0.458426,-0.182178,0.044546,-0.982962,-0.178328
0.049242,0.192709,0.908078,-1.192691,-0.150250,-0.031957,0.045072,-0.981405,-0.186581
0.052104,0.195011,0.829206,-1.805701,0.254709,0.159830,0.044576,-0.978488,-0.201429
0.078768,0.207616,0.729530,-2.302736,0.718516,0.415102,0.042829,-0.974232,-0.221443
0.126215,0.196143,0.632489,-2.744796,1.115466,0.670235,0.039663,-0.968528,-0.245725
0.159256,0.150266,0.565733,-3.213213,1.403828,0.882411,0.035431,-0.961042,-0.274123
0.174038,0.126153,0.505180,-3.728692,1.572785,1.077165,0.030354,-0.951226,-0.306999
0.162311,0.095378,0.447449,-4.240603,1.666337,1.247420,0.024609,-0.938487,-0.344437
0.145759,0.059099,0.387642,-4.719706,1.692967,1.385248,0.018456,-0.922304,-0.386025
0.142460,0.047112,0.332437,-5.149631,1.626728,1.468061,0.012173,-0.902229,-0.431085
0.146186,0.049436,0.288947,-5.540586,1.470761,1.480575,0.006035,-0.877897,-0.478812
0.127853,0.059549,0.253206,-5.922553,1.330357,1.456328,0.000337,-0.848902,-0.528551
0.091077,0.089777,0.177599,-6.280731,1.346719,1.474674,-0.004483,-0.814829,-0.579684
0.077437,0.156013,0.040203,-6.523917,1.431501,1.534260,-0.008040,-0.775673,-0.631084
