ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
-0.321466,0.406096,-1.125409,1.021606,-0.638914,-1.048303,-0.518988,0.463975,-0.717898
-0.300722,0.475442,-1.182608,2.003663,0.521546,-0.947197,-0.524061,0.447807,-0.724451
-0.259311,0.507990,-1.100220,3.055213,1.673673,-0.712282,-0.519635,0.424688,-0.741363
-0.197838,0.543818,-0.887193,3.961863,2.612853,-0.343322,-0.505439,0.395192,-0.767043
-0.138326,0.581574,-0.573953,4.580653,3.241246,0.116446,-0.482722,0.360809,-0.797995
-0.098647,0.575198,-0.216462,4.839841,3.574001,0.561096,-0.453447,0.323652,-0.830443
-0.085469,0.512243,0.185477,4.748674,3.472378,0.796679,-0.421092,0.285746,-0.860831
-0.069892,0.395246,0.644069,4.404640,2.850868,0.710146,-0.390908,0.248584,-0.886226
-0.033688,0.213864,1.125702,3.919409,1.749758,0.330457,-0.368777,0.213062,-0.904770
0.037212,0.019337,1.507714,3.336193,0.527213,-0.207412,-0.358257,0.180034,-0.916100
0.104589,-0.128559,1.631863,2.709512,-0.424227,-0.776767,-0.358846,0.150303,-0.921216
0.141118,-0.245663,1.528624,2.104803,-0.934230,-1.294897,-0.366810,0.124218,-0.921965
0.158002,-0.316436,1.328279,1.570938,-1.162626,-1.731816,-0.378309,0.101562,-0.920091
0.167089,-0.315169,1.181217,1.170049,-1.270469,-2.021982,-0.391378,0.081664,-0.916599
0.191811,-0.261852,1.068883,0.884398,-1.231819,-2.064462,-0.404458,0.064022,-0.912313
0.237166,-0.164018,0.968090,0.639125,-1.199702,-1.875695,-0.416640,0.048875,-0.907757
0.287623,-0.049012,0.956343,0.371907,-1.338979,-1.573295,-0.428828,0.036912,-0.902632
0.335310,0.017624,0.979965,0.081042,-1.625519,-1.233112,-0.442640,0.028701,-0.896240
0.359642,0.026952,0.981190,-0.212083,-1.961223,-0.895885,-0.459007,0.024470,-0.888096
0.361192,0.019523,0.941264,-0.513136,-2.286469,-0.578183,-0.478074,0.024209,-0.877986
0.330355,0.034277,0.862594,-0.852251,-2.534103,-0.261920,-0.499392,0.028101,-0.865920
0.266166,0.083115,0.740516,-1.249951,-2.605831,0.095059,-0.521736,0.036712,-0.852317
0.209900,0.152900,0.577433,-1.723621,-2.491993,0.503977,-0.543351,0.050896,-0.837962
0.174956,0.212713,0.407557,-2.263496,-2.234078,0.937041,-0.562728,0.071528,-0.823542
0.138771,0.252736,0.245369,-2.827983,-1.855836,1.357314,-0.578575,0.099040,-0.809593
