ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
0.121927,0.500367,-0.492968,6.969922,-5.562874,-2.832221,-0.320429,-0.647523,-0.691404
0.126145,0.403479,-0.389674,7.164985,-4.930170,-2.819163,-0.336091,-0.703711,-0.625966
0.139694,0.352848,-0.195525,7.322176,-4.045602,-2.760545,-0.342407,-0.756412,-0.557313
0.197370,0.339080,-0.046907,7.342305,-3.050961,-2.577101,-0.340055,-0.804198,-0.487471
0.206036,0.340849,0.123710,7.125760,-2.149455,-2.247869,-0.331799,-0.845427,-0.418525
0.208589,0.334110,0.313333,6.605240,-1.442877,-1.857543,-0.320955,-0.878879,-0.352930
0.270548,0.331061,0.486865,5.812701,-1.086539,-1.512124,-0.309900,-0.904441,-0.293170
0.325798,0.316280,0.708932,4.793175,-1.167957,-1.255018,-0.300194,-0.922954,-0.240915
0.342065,0.231575,0.937373,3.598820,-1.432157,-1.042567,-0.292290,-0.935661,-0.197749
0.376223,0.135767,1.051088,2.327504,-1.661299,-0.773284,-0.286471,-0.943735,-0.165223
0.383347,0.075590,1.076539,1.122617,-1.745441,-0.423425,-0.283402,-0.948133,-0.143967
0.392930,0.052092,1.045586,0.072920,-1.603740,-0.024595,-0.283586,-0.949599,-0.133568
0.395731,0.046665,0.949229,-0.782646,-1.292485,0.366012,-0.287180,-0.948612,-0.132899
0.398853,0.064650,0.831823,-1.451159,-0.879100,0.738458,-0.293934,-0.945449,-0.140462
0.402176,0.102507,0.716060,-1.977521,-0.479457,1.102664,-0.303680,-0.940123,-0.154750
0.371409,0.133029,0.630450,-2.415573,-0.089612,1.426497,-0.316081,-0.932529,-0.174594
0.351203,0.134688,0.544284,-2.788300,0.303142,1.685710,-0.330436,-0.922560,-0.199237
0.324454,0.111837,0.462581,-3.102953,0.686445,1.900364,-0.345908,-0.910116,-0.228115
0.289955,0.100624,0.392170,-3.367556,1.064169,2.086670,-0.361854,-0.895058,-0.260639
0.270213,0.110741,0.325523,-3.599468,1.404760,2.257206,-0.377741,-0.877221,-0.296303
0.242893,0.103628,0.278728,-3.815834,1.709495,2.424962,-0.393192,-0.856375,-0.334697
0.217230,0.102669,0.235242,-4.034451,1.933888,2.575432,-0.407919,-0.832268,-0.375409
0.193964,0.098349,0.209873,-4.266387,2.070912,2.694431,-0.421625,-0.804709,-0.417942
0.178747,0.098130,0.188773,-4.516584,2.127634,2.789455,-0.434088,-0.773469,-0.461859
0.142421,0.092328,0.157002,-4.742189,2.086076,2.875497,-0.445338,-0.738369,-0.506443
