ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
-0.008155,0.675002,-0.766986,5.123558,0.927840,0.579949,-0.471368,0.347002,-0.810804
0.002681,0.691698,-0.642927,5.467104,1.595897,1.250209,-0.457805,0.307447,-0.834201
-0.003877,0.677516,-0.425911,5.778995,2.036250,1.853769,-0.437697,0.266575,-0.858696
-0.033191,0.629748,-0.154623,6.047363,2.188988,2.297830,-0.413861,0.223706,-0.882426
-0.084175,0.546773,0.161405,6.232448,1.989827,2.489679,-0.390023,0.178218,-0.903394
-0.158310,0.435225,0.495533,6.259732,1.460087,2.387879,-0.370178,0.130220,-0.919789
-0.223602,0.271969,0.792556,6.074560,0.635278,1.946448,-0.357941,0.080692,-0.930251
-0.221610,0.030682,1.045885,5.627672,-0.359976,1.168950,-0.355676,0.031330,-0.934084
-0.159866,-0.246606,1.221874,4.928921,-1.318272,0.211246,-0.363556,-0.015830,-0.931438
-0.072524,-0.472334,1.292789,4.063775,-2.057296,-0.692999,-0.379335,-0.058809,-0.923389
0.005404,-0.580114,1.261792,3.148688,-2.483667,-1.324353,-0.399675,-0.096125,-0.911603
0.041704,-0.544462,1.165679,2.286394,-2.554057,-1.576822,-0.421113,-0.126910,-0.898085
0.058444,-0.405978,1.056869,1.522316,-2.375012,-1.488591,-0.441165,-0.150663,-0.884689
0.083248,-0.249317,0.980602,0.825957,-2.032432,-1.160741,-0.458569,-0.167065,-0.872814
0.117806,-0.134590,0.918530,0.151262,-1.605084,-0.701837,-0.472878,-0.175713,-0.863430
0.153748,-0.073633,0.871868,-0.542863,-1.108597,-0.203888,-0.483856,-0.176230,-0.857220
0.170221,-0.065068,0.826807,-1.294358,-0.555776,0.278939,-0.491098,-0.168178,-0.854716
0.170597,-0.071832,0.793311,-2.128325,-0.035576,0.710150,-0.494404,-0.151037,-0.856010
0.165031,-0.074047,0.771492,-3.017011,0.378254,1.061531,-0.494086,-0.124409,-0.860466
0.154443,-0.079099,0.750448,-3.877823,0.686093,1.306567,-0.490686,-0.088534,-0.866827
0.134514,-0.073188,0.718339,-4.657816,0.861096,1.434229,-0.484733,-0.044366,-0.873536
0.112153,-0.049269,0.666522,-5.324540,0.829309,1.451217,-0.477448,0.006697,-0.878635
0.073393,-0.004483,0.610856,-5.849776,0.632145,1.363612,-0.470427,0.062970,-0.880189
0.038047,0.043860,0.537235,-6.197334,0.354842,1.124804,-0.464881,0.122231,-0.876895
0.012257,0.064936,0.413966,-6.334886,0.040215,0.717240,-0.461704,0.181722,-0.868220
