ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
-0.047987,0.714325,-1.167769,5.329672,1.098766,-0.121923,-0.625642,-0.119675,-0.770876
0.020023,0.837480,-1.104614,6.496200,1.767451,0.519958,-0.614963,-0.164628,-0.771180
0.027424,0.929836,-0.953157,7.039490,2.616236,1.160613,-0.599628,-0.212246,-0.771620
-0.067139,0.971143,-0.729380,7.087079,3.547591,1.616819,-0.579040,-0.258923,-0.773092
-0.191630,0.929593,-0.442037,6.800352,4.342122,1.792047,-0.553030,-0.303296,-0.775996
-0.288985,0.768362,-0.053152,6.266519,4.622268,1.673579,-0.523331,-0.344992,-0.779169
-0.330039,0.515229,0.463309,5.596862,4.163527,1.300908,-0.494011,-0.383835,-0.780143
-0.269299,0.200715,1.005268,4.888451,3.235605,0.755701,-0.469074,-0.419816,-0.776997
-0.132646,-0.111683,1.389728,4.146636,2.212234,0.292820,-0.450103,-0.452602,-0.769779
-0.038451,-0.231124,1.562312,3.383811,1.262109,0.040556,-0.437547,-0.480881,-0.759807
-0.023048,-0.154387,1.608211,2.609619,0.618214,-0.082773,-0.430474,-0.503740,-0.748958
-0.031356,-0.057865,1.533933,1.826286,0.380740,-0.118962,-0.426362,-0.520810,-0.739576
-0.038455,-0.001419,1.429884,1.032518,0.405257,-0.143860,-0.422864,-0.531937,-0.733641
-0.056957,-0.003744,1.361646,0.285360,0.587962,-0.260533,-0.418201,-0.537592,-0.732190
-0.067225,-0.057742,1.319888,-0.420708,0.820320,-0.441652,-0.411107,-0.538556,-0.735492
-0.062513,-0.089569,1.303629,-1.178580,1.022038,-0.638162,-0.401323,-0.534851,-0.743555
-0.064058,-0.086695,1.278374,-1.993936,1.214188,-0.821142,-0.388991,-0.525808,-0.756447
-0.055097,-0.055887,1.214221,-2.869807,1.347647,-0.971583,-0.374392,-0.510565,-0.774051
-0.070629,-0.040600,1.162573,-3.846886,1.237960,-1.081729,-0.358891,-0.487904,-0.795706
-0.061427,-0.041861,1.154431,-4.855816,1.005408,-1.118229,-0.344518,-0.456399,-0.820370
-0.021941,0.017059,1.084904,-5.855337,0.695724,-1.124821,-0.332414,-0.415298,-0.846775
-0.012806,0.096375,0.969879,-6.602958,0.407350,-1.053115,-0.323345,-0.364762,-0.873153
0.030646,0.225400,0.699891,-7.146341,-0.049867,-0.979193,-0.318381,-0.306623,-0.897004
-0.034917,0.303111,0.549507,-7.203173,-0.493580,-0.971350,-0.318141,-0.243968,-0.916114
-0.099909,0.318093,0.248710,-6.835652,-0.932098,-1.146527,-0.322546,-0.181954,-0.928901
