ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
0.004735,0.062686,-0.101992,1.426587,-2.131287,-0.263533,0.478175,0.026440,-0.877866
0.038493,0.070182,-0.145857,1.511701,-2.338244,-0.313439,0.458242,0.014779,-0.888705
0.060985,0.062251,-0.170162,1.669121,-2.549846,-0.328921,0.436269,0.001989,-0.899814
0.099164,0.069514,-0.214329,1.937659,-2.898096,-0.306037,0.411578,-0.013011,-0.911282
0.140449,0.072991,-0.249566,2.317557,-3.397511,-0.305878,0.382684,-0.031365,-0.923347
0.185175,0.079360,-0.265366,2.818928,-4.072031,-0.384624,0.348013,-0.054091,-0.935928
0.238785,0.094345,-0.238768,3.416606,-4.850111,-0.600865,0.306060,-0.082016,-0.948473
0.271157,0.126967,-0.181431,4.092113,-5.473571,-0.861849,0.257041,-0.115920,-0.959423
0.332051,0.215777,-0.286689,4.882246,-5.728408,-1.009571,0.203883,-0.157138,-0.966302
0.453519,0.307483,-0.514592,5.756053,-5.725733,-1.029387,0.149951,-0.207019,-0.966777
0.524084,0.389491,-0.610092,6.615716,-5.715354,-1.049766,0.096995,-0.265743,-0.959152
0.502546,0.495737,-0.504410,7.297933,-5.791702,-1.256378,0.045397,-0.331659,-0.942306
0.408080,0.562673,-0.263010,7.610942,-5.808126,-1.546461,-0.003753,-0.401357,-0.915914
0.292532,0.566919,-0.118569,7.459906,-5.651039,-1.691879,-0.048452,-0.470194,-0.881232
0.140888,0.559626,-0.033867,6.955143,-5.377189,-1.642653,-0.087894,-0.533976,-0.840919
0.078292,0.468935,0.089635,6.241663,-4.742786,-1.447800,-0.121047,-0.590074,-0.798223
0.086941,0.264530,0.027558,5.610081,-3.934570,-1.245465,-0.146664,-0.638095,-0.755860
0.094576,0.092927,0.053967,5.224266,-3.342049,-1.115655,-0.165636,-0.679918,-0.714337
0.125228,0.031672,0.225134,4.915109,-2.929120,-0.943113,-0.180221,-0.717112,-0.673254
0.139935,0.036050,0.292297,4.527040,-2.529618,-0.669193,-0.192181,-0.749703,-0.633255
0.133996,0.071009,0.296769,4.063885,-2.124900,-0.323565,-0.202767,-0.777247,-0.595628
0.129265,0.084804,0.334827,3.605133,-1.745458,-0.075546,-0.212517,-0.799938,-0.561191
0.121212,0.006379,0.410777,3.141990,-1.440433,0.008369,-0.221005,-0.818528,-0.530254
0.122137,-0.037044,0.481409,2.640138,-1.223017,0.037560,-0.228094,-0.833516,-0.503214
0.111551,-0.009200,0.529534,2.104961,-1.045192,0.065208,-0.234140,-0.845140,-0.480538
