ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
-0.214156,0.595079,-0.745951,7.237535,2.453882,-0.430935,-0.508088,-0.110109,-0.854238
-0.174580,0.672562,-0.588065,7.807478,2.912761,-0.214420,-0.484508,-0.176529,-0.856790
-0.202210,0.772460,-0.386119,8.219476,3.241435,-0.002209,-0.457687,-0.246154,-0.854360
-0.268086,0.864949,-0.102659,8.348835,3.363579,0.156304,-0.429576,-0.316822,-0.845629
-0.294613,0.908113,0.184969,8.157459,3.312886,0.214009,-0.401997,-0.385789,-0.830401
-0.288308,0.860424,0.467706,7.688180,3.012413,0.144365,-0.376533,-0.450558,-0.809457
-0.222817,0.693132,0.812196,6.978432,2.347021,-0.017247,-0.355231,-0.509264,-0.783876
-0.048574,0.467505,1.218736,5.919259,1.533935,-0.143948,-0.339655,-0.559698,-0.755891
0.152077,0.255838,1.558360,4.590936,0.681345,-0.149450,-0.330513,-0.599527,-0.728923
0.295609,0.135287,1.712764,3.264191,-0.023286,-0.087646,-0.327500,-0.628192,-0.705775
0.327978,0.143673,1.721140,2.088181,-0.431821,-0.014193,-0.328909,-0.647045,-0.687860
0.311947,0.197771,1.613069,1.059277,-0.449599,0.095991,-0.332348,-0.657656,-0.676042
0.275140,0.238094,1.441119,0.117436,-0.155794,0.229797,-0.335580,-0.661068,-0.671100
0.234628,0.264026,1.314496,-0.760963,0.281507,0.328400,-0.337045,-0.657916,-0.673459
0.218777,0.267509,1.259910,-1.593306,0.643968,0.404620,-0.336239,-0.648627,-0.682807
0.201369,0.260835,1.259825,-2.383940,0.840224,0.486228,-0.333877,-0.633302,-0.698180
0.188264,0.249287,1.267561,-3.156225,0.860431,0.577950,-0.331086,-0.611791,-0.718397
0.181027,0.230188,1.250166,-3.914847,0.753950,0.654254,-0.328824,-0.583750,-0.742369
0.165249,0.213904,1.200837,-4.667957,0.502228,0.690207,-0.327831,-0.548895,-0.768922
0.126138,0.201027,1.135261,-5.408528,0.128637,0.681637,-0.328973,-0.506951,-0.796729
0.091949,0.184375,1.039315,-6.118583,-0.255114,0.629946,-0.332718,-0.457706,-0.824502
0.057824,0.179378,0.896142,-6.669571,-0.620759,0.456649,-0.338815,-0.401820,-0.850732
0.010078,0.182868,0.699331,-6.932619,-1.018381,0.159470,-0.347099,-0.341559,-0.873419
-0.053491,0.201786,0.480557,-6.826690,-1.462370,-0.253394,-0.357932,-0.280399,-0.890652
-0.138442,0.216356,0.225401,-6.243834,-1.901021,-0.716257,-0.372010,-0.222993,-0.901045
