ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
-0.237024,0.254547,-1.107396,3.316596,2.188281,-0.175587,-0.156683,-0.639847,-0.752361
-0.202196,0.259029,-0.918453,3.540307,2.783659,-0.108864,-0.137205,-0.665737,-0.733464
-0.186227,0.239074,-0.665455,3.558532,3.415468,-0.081432,-0.114035,-0.691757,-0.713070
-0.186590,0.258293,-0.401455,3.394227,3.855987,-0.085390,-0.087611,-0.716468,-0.692096
-0.181058,0.310161,-0.032003,3.132249,3.856400,-0.094303,-0.060305,-0.738917,-0.671092
-0.127518,0.313991,0.411034,2.884446,3.326000,-0.130615,-0.035415,-0.758937,-0.650200
-0.039772,0.262851,0.863687,2.640965,2.475998,-0.178384,-0.015449,-0.776752,-0.629617
0.032988,0.234661,1.165644,2.334788,1.586723,-0.172539,-0.001433,-0.792263,-0.610178
0.058140,0.257740,1.297506,1.935073,0.873069,-0.121027,0.007122,-0.805210,-0.592947
0.038103,0.304222,1.336019,1.446477,0.350286,-0.072486,0.011443,-0.815193,-0.579076
0.002571,0.342204,1.344966,0.887438,-0.036148,-0.059390,0.012825,-0.821955,-0.569408
-0.033239,0.339648,1.334852,0.280850,-0.286135,-0.097866,0.012472,-0.825289,-0.564573
-0.073450,0.324092,1.294934,-0.323325,-0.373833,-0.178878,0.011682,-0.825144,-0.564801
-0.099776,0.332159,1.237895,-0.927568,-0.384638,-0.249734,0.011321,-0.821554,-0.570018
-0.095973,0.351099,1.211570,-1.594789,-0.468939,-0.249172,0.010982,-0.814265,-0.580390
-0.058001,0.332543,1.207569,-2.347528,-0.642364,-0.201342,0.009569,-0.802590,-0.596455
-0.010844,0.284861,1.176775,-3.120446,-0.947533,-0.132982,0.006114,-0.785868,-0.618364
0.019295,0.253634,1.112847,-3.864818,-1.348470,-0.040700,-0.000465,-0.763643,-0.645638
0.031361,0.223045,0.990867,-4.518999,-1.796840,0.079997,-0.011082,-0.735694,-0.677223
0.012568,0.218636,0.804537,-4.950085,-2.198337,0.185544,-0.026057,-0.702492,-0.711214
-0.039882,0.231124,0.562152,-5.107265,-2.470509,0.217542,-0.044667,-0.665450,-0.745104
-0.119357,0.246889,0.291872,-5.050534,-2.534925,0.181415,-0.065274,-0.626360,-0.776796
-0.176838,0.248280,-0.003020,-4.833980,-2.342148,0.125601,-0.085704,-0.586872,-0.805131
-0.204560,0.238338,-0.253232,-4.590485,-2.008924,0.105910,-0.104278,-0.548015,-0.829943
-0.195808,0.227650,-0.410797,-4.353234,-1.676479,0.068915,-0.120339,-0.510075,-0.851670
