ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
0.023312,-0.007706,0.047716,3.338067,-3.103404,0.622916,0.546284,-0.203872,-0.812410
-0.119269,-0.057987,0.297169,3.342793,-2.812922,0.461358,0.520682,-0.234295,-0.820973
-0.242327,-0.087729,0.545221,3.256169,-2.253866,0.278386,0.498599,-0.263543,-0.825799
-0.381600,-0.148392,0.709498,3.123778,-1.376667,0.133741,0.482857,-0.291077,-0.825907
-0.467128,-0.123852,0.823165,2.865654,-0.414254,0.139232,0.475063,-0.316547,-0.821044
-0.527516,-0.105699,0.982249,2.450820,0.439578,0.219086,0.474691,-0.339324,-0.812114
-0.638551,-0.185326,1.079114,1.899502,1.050920,0.270671,0.479967,-0.358207,-0.800824
-0.711241,-0.233035,1.118495,1.314898,1.415956,0.265345,0.488966,-0.372373,-0.788829
-0.723247,-0.244791,1.179356,0.766817,1.567830,0.227429,0.499843,-0.381796,-0.777424
-0.735531,-0.260042,1.238576,0.191707,1.639087,0.176757,0.511531,-0.386595,-0.767385
-0.738462,-0.238531,1.241997,-0.532567,1.699765,0.097962,0.523786,-0.386118,-0.759316
-0.696809,-0.171769,1.208535,-1.444091,1.732461,-0.065381,0.536805,-0.378783,-0.753899
-0.631083,-0.126578,1.170366,-2.480096,1.629733,-0.267811,0.550227,-0.363030,-0.751970
-0.526460,-0.024017,1.119123,-3.458226,1.466960,-0.426987,0.563173,-0.338532,-0.753812
-0.376661,0.100650,0.959228,-4.263833,1.393132,-0.553460,0.575575,-0.306247,-0.758239
-0.195804,0.201593,0.696315,-4.813526,1.398544,-0.650628,0.588001,-0.267847,-0.763225
-0.018709,0.303684,0.443932,-4.933781,1.468868,-0.724799,0.600572,-0.225864,-0.767006
0.097952,0.381739,0.003890,-4.686964,1.789230,-0.815114,0.614877,-0.183924,-0.766875
0.218692,0.343397,-0.328648,-4.086844,1.743087,-0.904690,0.630032,-0.144636,-0.762981
0.259688,0.367885,-0.356309,-3.610104,1.509443,-0.762772,0.643556,-0.109950,-0.757461
0.303751,0.585299,-0.540102,-3.313702,0.934578,-0.416183,0.653586,-0.079760,-0.752638
0.335109,0.548597,-0.461967,-2.853565,0.154300,-0.278241,0.657933,-0.054227,-0.751122
0.405866,0.251388,-0.390577,-2.366755,-0.561367,-0.375811,0.656512,-0.032424,-0.753618
0.452683,0.214826,-0.387657,-1.931708,-1.169032,-0.557185,0.649932,-0.013014,-0.759881
0.480241,0.314703,-0.343964,-1.558003,-1.550172,-0.661534,0.639403,0.004359,-0.768859
