ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
0.222541,0.596469,-0.155822,7.107887,-4.841695,-6.719715,-0.547157,-0.055469,-0.835190
0.406734,0.535977,0.099134,6.426468,-4.989179,-6.380835,-0.581310,-0.148587,-0.800001
0.535501,0.470796,0.142170,5.815905,-4.008571,-5.457013,-0.605814,-0.232179,-0.760975
0.571962,0.368367,0.126557,5.459608,-2.190024,-3.946329,-0.616533,-0.303304,-0.726563
0.538142,0.173904,0.280272,5.297779,-0.250313,-2.343672,-0.614771,-0.361221,-0.701125
0.506184,-0.104905,0.571226,5.066339,1.200682,-1.135315,-0.604604,-0.407852,-0.684187
0.488217,-0.264538,0.896475,4.545507,1.995305,-0.476736,-0.590146,-0.445438,-0.673285
0.486051,-0.259419,1.120934,3.681748,2.290579,-0.236763,-0.573957,-0.475276,-0.666848
0.507632,-0.202135,1.207202,2.557872,2.151994,-0.194073,-0.557894,-0.497420,-0.664325
0.498045,-0.149800,1.270792,1.367078,1.687187,-0.175790,-0.544035,-0.511561,-0.665079
0.466302,-0.098791,1.315900,0.259327,1.174859,-0.089933,-0.533761,-0.517709,-0.668637
0.430925,-0.058883,1.261632,-0.683302,0.823204,0.089636,-0.527086,-0.516221,-0.675053
0.384440,-0.031278,1.130488,-1.423474,0.746611,0.313950,-0.522868,-0.507876,-0.684596
0.346962,0.007206,0.982622,-2.014014,0.908966,0.569096,-0.519402,-0.493595,-0.697557
0.300137,0.048158,0.831490,-2.531505,1.190631,0.892176,-0.515515,-0.473649,-0.714074
0.251283,0.088537,0.696242,-3.018610,1.475486,1.234054,-0.510713,-0.447943,-0.733839
0.224817,0.104265,0.601121,-3.487964,1.657429,1.538915,-0.504968,-0.416475,-0.756013
0.225632,0.104968,0.552478,-3.945847,1.735364,1.840129,-0.498566,-0.379229,-0.779498
0.244409,0.127114,0.510243,-4.405324,1.644983,2.152562,-0.492227,-0.336053,-0.802983
0.246071,0.153500,0.482784,-4.863453,1.492563,2.488037,-0.486672,-0.286679,-0.825207
0.218917,0.201990,0.383380,-5.279026,1.409575,2.786987,-0.481399,-0.231134,-0.845478
0.201092,0.243049,0.236958,-5.534967,1.311366,2.974832,-0.475491,-0.170646,-0.863011
0.193189,0.265412,0.151979,-5.555325,1.087645,3.042692,-0.469160,-0.107651,-0.876527
0.178863,0.270568,0.115938,-5.338596,0.802497,2.984404,-0.463088,-0.045104,-0.885164
0.171385,0.248073,0.071605,-4.965604,0.486226,2.819687,-0.457792,0.014409,-0.888942
