ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
0.031698,0.023807,1.072957,3.829445,-0.349071,1.040565,-0.309530,-0.720966,-0.620000
0.054984,0.064796,1.138461,3.050214,-0.615081,0.888515,-0.319633,-0.738930,-0.593143
0.051736,0.138586,1.109883,2.241912,-0.576783,0.804273,-0.329537,-0.751684,-0.571293
0.041042,0.219289,1.058349,1.432268,-0.344940,0.755895,-0.338130,-0.759465,-0.555770
0.017013,0.266130,1.019770,0.659741,-0.015842,0.675567,-0.344665,-0.762773,-0.547159
-0.032331,0.262617,1.019711,-0.049657,0.309495,0.516407,-0.348467,-0.762312,-0.545391
-0.041327,0.233369,1.049366,-0.643192,0.560008,0.273053,-0.349084,-0.758958,-0.549656
-0.040318,0.219436,1.094332,-1.135482,0.656662,0.035429,-0.346767,-0.753463,-0.558611
-0.038986,0.240642,1.149842,-1.600275,0.534309,-0.101021,-0.343018,-0.745830,-0.571030
-0.018241,0.264679,1.201875,-2.089392,0.241081,-0.155943,-0.339746,-0.735550,-0.586122
0.006763,0.274899,1.216168,-2.605302,-0.144399,-0.190166,-0.338168,-0.722104,-0.603497
0.006258,0.282413,1.167121,-3.085343,-0.544812,-0.190531,-0.338899,-0.705204,-0.622764
-0.002758,0.283649,1.031690,-3.529125,-0.934659,-0.116481,-0.342503,-0.684680,-0.643354
-0.023461,0.297430,0.871063,-3.915612,-1.310294,-0.008944,-0.349479,-0.660375,-0.664657
-0.047284,0.300139,0.693731,-4.206188,-1.656812,0.042174,-0.359729,-0.632659,-0.685812
-0.089371,0.259335,0.489593,-4.367683,-1.934071,0.003028,-0.372498,-0.602505,-0.705856
-0.151964,0.206244,0.263636,-4.401851,-2.105213,-0.064316,-0.386885,-0.571020,-0.724055
-0.210045,0.177325,0.044156,-4.306936,-2.201549,-0.122068,-0.402244,-0.539279,-0.739850
-0.237974,0.183799,-0.136838,-4.145688,-2.210759,-0.190627,-0.418047,-0.508171,-0.752993
-0.250188,0.205869,-0.289936,-3.972729,-2.053466,-0.199361,-0.433406,-0.478070,-0.763942
-0.250947,0.241770,-0.400114,-3.893791,-1.741121,-0.117031,-0.447372,-0.448450,-0.773790
-0.225624,0.260731,-0.445882,-3.978052,-1.387438,-0.047843,-0.459282,-0.418034,-0.783778
-0.180911,0.194357,-0.475433,-4.080400,-1.020336,-0.164724,-0.468503,-0.386435,-0.794464
-0.166799,0.036976,-0.598190,-3.976886,-0.535587,-0.397045,-0.473796,-0.355213,-0.805817
-0.212028,-0.050825,-0.750091,-3.675685,0.013896,-0.604111,-0.474191,-0.326311,-0.817719
