ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
-0.568786,0.337132,-1.266232,4.617651,2.523609,-1.536659,-0.666474,-0.056950,-0.743350
-0.514912,0.367748,-1.143434,5.583282,2.953321,-1.772272,-0.644359,-0.106457,-0.757277
-0.424493,0.483562,-0.885795,6.407449,3.197722,-1.844139,-0.618186,-0.164150,-0.768701
-0.322568,0.613620,-0.565251,6.977476,3.330646,-1.738055,-0.589266,-0.227237,-0.775325
-0.258169,0.743970,-0.247266,7.261559,3.497736,-1.508558,-0.558406,-0.292371,-0.776339
-0.195161,0.806083,0.028252,7.230399,3.697870,-1.243370,-0.525863,-0.356498,-0.772255
-0.105390,0.778908,0.356862,6.866576,3.551993,-1.016910,-0.493243,-0.416909,-0.763478
0.016138,0.684305,0.835330,6.123384,2.895007,-0.841188,-0.464289,-0.471048,-0.750033
0.218850,0.526043,1.409698,4.984138,1.715872,-0.670365,-0.443139,-0.516079,-0.733001
0.480600,0.325023,1.892783,3.682370,0.317886,-0.571615,-0.432458,-0.550349,-0.714210
0.624485,0.149280,2.054336,2.472884,-0.672058,-0.459944,-0.431065,-0.574329,-0.695938
0.613278,0.092221,1.903554,1.367897,-0.932964,-0.310394,-0.434704,-0.589292,-0.681005
0.583660,0.127922,1.603903,0.305974,-0.524654,-0.136882,-0.438503,-0.595955,-0.672720
0.551294,0.219907,1.369818,-0.661597,0.085463,0.066397,-0.439752,-0.594862,-0.672873
0.535268,0.285791,1.316940,-1.529189,0.516098,0.311887,-0.438680,-0.586557,-0.680816
0.539646,0.296883,1.367196,-2.399936,0.653896,0.628439,-0.437244,-0.570931,-0.694878
0.515150,0.314973,1.410925,-3.318622,0.548319,0.965406,-0.437361,-0.547181,-0.713659
0.441088,0.335211,1.382872,-4.239610,0.259756,1.272095,-0.440370,-0.514670,-0.735655
0.323145,0.343675,1.261476,-5.088277,-0.059876,1.501701,-0.446589,-0.473344,-0.759279
0.180618,0.323557,1.041897,-5.822953,-0.232875,1.584981,-0.454833,-0.423883,-0.783230
0.033138,0.279063,0.744431,-6.349175,-0.239316,1.502990,-0.462979,-0.367900,-0.806412
-0.084850,0.233157,0.434426,-6.573949,-0.125096,1.269736,-0.469273,-0.308078,-0.827569
-0.176284,0.195022,0.111892,-6.451832,0.081169,0.967749,-0.472657,-0.247757,-0.845702
-0.260747,0.201960,-0.207120,-5.987847,0.367588,0.651957,-0.472515,-0.190348,-0.860522
-0.309449,0.224788,-0.465864,-5.240267,0.641095,0.388197,-0.468978,-0.138866,-0.872225
