ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
-0.211150,0.593588,-0.219874,6.563047,1.691462,0.307327,-0.493806,-0.152991,-0.856008
-0.175400,0.586977,0.019064,6.465913,1.481922,0.453602,-0.480789,-0.207170,-0.852011
-0.114357,0.525772,0.225545,6.224695,1.164549,0.530537,-0.470619,-0.258957,-0.843480
-0.057445,0.460738,0.408218,5.913981,0.745097,0.578082,-0.464100,-0.307479,-0.830703
-0.007368,0.403183,0.599245,5.568843,0.190972,0.631422,-0.462176,-0.352173,-0.813860
0.051531,0.333979,0.783675,5.176039,-0.427581,0.668632,-0.465579,-0.392588,-0.793166
0.127739,0.228297,0.917322,4.693998,-0.985725,0.626910,-0.473885,-0.428340,-0.769388
0.214957,0.072156,0.994414,4.097350,-1.393976,0.475258,-0.485495,-0.459180,-0.743941
0.275689,-0.070394,1.028537,3.389183,-1.670406,0.285981,-0.498605,-0.484889,-0.718524
0.292953,-0.123662,1.055393,2.569462,-1.879025,0.147647,-0.512283,-0.505031,-0.694630
0.273015,-0.095211,1.065866,1.687140,-1.934977,0.120651,-0.526158,-0.519047,-0.673608
0.255487,-0.034190,1.002841,0.760009,-1.702560,0.221894,-0.539316,-0.526372,-0.657321
0.257432,0.038922,0.902649,-0.191092,-1.236909,0.403244,-0.550660,-0.526548,-0.647705
0.249908,0.090821,0.825238,-1.138580,-0.687471,0.631527,-0.559631,-0.519349,-0.645825
0.248642,0.126086,0.770681,-2.073270,-0.140603,0.894430,-0.566239,-0.504549,-0.651770
0.261503,0.152139,0.731167,-2.962743,0.338681,1.183567,-0.570677,-0.481912,-0.664898
0.270905,0.165495,0.711579,-3.761880,0.655254,1.462045,-0.573441,-0.451445,-0.683640
0.268183,0.168952,0.719481,-4.449913,0.740803,1.653871,-0.575281,-0.413642,-0.705657
0.221484,0.155124,0.717606,-5.020567,0.628907,1.667783,-0.576862,-0.369723,-0.728379
0.151036,0.104362,0.657997,-5.450953,0.373017,1.505774,-0.578648,-0.321433,-0.749565
0.076366,0.037219,0.553924,-5.722581,0.023076,1.161276,-0.581126,-0.270877,-0.767410
-0.010086,-0.026730,0.416554,-5.819315,-0.366152,0.688827,-0.584793,-0.220371,-0.780675
-0.078438,-0.058643,0.255408,-5.690681,-0.724313,0.155965,-0.589973,-0.172299,-0.788825
-0.145508,-0.050041,0.093155,-5.307402,-1.043532,-0.327359,-0.596908,-0.129006,-0.791870
-0.185016,0.017797,-0.025175,-4.716881,-1.257015,-0.653228,-0.605603,-0.092077,-0.790422
