ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
-0.191422,0.766722,-1.707736,0.966410,-0.012931,-0.749175,-0.119430,0.324968,-0.938154
-0.145391,0.980273,-2.116765,2.849274,0.526721,-0.516414,-0.119136,0.306104,-0.944514
-0.032995,1.142795,-2.211659,4.560688,1.189330,0.040915,-0.111734,0.270215,-0.956295
0.086010,1.186037,-2.104632,5.951622,1.862620,0.723301,-0.096051,0.219451,-0.970884
0.083650,1.127365,-1.755527,7.024197,2.717443,1.360799,-0.071672,0.156312,-0.985104
-0.010675,1.039091,-1.320629,7.785962,3.423603,1.868338,-0.038855,0.083178,-0.995777
-0.163202,0.938566,-0.607996,8.082920,3.558812,2.011946,-0.002585,0.003558,-0.999990
-0.283638,0.765772,0.272597,7.853446,3.003650,1.852985,0.030205,-0.077097,-0.996566
-0.356107,0.542566,1.185201,7.096264,1.523211,1.323605,0.051526,-0.152704,-0.986928
-0.356452,0.180178,2.135925,5.897797,-0.449649,0.469893,0.055122,-0.217501,-0.974502
-0.265141,-0.242280,2.631001,4.565649,-1.687315,-0.323223,0.043812,-0.268492,-0.962285
-0.174538,-0.429285,2.414853,3.296714,-1.658263,-0.737609,0.028770,-0.306097,-0.951566
-0.124013,-0.323162,1.997218,2.033157,-1.002980,-0.815145,0.018407,-0.331318,-0.943340
-0.055889,-0.147139,1.824806,0.684758,-0.151241,-0.590825,0.015392,-0.344148,-0.938789
0.010342,0.018299,1.812935,-0.777644,0.524551,-0.237152,0.018756,-0.343646,-0.938912
0.046142,0.088201,1.881384,-2.141293,0.856889,0.043069,0.025849,-0.329702,-0.943731
0.024473,0.067180,1.924976,-3.254226,0.813342,0.129517,0.033663,-0.303813,-0.952137
-0.018307,0.027193,1.858195,-4.023832,0.569017,0.094317,0.040081,-0.268618,-0.962413
-0.060040,0.001695,1.682337,-4.504866,0.145478,-0.050473,0.043561,-0.226976,-0.972926
-0.100965,-0.003901,1.461277,-4.758052,-0.323195,-0.282468,0.043012,-0.181218,-0.982502
-0.145331,0.037559,1.166848,-4.854983,-0.718674,-0.543313,0.038397,-0.133277,-0.990335
-0.159246,0.108652,0.853025,-4.838917,-1.007958,-0.761568,0.030416,-0.084558,-0.995954
-0.150478,0.195745,0.560774,-4.705485,-1.224312,-0.921771,0.019695,-0.036382,-0.999144
-0.121720,0.265986,0.307638,-4.448329,-1.401295,-0.992109,0.006593,0.009863,-0.999930
-0.075466,0.321724,0.067732,-4.046438,-1.480591,-0.957603,-0.008274,0.052636,-0.998580
