ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
-0.017873,0.376251,-0.994317,2.995225,1.269591,0.024820,-0.072764,0.119751,-0.990134
0.005717,0.421401,-0.819979,3.682644,1.546787,0.301307,-0.058528,0.086458,-0.994535
0.005661,0.428981,-0.654159,4.216091,1.791483,0.559403,-0.041534,0.046986,-0.998032
-0.010132,0.416739,-0.453359,4.563769,2.041885,0.787768,-0.022110,0.002969,-0.999751
-0.043186,0.427984,-0.248350,4.734787,2.231358,1.011068,-0.000744,-0.043783,-0.999041
-0.095878,0.450754,-0.017431,4.771461,2.229434,1.164856,0.021064,-0.091639,-0.995570
-0.167816,0.441682,0.284034,4.710243,1.824462,1.113341,0.040237,-0.139405,-0.989418
-0.216443,0.325734,0.671794,4.505701,0.928160,0.775813,0.052655,-0.185612,-0.981211
-0.206986,0.107161,1.053397,4.130869,-0.330939,0.207909,0.054657,-0.228377,-0.972037
-0.148232,-0.110384,1.327880,3.609083,-1.473988,-0.425098,0.045952,-0.266065,-0.962859
-0.082100,-0.232858,1.338270,3.008662,-2.024039,-0.854454,0.030510,-0.297735,-0.954161
-0.079815,-0.175343,1.138579,2.387488,-1.958323,-0.991472,0.014096,-0.323330,-0.946181
-0.080087,-0.031553,0.949092,1.708103,-1.404180,-0.920262,0.001168,-0.342730,-0.939433
-0.040382,0.077042,0.831780,0.917827,-0.595405,-0.680820,-0.005486,-0.355194,-0.934776
0.001783,0.146934,0.821192,0.035802,0.188237,-0.362619,-0.005415,-0.359733,-0.933039
0.032287,0.155732,0.915769,-0.857590,0.750876,-0.085780,-0.000061,-0.355866,-0.934537
0.053566,0.094120,1.051604,-1.687511,1.035900,0.074967,0.008477,-0.343829,-0.938994
0.051036,0.017695,1.134370,-2.399648,1.127184,0.152957,0.018468,-0.324396,-0.945741
0.045528,-0.020037,1.150499,-2.987692,1.015641,0.174479,0.028278,-0.298627,-0.953951
0.040314,-0.025966,1.144210,-3.484477,0.719011,0.146436,0.036285,-0.267445,-0.962890
0.033556,-0.012103,1.094721,-3.906735,0.288345,0.094169,0.040937,-0.231473,-0.971980
0.015377,0.016328,0.981628,-4.218739,-0.201700,-0.012698,0.041294,-0.191514,-0.980621
-0.007407,0.049388,0.807176,-4.355320,-0.605133,-0.161449,0.037360,-0.148906,-0.988145
-0.040892,0.088634,0.564415,-4.293013,-0.872536,-0.311126,0.030196,-0.105601,-0.993950
-0.066925,0.136942,0.339345,-4.073226,-1.025693,-0.465386,0.020966,-0.063501,-0.997762
