ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
-0.080809,0.325911,-0.071543,4.389208,1.128862,0.186574,-0.055590,0.008378,-0.998419
-0.120836,0.256048,0.321312,4.236353,0.906072,0.018608,-0.045347,-0.034963,-0.998359
-0.120008,0.130070,0.640629,3.993213,0.705682,-0.160243,-0.037280,-0.076298,-0.996388
-0.086362,0.027465,0.848483,3.729134,0.595944,-0.284069,-0.030597,-0.115019,-0.992892
-0.047671,-0.033436,1.007148,3.432424,0.553988,-0.371413,-0.024458,-0.150829,-0.988257
-0.026116,-0.045351,1.162574,3.055695,0.541407,-0.427255,-0.018364,-0.183133,-0.982917
-0.018505,-0.011200,1.320166,2.573277,0.541069,-0.450646,-0.012149,-0.211013,-0.977408
0.005145,0.028254,1.447761,1.993594,0.542151,-0.418043,-0.005847,-0.233484,-0.972343
0.041219,0.049348,1.556271,1.361559,0.477815,-0.333520,0.000132,-0.249894,-0.968273
0.077698,0.052046,1.657409,0.683617,0.259669,-0.229544,0.004516,-0.259855,-0.965637
0.089983,0.078362,1.730331,-0.027005,-0.071414,-0.113894,0.005949,-0.263039,-0.964767
0.078301,0.129712,1.717154,-0.685292,-0.375942,-0.022837,0.003867,-0.259503,-0.965735
0.059799,0.148082,1.570083,-1.234495,-0.525468,0.061751,-0.000641,-0.250118,-0.968215
0.025344,0.155079,1.343541,-1.728415,-0.615614,0.152890,-0.006484,-0.235629,-0.971821
0.010902,0.192574,1.124698,-2.130238,-0.610453,0.270817,-0.013023,-0.216622,-0.976169
-0.005661,0.240029,0.875925,-2.401847,-0.544717,0.390844,-0.019440,-0.194207,-0.980768
-0.023858,0.232920,0.635905,-2.597977,-0.369083,0.476360,-0.024833,-0.169367,-0.985240
-0.031466,0.200876,0.399022,-2.768657,-0.120292,0.505801,-0.028059,-0.142588,-0.989384
-0.055827,0.179160,0.191528,-2.907055,0.120816,0.466505,-0.028692,-0.114081,-0.993057
-0.064513,0.127528,0.032347,-2.957495,0.238706,0.360405,-0.027147,-0.084590,-0.996046
-0.081033,0.094487,-0.038011,-2.944129,0.098560,0.195177,-0.025550,-0.054859,-0.998167
-0.087137,0.104901,-0.067168,-2.816331,-0.184731,0.013844,-0.025946,-0.025815,-0.999330
-0.072305,0.112611,-0.121153,-2.577264,-0.562504,-0.151851,-0.029669,0.001327,-0.999559
-0.067311,0.122253,-0.204922,-2.279835,-0.895032,-0.261901,-0.037105,0.025697,-0.998981
-0.073267,0.154485,-0.333548,-1.981921,-1.071665,-0.318120,-0.047186,0.046962,-0.997782
