ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
0.001269,0.225686,-0.170799,2.571295,0.538578,0.187281,-0.026049,-0.043908,-0.998696
-0.014911,0.209668,0.012188,2.428442,0.698421,0.272447,-0.020017,-0.068982,-0.997417
-0.021014,0.174785,0.173258,2.217421,0.884764,0.352288,-0.012357,-0.092234,-0.995661
-0.025986,0.132950,0.328316,1.950733,1.052387,0.420917,-0.003067,-0.113052,-0.993584
-0.039382,0.097917,0.490914,1.663220,1.118634,0.443060,0.007324,-0.131105,-0.991342
-0.055396,0.061469,0.663332,1.395976,1.042859,0.411575,0.017554,-0.146353,-0.989077
-0.060348,0.011911,0.809027,1.190002,0.860428,0.349841,0.026473,-0.159250,-0.986883
-0.064577,-0.009911,0.916051,1.032999,0.614825,0.277088,0.033296,-0.170340,-0.984823
-0.068970,-0.013027,0.991274,0.913284,0.320293,0.205752,0.037536,-0.180042,-0.982942
-0.072466,-0.024783,1.064326,0.807013,-0.001375,0.114229,0.038805,-0.188596,-0.981288
-0.070675,-0.050809,1.101741,0.700420,-0.204341,0.035245,0.037548,-0.196078,-0.979869
-0.083241,-0.045904,1.070397,0.523631,-0.287085,-0.015691,0.035054,-0.202173,-0.978722
-0.094588,-0.008461,1.039258,0.257979,-0.280927,-0.045318,0.032286,-0.206046,-0.978009
-0.083805,0.012140,1.013809,-0.086225,-0.254641,-0.037322,0.029758,-0.206918,-0.977906
-0.061609,0.024553,1.002281,-0.471767,-0.270520,-0.009797,0.027261,-0.204179,-0.978554
-0.047373,0.038409,0.985815,-0.868553,-0.328164,0.010879,0.024317,-0.197573,-0.979987
-0.039224,0.060722,0.915719,-1.223780,-0.332091,0.029908,0.020960,-0.187217,-0.982095
-0.029996,0.076962,0.762426,-1.506917,-0.291883,0.067946,0.017804,-0.173687,-0.984640
-0.029706,0.094048,0.613593,-1.746737,-0.302092,0.084107,0.014737,-0.157540,-0.987403
-0.034914,0.108635,0.498236,-1.929725,-0.348892,0.055883,0.011416,-0.139228,-0.990195
-0.036176,0.100788,0.374250,-2.022799,-0.436092,0.001433,0.007474,-0.119464,-0.992810
-0.028527,0.071189,0.234477,-2.026143,-0.511334,-0.052695,0.002740,-0.099174,-0.995066
-0.021492,0.066114,0.081354,-1.943809,-0.561877,-0.094370,-0.002571,-0.079251,-0.996851
-0.006174,0.061299,-0.054145,-1.836717,-0.586404,-0.118311,-0.008276,-0.060292,-0.998146
0.010970,0.058373,-0.172214,-1.757360,-0.606257,-0.100339,-0.014190,-0.042275,-0.999005
