ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
-0.040286,0.247758,-1.051754,1.847787,0.510933,-0.169791,-0.082364,0.049652,-0.995365
0.000482,0.289901,-1.027205,2.522217,0.874833,0.064217,-0.075463,0.027604,-0.996766
0.025587,0.331410,-0.916958,3.023137,1.360220,0.352818,-0.064330,-0.000172,-0.997929
0.018468,0.375360,-0.808566,3.399270,1.873248,0.661064,-0.048193,-0.032204,-0.998319
-0.007185,0.377982,-0.612027,3.658400,2.310046,0.955274,-0.027513,-0.067373,-0.997348
-0.039373,0.357742,-0.341147,3.805098,2.480792,1.168284,-0.004236,-0.104644,-0.994501
-0.100562,0.330105,0.019357,3.844227,2.298091,1.191594,0.018332,-0.142971,-0.989557
-0.165411,0.230525,0.421470,3.763010,1.740168,0.991617,0.036825,-0.181071,-0.982780
-0.198569,0.064026,0.809130,3.573040,0.838437,0.590815,0.048072,-0.217590,-0.974856
-0.183134,-0.112055,1.130533,3.267075,-0.158854,0.086989,0.050551,-0.251226,-0.966608
-0.158599,-0.211056,1.300661,2.804956,-0.909758,-0.364710,0.045531,-0.280658,-0.958727
-0.126854,-0.205603,1.282947,2.211711,-1.166076,-0.614393,0.036720,-0.304605,-0.951771
-0.091181,-0.134867,1.145382,1.548822,-1.034989,-0.652216,0.028102,-0.322378,-0.946194
-0.069110,-0.049316,1.038182,0.853430,-0.669309,-0.568311,0.021915,-0.333634,-0.942448
-0.049041,0.009841,0.974361,0.137425,-0.206514,-0.417052,0.019469,-0.338255,-0.940853
-0.026451,0.041350,0.976326,-0.621458,0.092630,-0.251422,0.020225,-0.335921,-0.941673
-0.000391,0.045163,1.055778,-1.323465,0.119617,-0.154788,0.022043,-0.326550,-0.944923
0.009672,0.030997,1.088814,-1.801065,-0.035107,-0.126790,0.022967,-0.311484,-0.949974
-0.009466,0.027237,1.023371,-2.098021,-0.309753,-0.140800,0.021795,-0.292694,-0.955958
-0.022670,0.051047,0.922261,-2.327407,-0.631730,-0.154186,0.017650,-0.271307,-0.962331
-0.029195,0.102665,0.778571,-2.528803,-0.906617,-0.173733,0.010580,-0.247669,-0.968787
-0.027198,0.139489,0.586035,-2.647525,-1.061619,-0.179925,0.001258,-0.222283,-0.974981
-0.036960,0.165462,0.358602,-2.658410,-1.031019,-0.166092,-0.008786,-0.196147,-0.980535
-0.039643,0.176002,0.126374,-2.601921,-0.846549,-0.160655,-0.017837,-0.170127,-0.985261
-0.017825,0.174860,-0.071675,-2.469209,-0.614704,-0.141868,-0.024824,-0.144922,-0.989132
