ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
-0.008512,-0.041728,0.015005,-1.459804,-0.126441,0.231773,-0.050097,0.086742,-0.994970
-0.003189,-0.075643,0.014519,-1.764645,-0.373582,0.203410,-0.052262,0.102987,-0.993309
0.001529,-0.080704,-0.001737,-1.945529,-0.729521,0.124174,-0.057574,0.121720,-0.990893
-0.029962,-0.054592,-0.150545,-1.881117,-1.040090,-0.019971,-0.066336,0.140957,-0.987791
-0.070870,-0.019860,-0.382640,-1.590313,-1.324753,-0.195842,-0.078239,0.158197,-0.984303
-0.091182,0.031417,-0.602846,-1.158631,-1.541709,-0.390165,-0.092946,0.171601,-0.980772
-0.130468,0.114871,-0.842617,-0.645682,-1.598747,-0.573539,-0.109416,0.180021,-0.977559
-0.164209,0.245970,-1.126597,-0.013261,-1.321252,-0.712688,-0.125204,0.182619,-0.975179
-0.180444,0.385503,-1.495515,0.870258,-0.607747,-0.746694,-0.136253,0.177607,-0.974623
-0.149635,0.482965,-1.802689,1.876919,0.365873,-0.638854,-0.138711,0.163123,-0.976806
-0.089139,0.550922,-1.868351,2.717158,1.231830,-0.413503,-0.131533,0.139646,-0.981427
-0.029876,0.606352,-1.642144,3.325625,1.923040,-0.075485,-0.116165,0.109240,-0.987204
0.005098,0.677119,-1.283449,3.674968,2.455475,0.352972,-0.094087,0.074392,-0.992781
0.048648,0.675727,-0.865498,3.862807,2.685955,0.798175,-0.067874,0.037057,-0.997005
0.059903,0.591363,-0.366367,3.933599,2.686823,1.117332,-0.040631,-0.001641,-0.999173
0.026860,0.461318,0.101251,3.882660,2.447474,1.254860,-0.014882,-0.040648,-0.999063
-0.025191,0.301462,0.579732,3.742533,1.845551,1.162274,0.006163,-0.078927,-0.996861
-0.059489,0.106240,1.075036,3.502610,1.025648,0.859760,0.019588,-0.115395,-0.993127
-0.079295,-0.100774,1.441116,3.117445,0.321262,0.469384,0.025233,-0.148630,-0.988571
-0.094697,-0.254851,1.606979,2.575227,0.021905,0.128430,0.026216,-0.177033,-0.983856
-0.110610,-0.335088,1.628071,1.862087,0.058327,-0.119785,0.026427,-0.199045,-0.979634
-0.127741,-0.334566,1.622730,0.999227,0.276552,-0.265083,0.028452,-0.213118,-0.976612
-0.130849,-0.243767,1.625471,0.174858,0.405053,-0.336053,0.032598,-0.218696,-0.975248
-0.111348,-0.181317,1.666872,-0.461367,0.273156,-0.368658,0.036870,-0.217044,-0.975465
-0.083633,-0.151371,1.670273,-0.880209,-0.094360,-0.407809,0.038711,-0.210170,-0.976898
