ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
-0.013333,-0.074268,0.007428,-0.847168,-0.397966,-0.194854,0.002026,0.156453,-0.987683
-0.000698,-0.061871,-0.057142,-1.078368,-0.543863,-0.218851,-0.002964,0.166028,-0.986117
0.008946,-0.028031,-0.128719,-1.248160,-0.741950,-0.210043,-0.009664,0.177583,-0.984058
0.021801,0.026567,-0.201321,-1.349334,-0.999756,-0.167300,-0.018582,0.190428,-0.981525
0.033517,0.095218,-0.272276,-1.409896,-1.333275,-0.122235,-0.030343,0.203992,-0.978502
0.014842,0.173499,-0.380270,-1.463140,-1.573597,-0.157671,-0.045024,0.218073,-0.974893
-0.017751,0.230403,-0.592133,-1.402531,-1.616393,-0.232539,-0.061198,0.232107,-0.970763
-0.058001,0.268645,-0.854590,-1.069565,-1.286981,-0.354141,-0.076399,0.244188,-0.966714
-0.130753,0.315004,-1.228853,-0.243723,-0.418312,-0.477007,-0.085998,0.250548,-0.964277
-0.166972,0.349309,-1.538900,1.043391,0.651498,-0.545623,-0.086095,0.246440,-0.965326
-0.138992,0.372975,-1.536682,2.495219,1.355836,-0.498440,-0.077255,0.228755,-0.970414
-0.037948,0.411709,-1.240106,3.736290,1.583057,-0.297040,-0.063493,0.197712,-0.978202
0.071857,0.473760,-0.889749,4.627919,1.478671,0.034720,-0.048511,0.156108,-0.986548
0.111478,0.546539,-0.521396,5.226137,1.262692,0.371423,-0.034574,0.106934,-0.993665
0.090043,0.556562,-0.156237,5.526083,1.008544,0.597449,-0.022767,0.053011,-0.998334
0.023134,0.524708,0.173178,5.507765,0.707142,0.683125,-0.013994,-0.002506,-0.999899
-0.050791,0.432952,0.447775,5.198758,0.471624,0.608771,-0.008291,-0.056411,-0.998373
-0.090842,0.283683,0.645089,4.661086,0.278360,0.395504,-0.004952,-0.105918,-0.994363
-0.101937,0.120880,0.798333,3.978933,0.106542,0.121101,-0.003410,-0.149047,-0.988824
-0.094142,0.001753,0.897649,3.267411,0.023283,-0.128074,-0.002843,-0.184934,-0.982747
-0.079544,-0.051760,0.946523,2.618872,0.046048,-0.302634,-0.002121,-0.213880,-0.976858
-0.056846,-0.052023,0.969279,2.093173,0.138335,-0.381742,-0.000451,-0.236887,-0.971537
-0.033630,-0.021373,1.000223,1.693669,0.266677,-0.370870,0.002441,-0.255268,-0.966867
-0.005912,0.021925,1.035496,1.378270,0.390412,-0.267379,0.006537,-0.270124,-0.962803
0.022283,0.058638,1.088254,1.080911,0.418328,-0.092225,0.011043,-0.282011,-0.959347
