ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
-0.042217,0.238579,-0.765575,2.863601,1.132189,0.021860,-0.050709,0.058510,-0.996998
-0.035197,0.284457,-0.546283,3.172824,1.253096,0.069240,-0.038732,0.028165,-0.998853
-0.053713,0.315688,-0.322414,3.351213,1.420933,0.142048,-0.025328,-0.004683,-0.999668
-0.068638,0.293045,-0.082174,3.371809,1.487190,0.230782,-0.010586,-0.038544,-0.999201
-0.083907,0.285590,0.238405,3.257775,1.324794,0.284101,0.003462,-0.071875,-0.997408
-0.090581,0.228387,0.530959,3.071564,1.176972,0.298820,0.015675,-0.103646,-0.994491
-0.083817,0.135479,0.702606,2.828719,1.039443,0.307298,0.026444,-0.133190,-0.990738
-0.075703,0.082725,0.881855,2.552133,0.700418,0.286962,0.034779,-0.160026,-0.986500
-0.062723,0.043424,1.110379,2.249125,0.218486,0.180199,0.038919,-0.183896,-0.982175
-0.056566,-0.009879,1.256896,1.922241,-0.148864,0.033848,0.038926,-0.204522,-0.978088
-0.049045,-0.023809,1.281643,1.545901,-0.299427,-0.049191,0.036640,-0.221583,-0.974453
-0.037347,0.011612,1.260685,1.104797,-0.304327,-0.071545,0.033761,-0.234558,-0.971516
-0.012701,0.033225,1.253796,0.640162,-0.258131,-0.031059,0.031148,-0.243064,-0.969510
0.012499,0.037106,1.272656,0.151998,-0.249587,0.051499,0.028654,-0.246930,-0.968610
0.019644,0.060501,1.281041,-0.344707,-0.298207,0.143737,0.025781,-0.246017,-0.968922
0.036175,0.068351,1.271055,-0.809973,-0.427622,0.248151,0.021823,-0.240409,-0.970426
0.031725,0.065950,1.245003,-1.220458,-0.665109,0.323344,0.015852,-0.230516,-0.972939
-0.001688,0.070731,1.184096,-1.618339,-0.917414,0.335966,0.007318,-0.216636,-0.976225
-0.042978,0.084434,1.052795,-2.033707,-1.092604,0.297555,-0.003286,-0.198692,-0.980056
-0.069480,0.083512,0.861883,-2.434312,-1.197786,0.236057,-0.015176,-0.176591,-0.984167
-0.073039,0.073706,0.644497,-2.772485,-1.202573,0.184029,-0.027501,-0.150671,-0.988201
-0.077350,0.072524,0.404410,-3.000002,-1.081183,0.132352,-0.039166,-0.121794,-0.991782
-0.079201,0.077602,0.172236,-3.111657,-0.888916,0.089422,-0.049140,-0.091152,-0.994624
-0.078154,0.100608,-0.009014,-3.142847,-0.721074,0.040974,-0.057237,-0.059760,-0.996570
-0.075640,0.135777,-0.161788,-3.076169,-0.577238,0.004803,-0.063749,-0.028477,-0.997560
