ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
-0.028780,-0.053122,-0.089189,-0.656100,0.149474,-0.081692,-0.075773,0.072654,-0.994475
-0.020597,-0.052393,-0.158443,-0.853195,0.266864,-0.071358,-0.073702,0.080164,-0.994053
-0.009407,-0.029938,-0.203062,-1.002863,0.307015,-0.043396,-0.070824,0.089432,-0.993472
-0.004707,0.006901,-0.251507,-1.079138,0.268667,-0.024086,-0.067955,0.099849,-0.992679
-0.001129,0.048304,-0.316773,-1.094015,0.198429,-0.004362,-0.065628,0.110708,-0.991684
-0.025761,0.109394,-0.409436,-1.105407,0.099704,-0.061198,-0.064159,0.121655,-0.990497
-0.057470,0.177342,-0.551586,-1.053859,0.053869,-0.200207,-0.063563,0.132411,-0.989155
-0.085546,0.279091,-0.768737,-0.795287,0.061809,-0.387913,-0.063486,0.141609,-0.987885
-0.062233,0.401330,-1.077672,-0.024440,0.358430,-0.461980,-0.062264,0.145851,-0.987345
-0.016188,0.538612,-1.417009,1.450051,0.783472,-0.288381,-0.057038,0.138909,-0.988661
0.010689,0.659191,-1.441771,3.262572,0.819254,-0.002259,-0.049004,0.115376,-0.992112
0.085345,0.656609,-1.161771,4.865275,0.474564,0.258321,-0.042147,0.074562,-0.996325
0.140003,0.605631,-0.802094,6.069909,-0.077597,0.418820,-0.040012,0.019583,-0.999007
0.072918,0.550428,-0.384315,6.844094,-0.492776,0.424578,-0.043087,-0.045393,-0.998040
-0.049143,0.457655,-0.025890,7.130539,-0.651750,0.291116,-0.049246,-0.115507,-0.992085
-0.121570,0.354682,0.272536,6.899056,-0.699990,0.071452,-0.056210,-0.185355,-0.981063
-0.124981,0.241391,0.572955,6.231904,-0.893589,-0.173011,-0.063785,-0.249936,-0.966159
-0.091487,0.114900,0.896245,5.277662,-1.158978,-0.394410,-0.072881,-0.305711,-0.949331
-0.043899,0.016732,1.134025,4.154375,-1.249471,-0.554686,-0.082902,-0.350792,-0.932777
0.002645,-0.026505,1.190868,2.957786,-0.913632,-0.587498,-0.091070,-0.384429,-0.918652
0.031301,-0.005839,1.131105,1.766523,-0.231131,-0.446193,-0.094381,-0.406621,-0.908709
0.058650,0.053194,1.095527,0.616220,0.524203,-0.199733,-0.091670,-0.417756,-0.903923
0.073100,0.077531,1.120959,-0.448961,1.139617,0.028200,-0.083598,-0.418534,-0.904346
0.071114,0.044075,1.179284,-1.371171,1.480823,0.167812,-0.071938,-0.410057,-0.909219
0.073114,-0.019889,1.242757,-2.112809,1.500994,0.204267,-0.058816,-0.393823,-0.917303
