ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
0.019406,1.033970,-2.858553,3.807204,0.625126,-0.150078,-0.131665,0.322964,-0.937208
0.133246,1.200245,-2.830451,5.598651,1.586484,0.593285,-0.120596,0.278103,-0.952951
0.105372,1.249354,-2.387195,6.632747,2.547986,1.262632,-0.098262,0.219488,-0.970654
-0.087529,1.157197,-1.577145,6.857284,3.373585,1.440338,-0.066295,0.153716,-0.985889
-0.305803,0.915962,-0.569321,6.481536,3.608190,1.161398,-0.029448,0.087701,-0.995712
-0.359987,0.527711,0.512512,5.994046,3.305550,0.727049,0.006090,0.025191,-0.999664
-0.271996,0.084112,1.367071,5.574818,2.659069,0.413539,0.036186,-0.032995,-0.998800
-0.150020,-0.101129,2.012363,5.206370,1.602519,0.347154,0.057735,-0.087271,-0.994510
-0.043559,-0.074473,2.692557,4.554885,-0.027784,0.480379,0.065334,-0.136479,-0.988486
0.045375,-0.042846,3.225502,3.391147,-1.501199,0.703129,0.056386,-0.176560,-0.982673
0.042997,-0.055100,3.239244,1.760877,-1.837624,0.860084,0.037661,-0.202620,-0.978533
-0.074829,-0.115428,2.827169,-0.315364,-1.263452,0.773475,0.020248,-0.210179,-0.977453
-0.184223,-0.222536,2.448865,-2.379156,-0.487531,0.526605,0.010456,-0.196790,-0.980390
-0.257400,-0.222874,2.174754,-3.861721,-0.227646,0.244700,0.006607,-0.165508,-0.986186
-0.293120,-0.080343,1.945053,-4.641134,-0.591480,-0.070866,0.002730,-0.122766,-0.992432
-0.262460,0.064291,1.606981,-4.745838,-1.219393,-0.315781,-0.006140,-0.075415,-0.997133
-0.242928,0.172787,1.076161,-4.331312,-1.666820,-0.477563,-0.020622,-0.029644,-0.999348
-0.226585,0.279653,0.452194,-3.671628,-1.754988,-0.533425,-0.038017,0.010508,-0.999222
-0.193565,0.361531,-0.090561,-3.042931,-1.552508,-0.534314,-0.054894,0.043880,-0.997528
-0.140000,0.369159,-0.453703,-2.635576,-1.233573,-0.531284,-0.069213,0.071835,-0.995012
-0.092348,0.371718,-0.656591,-2.419601,-0.852065,-0.541757,-0.080107,0.096636,-0.992091
-0.043278,0.381786,-0.790955,-2.202612,-0.488425,-0.509993,-0.087337,0.119267,-0.989013
0.014796,0.349459,-0.872153,-1.894227,-0.170011,-0.434276,-0.091212,0.139250,-0.986048
0.062498,0.292702,-0.901252,-1.494348,0.107246,-0.322049,-0.092070,0.155739,-0.983498
0.083764,0.231482,-0.888747,-1.057785,0.354281,-0.199033,-0.090203,0.168130,-0.981629
