ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
0.001943,-0.031266,0.023944,-0.753232,-0.468812,-0.054931,-0.063039,0.102296,-0.992755
-0.007234,-0.007988,-0.044374,-0.859385,-0.585104,-0.082909,-0.068449,0.110238,-0.991545
-0.008006,0.014528,-0.154299,-1.046742,-0.647955,-0.112091,-0.074712,0.119627,-0.990004
-0.018001,0.051195,-0.311977,-1.222775,-0.685167,-0.169927,-0.081547,0.130858,-0.988042
-0.026877,0.102148,-0.512040,-1.209696,-0.700841,-0.228206,-0.088739,0.142924,-0.985748
-0.039115,0.178234,-0.715793,-0.919873,-0.624823,-0.266841,-0.095697,0.153416,-0.983517
-0.069515,0.290127,-0.925035,-0.336204,-0.552376,-0.317360,-0.101948,0.159519,-0.981917
-0.063901,0.370147,-1.093030,0.563560,-0.502455,-0.368422,-0.107714,0.158235,-0.981509
-0.043198,0.392166,-1.228614,1.762642,-0.378219,-0.408143,-0.112777,0.146469,-0.982765
-0.033546,0.405534,-1.351273,3.119925,-0.069893,-0.416924,-0.115594,0.121856,-0.985794
-0.016784,0.443603,-1.367783,4.391582,0.175295,-0.346061,-0.115433,0.083955,-0.989761
-0.003354,0.495108,-1.172479,5.378732,0.429249,-0.210768,-0.112613,0.034693,-0.993033
-0.007418,0.496693,-0.885458,5.961604,0.522580,-0.118853,-0.107649,-0.022419,-0.993936
-0.040980,0.487160,-0.442064,6.169475,0.286465,-0.123043,-0.103368,-0.083306,-0.991148
-0.082930,0.429692,0.050837,6.087944,-0.218068,-0.256207,-0.102678,-0.144551,-0.984156
-0.113058,0.297887,0.480365,5.766060,-0.806709,-0.516291,-0.107111,-0.203450,-0.973209
-0.103286,0.136770,0.732641,5.265656,-0.975883,-0.740376,-0.114732,-0.257879,-0.959341
-0.065226,0.031997,0.724089,4.620039,-0.430096,-0.714857,-0.119757,-0.306182,-0.944410
-0.027504,0.055069,0.665240,3.758225,0.476620,-0.494657,-0.117576,-0.346542,-0.930637
0.013009,0.123730,0.757365,2.696829,1.168455,-0.251346,-0.108345,-0.377071,-0.919825
0.047665,0.145180,0.991017,1.623964,1.472731,-0.059738,-0.095395,-0.397072,-0.912816
0.063138,0.121815,1.207156,0.732052,1.528065,0.065424,-0.081586,-0.407749,-0.909442
0.063322,0.081993,1.317331,0.025369,1.443749,0.102286,-0.068296,-0.411049,-0.909051
0.087368,0.011126,1.339918,-0.527241,1.235626,0.096663,-0.056378,-0.408617,-0.910963
0.092750,-0.016015,1.332891,-0.961300,0.931171,0.072216,-0.046745,-0.401679,-0.914587
