ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
-0.029443,0.241250,-0.679696,1.985328,0.779034,0.126417,-0.057883,0.038886,-0.997566
-0.010017,0.270177,-0.586398,2.231870,1.120636,0.311977,-0.048409,0.017772,-0.998670
-0.000897,0.275430,-0.534127,2.396164,1.499362,0.536306,-0.035205,-0.005364,-0.999366
-0.005953,0.273315,-0.407920,2.497141,1.822339,0.734635,-0.018598,-0.029800,-0.999383
-0.015021,0.250743,-0.243303,2.579657,2.064715,0.890942,0.000678,-0.055247,-0.998473
-0.036899,0.227288,-0.049094,2.637354,2.040675,0.960669,0.020816,-0.081535,-0.996453
-0.069801,0.192715,0.212624,2.678594,1.730849,0.898793,0.038979,-0.108426,-0.993340
-0.086489,0.127791,0.487600,2.681824,1.094659,0.705589,0.052279,-0.135588,-0.989385
-0.108138,0.023229,0.788644,2.596893,0.164724,0.338272,0.057845,-0.162144,-0.985070
-0.109743,-0.108210,1.041852,2.394398,-0.761735,-0.120164,0.054598,-0.186971,-0.980847
-0.083759,-0.213318,1.115570,2.086683,-1.335363,-0.497199,0.044620,-0.208923,-0.976914
-0.070280,-0.223759,1.012261,1.717559,-1.423260,-0.698625,0.032149,-0.227382,-0.973275
-0.069340,-0.167257,0.856498,1.294938,-1.115501,-0.762099,0.021290,-0.241953,-0.970054
-0.043289,-0.110780,0.749374,0.807644,-0.621673,-0.683783,0.014618,-0.252104,-0.967590
-0.005235,-0.057391,0.748551,0.276540,-0.201275,-0.497022,0.012254,-0.257321,-0.966248
0.022285,-0.019302,0.849789,-0.292345,-0.022679,-0.299229,0.012321,-0.257217,-0.966275
0.045148,-0.008894,0.959827,-0.876500,-0.009093,-0.147151,0.012866,-0.251482,-0.967777
0.057857,-0.008995,0.975685,-1.387071,-0.161185,-0.045408,0.012364,-0.240363,-0.970604
0.040071,-0.011976,0.935731,-1.777046,-0.416067,-0.043633,0.009642,-0.224825,-0.974351
0.000197,-0.006755,0.824766,-2.075560,-0.667713,-0.118269,0.004457,-0.205845,-0.978574
-0.023361,0.022775,0.655314,-2.291755,-0.829885,-0.191944,-0.002686,-0.184259,-0.982874
-0.021638,0.049417,0.455118,-2.406364,-0.925149,-0.221644,-0.011031,-0.160943,-0.986902
-0.023710,0.095002,0.252485,-2.397403,-0.933192,-0.215362,-0.020022,-0.136994,-0.990369
-0.009183,0.146785,0.034700,-2.215275,-0.849954,-0.151084,-0.028705,-0.113932,-0.993074
0.008136,0.168004,-0.150820,-1.906750,-0.762362,-0.062381,-0.036654,-0.093312,-0.994962
