ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
-0.002199,-0.021617,-0.017503,-1.290402,-1.108206,-0.361506,-0.093488,0.329464,-0.939528
0.001199,0.001935,-0.112996,-1.350350,-1.101724,-0.371343,-0.105126,0.341495,-0.933986
-0.011790,0.054073,-0.201902,-1.461810,-1.126027,-0.376671,-0.116842,0.354237,-0.927828
-0.005809,0.100707,-0.306034,-1.543427,-1.217834,-0.360526,-0.129033,0.367799,-0.920910
-0.024617,0.191501,-0.481146,-1.439072,-1.305065,-0.335713,-0.142055,0.381253,-0.913491
-0.085886,0.354350,-0.768014,-1.014916,-1.201475,-0.321803,-0.154928,0.392187,-0.906745
-0.126032,0.514145,-1.082573,-0.289950,-0.991435,-0.279282,-0.166128,0.397766,-0.902321
-0.162539,0.611199,-1.350484,0.657648,-0.676508,-0.225215,-0.174833,0.395789,-0.901545
-0.148199,0.644750,-1.623813,1.808331,-0.084442,-0.173422,-0.179193,0.384333,-0.905637
-0.094260,0.674342,-1.868756,3.112507,0.582101,-0.033128,-0.177331,0.361669,-0.915286
-0.044771,0.754540,-1.899259,4.449801,1.201037,0.282825,-0.168562,0.326729,-0.929965
0.000373,0.797486,-1.728933,5.645054,1.635733,0.726402,-0.153586,0.279770,-0.947703
0.010747,0.775661,-1.376859,6.621628,1.930512,1.186247,-0.133870,0.221959,-0.965822
-0.075127,0.708321,-0.887504,7.284804,1.881371,1.364472,-0.112404,0.155190,-0.981469
-0.229963,0.538161,-0.157487,7.314355,1.371323,0.996296,-0.094515,0.083467,-0.992018
-0.351658,0.271694,0.651725,6.525405,0.461049,0.236666,-0.084927,0.014348,-0.996284
-0.315842,0.011265,1.215422,5.261509,-0.085046,-0.495082,-0.083465,-0.044941,-0.995497
-0.193747,-0.206480,1.300188,4.009490,0.114709,-0.929581,-0.083200,-0.091798,-0.992296
-0.092381,-0.231322,1.202422,2.965710,0.719122,-1.070556,-0.078059,-0.127214,-0.988799
-0.018337,-0.114043,1.212255,2.147271,1.364794,-0.932430,-0.066212,-0.153245,-0.985968
0.042849,0.053792,1.356606,1.402010,1.813755,-0.629644,-0.049059,-0.171269,-0.984002
0.084262,0.181970,1.578040,0.648568,1.956614,-0.294718,-0.029406,-0.181603,-0.982932
0.107720,0.184477,1.802389,-0.120112,1.776184,-0.021911,-0.010446,-0.184248,-0.982824
0.120952,0.119165,1.955085,-0.790323,1.221601,0.092363,0.004445,-0.179620,-0.983726
0.112794,0.074483,1.982373,-1.175077,0.567332,0.115333,0.013091,-0.169698,-0.985409
