ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
-0.008185,0.190773,0.367988,3.185377,1.173352,0.218675,0.002494,-0.081001,-0.996711
-0.021011,0.174249,0.543220,3.192443,1.067754,0.242807,0.013397,-0.112985,-0.993506
-0.043791,0.140221,0.693747,3.088335,1.037019,0.252394,0.023573,-0.144432,-0.989234
-0.051881,0.074504,0.845339,2.805019,1.001867,0.256180,0.033265,-0.173854,-0.984209
-0.038209,-0.012152,0.989036,2.340073,0.912555,0.224592,0.042314,-0.199442,-0.978996
-0.003901,-0.056009,1.121874,1.800576,0.735196,0.192387,0.050028,-0.219869,-0.974246
0.015562,-0.044315,1.242085,1.333357,0.503987,0.204613,0.055666,-0.235241,-0.970342
0.016436,-0.021800,1.339497,0.943658,0.214383,0.255599,0.058622,-0.246450,-0.967381
0.005624,0.008402,1.413936,0.542633,-0.075503,0.256712,0.058616,-0.253855,-0.965465
0.007976,0.054501,1.447416,0.093970,-0.367967,0.196680,0.055897,-0.257107,-0.964765
-0.000637,0.044800,1.458230,-0.441654,-0.749363,0.147930,0.050075,-0.255570,-0.965493
-0.010372,0.012354,1.448923,-1.085085,-1.139513,0.072049,0.040584,-0.248255,-0.967844
0.024668,0.004544,1.337613,-1.742361,-1.440184,0.021841,0.027807,-0.234418,-0.971738
0.009721,0.020190,1.123177,-2.240808,-1.596377,0.032805,0.012801,-0.214816,-0.976571
-0.031464,0.045817,0.853275,-2.557723,-1.483688,0.108169,-0.002700,-0.191080,-0.981571
-0.036759,0.080060,0.616569,-2.773468,-1.168648,0.390018,-0.016356,-0.164578,-0.986229
-0.021497,0.050689,0.405384,-2.748765,-0.526690,1.160915,-0.025989,-0.137053,-0.990223
-0.005706,-0.007546,0.189381,-2.988190,-0.118653,1.241055,-0.030290,-0.108298,-0.993657
0.042197,0.251431,0.068180,-3.404064,-0.345213,0.697283,-0.033439,-0.075894,-0.996555
-0.008242,0.372215,0.089171,-3.451255,-0.332978,0.382445,-0.037397,-0.041038,-0.998457
-0.054291,0.331491,-0.049702,-3.176290,-0.191661,0.464334,-0.040009,-0.007456,-0.999171
-0.031843,0.208162,-0.185071,-2.777515,-0.318487,0.601358,-0.042376,0.022719,-0.998843
-0.015632,0.122614,-0.239219,-2.370971,-0.485434,0.630262,-0.046273,0.048834,-0.997734
0.002510,0.079423,-0.360444,-1.999709,-0.523055,0.608769,-0.051033,0.071014,-0.996169
-0.008911,0.098458,-0.465967,-1.704416,-0.407318,0.614213,-0.055313,0.089820,-0.994421
