ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
-0.009760,-0.041073,0.005869,-0.639768,-0.242440,0.022697,-0.037069,0.089520,-0.995295
-0.005948,-0.047100,-0.031514,-0.770905,-0.357290,-0.005299,-0.040042,0.096599,-0.994518
-0.006208,-0.050416,-0.098963,-0.873689,-0.491263,-0.051908,-0.044298,0.104814,-0.993505
-0.014781,-0.037483,-0.200609,-0.948501,-0.638129,-0.122933,-0.050038,0.113899,-0.992231
-0.021465,-0.015434,-0.349454,-0.944554,-0.725379,-0.202386,-0.057072,0.123314,-0.990725
-0.053477,0.046619,-0.553378,-0.767049,-0.769208,-0.277028,-0.064855,0.131833,-0.989148
-0.094481,0.164530,-0.782770,-0.306277,-0.676442,-0.348508,-0.072542,0.137151,-0.987890
-0.092639,0.240518,-1.035045,0.485528,-0.527856,-0.398602,-0.079068,0.136191,-0.987522
-0.058488,0.273424,-1.229043,1.585751,-0.313735,-0.389304,-0.083846,0.125716,-0.988517
-0.015341,0.299285,-1.345375,2.767959,0.045432,-0.266406,-0.085641,0.103716,-0.990913
0.034960,0.353136,-1.354329,3.746129,0.433635,-0.008688,-0.083330,0.070875,-0.993998
0.050272,0.439929,-1.167930,4.361738,0.686955,0.267816,-0.077585,0.030179,-0.996529
0.048352,0.449104,-0.864826,4.678302,0.848999,0.512650,-0.069791,-0.015021,-0.997449
0.009168,0.435365,-0.545791,4.744122,0.920401,0.694853,-0.061155,-0.061998,-0.996201
-0.018048,0.405046,-0.263865,4.665682,1.037284,0.798656,-0.052067,-0.108689,-0.992711
-0.046473,0.329892,-0.051913,4.516757,1.172158,0.813551,-0.042135,-0.154050,-0.987164
-0.091895,0.264383,0.158178,4.316124,1.285973,0.710164,-0.031289,-0.197503,-0.979803
-0.132524,0.217239,0.395639,4.022180,1.165197,0.491116,-0.020369,-0.238326,-0.970972
-0.145834,0.147447,0.746455,3.551342,0.706227,0.166026,-0.011958,-0.275194,-0.961314
-0.124647,0.046639,1.086890,2.919117,0.163061,-0.212220,-0.007723,-0.306374,-0.951880
-0.084500,-0.050736,1.244537,2.232324,-0.204239,-0.527282,-0.006885,-0.330963,-0.943619
-0.060262,-0.080347,1.231153,1.545912,-0.192589,-0.682897,-0.006908,-0.348867,-0.937147
-0.056999,-0.021888,1.120555,0.826719,0.178441,-0.678052,-0.004662,-0.360100,-0.932902
-0.052665,0.055880,1.039297,0.032407,0.678143,-0.563595,0.001609,-0.364184,-0.931326
-0.029073,0.119636,1.046013,-0.762157,1.107532,-0.390405,0.011815,-0.360694,-0.932609
