ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
-0.063757,0.370421,-0.793908,2.802875,1.855613,-0.123558,-0.075739,-0.035033,-0.996512
-0.070696,0.427375,-0.410321,2.913892,2.023901,0.136836,-0.056150,-0.063727,-0.996386
-0.070614,0.414478,0.022519,2.965625,1.922312,0.315217,-0.036381,-0.093098,-0.994992
-0.061623,0.332899,0.411273,2.955012,1.579216,0.348912,-0.019172,-0.122632,-0.992267
-0.075578,0.207628,0.756611,2.859603,1.171940,0.256432,-0.005858,-0.151613,-0.988423
-0.083468,0.101389,1.016730,2.641740,0.751359,0.091039,0.003344,-0.178980,-0.983847
-0.072148,0.005160,1.204263,2.277658,0.518118,-0.088578,0.009465,-0.203356,-0.979059
-0.055946,-0.041380,1.278981,1.741495,0.441203,-0.199065,0.014442,-0.223161,-0.974675
-0.044414,-0.011523,1.335711,1.117517,0.397972,-0.259124,0.019084,-0.237149,-0.971286
-0.028381,0.022482,1.389282,0.506626,0.299201,-0.285438,0.023193,-0.244970,-0.969253
-0.003184,0.050319,1.400077,0.040218,0.225248,-0.255878,0.026362,-0.247447,-0.968543
0.017092,0.079346,1.338732,-0.257367,0.125413,-0.167172,0.028685,-0.246246,-0.968783
0.039163,0.087174,1.311524,-0.439503,-0.110389,-0.093907,0.029135,-0.242752,-0.969651
0.052315,0.075193,1.302019,-0.547365,-0.386141,-0.040590,0.026863,-0.237898,-0.970919
0.042335,0.076192,1.226401,-0.685683,-0.547131,0.005598,0.022255,-0.231923,-0.972480
0.018742,0.084058,1.090131,-0.952146,-0.668417,0.037323,0.016262,-0.223996,-0.974454
-0.002250,0.110051,0.973001,-1.312580,-0.757572,0.054731,0.009101,-0.212910,-0.977029
-0.006816,0.140838,0.809639,-1.707266,-0.746505,0.121519,0.001490,-0.198073,-0.980186
-0.015796,0.186240,0.613656,-2.097884,-0.698352,0.204591,-0.005963,-0.179236,-0.983788
-0.019204,0.210621,0.436438,-2.370433,-0.668731,0.279192,-0.013099,-0.157016,-0.987509
-0.009860,0.192877,0.260074,-2.476384,-0.587000,0.364505,-0.019895,-0.132711,-0.990955
-0.012007,0.160934,0.048617,-2.380327,-0.459088,0.431683,-0.025576,-0.108275,-0.993792
-0.029479,0.140901,-0.130864,-2.137384,-0.318018,0.435081,-0.029939,-0.085465,-0.995891
-0.034088,0.095509,-0.292420,-1.797853,-0.167771,0.394887,-0.032639,-0.065571,-0.997314
-0.027006,0.038533,-0.400693,-1.451277,-0.130620,0.324359,-0.034258,-0.049184,-0.998202
