ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
0.010960,0.404947,-0.224110,4.372684,1.110630,0.694337,-0.056370,-0.007882,-0.998379
-0.022471,0.372721,-0.050534,4.375140,1.306017,0.730296,-0.044424,-0.051508,-0.997684
-0.060357,0.343195,0.160783,4.265925,1.415028,0.715417,-0.031241,-0.094583,-0.995027
-0.090763,0.295577,0.422455,4.080672,1.359994,0.644523,-0.018078,-0.136138,-0.990525
-0.096968,0.224072,0.691074,3.823455,1.144193,0.521950,-0.006456,-0.175350,-0.984485
-0.072744,0.131725,0.914108,3.521589,0.812001,0.413741,0.002325,-0.211589,-0.977356
-0.051334,0.060083,1.072895,3.195094,0.432418,0.322463,0.007587,-0.244485,-0.969623
-0.033645,0.021519,1.195155,2.857709,0.025428,0.215524,0.009094,-0.273914,-0.961711
-0.022801,0.014519,1.305389,2.460201,-0.400934,0.067087,0.006917,-0.299599,-0.954040
-0.032950,0.008754,1.409789,1.954438,-0.799761,-0.108141,0.001166,-0.320765,-0.947158
-0.017775,-0.012682,1.454937,1.350885,-1.039130,-0.286750,-0.007006,-0.336531,-0.941647
-0.002984,-0.042094,1.422371,0.635491,-1.101478,-0.422296,-0.015998,-0.346028,-0.938088
0.001040,-0.044577,1.357226,-0.189765,-0.983696,-0.469774,-0.024355,-0.348275,-0.937076
0.034961,-0.026372,1.256437,-1.053657,-0.780045,-0.404976,-0.031116,-0.342524,-0.938994
0.054105,0.002391,1.158848,-1.853397,-0.610083,-0.266977,-0.036557,-0.328822,-0.943684
0.040732,0.029847,1.033181,-2.536060,-0.392683,-0.142475,-0.040716,-0.307923,-0.950540
-0.003949,0.048510,0.867617,-3.150760,-0.169131,-0.085996,-0.043094,-0.280626,-0.958849
-0.032600,0.050875,0.708153,-3.682706,-0.028764,-0.072180,-0.043755,-0.247484,-0.967904
-0.042961,0.075915,0.567312,-4.045782,-0.022794,-0.118984,-0.043740,-0.209582,-0.976812
-0.048070,0.096656,0.394616,-4.122156,-0.059080,-0.182495,-0.043834,-0.169165,-0.984612
-0.045068,0.113586,0.198602,-3.924047,-0.159935,-0.230518,-0.044577,-0.129135,-0.990625
-0.025251,0.122991,0.026139,-3.529821,-0.295129,-0.264170,-0.046557,-0.091939,-0.994676
0.005726,0.145617,-0.123403,-3.036178,-0.466608,-0.274797,-0.050160,-0.059145,-0.996988
0.026103,0.192996,-0.262194,-2.475014,-0.579173,-0.226698,-0.055324,-0.031589,-0.997969
0.028406,0.226142,-0.403769,-1.895322,-0.604042,-0.164136,-0.061304,-0.009772,-0.998071
