ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
-0.029955,0.452085,-1.229982,2.999759,0.727417,-0.140717,-0.098508,0.156863,-0.982695
-0.034132,0.523507,-1.283884,4.063301,1.096066,0.062982,-0.089510,0.121757,-0.988516
0.004306,0.542284,-1.149606,4.951984,1.511917,0.351625,-0.076358,0.076827,-0.994116
0.011052,0.576192,-0.968955,5.585255,1.901169,0.704450,-0.059010,0.024211,-0.997964
-0.027176,0.628069,-0.697398,5.945068,2.309477,1.048972,-0.037887,-0.033418,-0.998723
-0.084523,0.645442,-0.392863,6.060462,2.522654,1.313260,-0.014201,-0.093486,-0.995519
-0.171830,0.602133,0.046768,5.925965,2.212622,1.354133,0.008103,-0.153418,-0.988128
-0.252498,0.439516,0.616565,5.502450,1.388412,1.030530,0.023967,-0.210298,-0.977344
-0.274675,0.146372,1.148013,4.815866,0.268829,0.379316,0.030458,-0.261042,-0.964847
-0.202002,-0.168766,1.515093,3.965941,-0.718096,-0.319632,0.028022,-0.303433,-0.952441
-0.133215,-0.315830,1.581320,3.089213,-1.123425,-0.764662,0.020651,-0.336880,-0.941321
-0.108729,-0.229564,1.409055,2.205646,-0.905643,-0.869032,0.013758,-0.361714,-0.932188
-0.069597,-0.041882,1.240400,1.225483,-0.291137,-0.685411,0.010958,-0.377720,-0.925855
-0.017298,0.108008,1.188170,0.130696,0.381310,-0.344677,0.013423,-0.384008,-0.923232
0.035664,0.163380,1.262844,-0.938575,0.846691,-0.057662,0.020031,-0.380146,-0.924709
0.049842,0.108527,1.389426,-1.834467,0.915041,0.071017,0.028420,-0.367118,-0.929740
0.029959,0.012174,1.511660,-2.537535,0.670184,0.051427,0.035745,-0.346509,-0.937365
0.012370,-0.040923,1.527076,-3.080961,0.249037,-0.030371,0.040135,-0.319809,-0.946631
-0.014027,-0.022868,1.473165,-3.533329,-0.322999,-0.151423,0.040134,-0.288091,-0.956762
-0.040251,0.021843,1.375018,-3.964704,-0.921528,-0.296362,0.034636,-0.251716,-0.967181
-0.081531,0.091966,1.152809,-4.322083,-1.341351,-0.446031,0.024326,-0.211015,-0.977180
-0.119399,0.158211,0.829663,-4.516125,-1.517539,-0.590903,0.011015,-0.167168,-0.985867
-0.136527,0.215356,0.489426,-4.506176,-1.490569,-0.668309,-0.003137,-0.122139,-0.992508
-0.125358,0.271478,0.199994,-4.340139,-1.355953,-0.687406,-0.016732,-0.077874,-0.996823
-0.088768,0.301303,-0.033340,-4.069960,-1.217432,-0.641480,-0.029244,-0.035769,-0.998932
