ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
0.029730,0.046779,-0.076502,-0.752841,-0.361326,0.124775,-0.097753,0.145803,-0.984472
0.009072,0.026687,-0.111669,-0.930587,-0.261827,0.155226,-0.100609,0.154191,-0.982905
0.009494,0.012439,-0.116953,-1.243784,-0.249918,0.187112,-0.102786,0.165036,-0.980917
0.028764,0.010956,-0.137834,-1.548822,-0.348010,0.226813,-0.105318,0.179093,-0.978179
0.017649,0.055724,-0.271979,-1.626052,-0.399104,0.251179,-0.108545,0.195115,-0.974755
-0.013526,0.121850,-0.513635,-1.417468,-0.486683,0.170324,-0.112314,0.210426,-0.971137
-0.038331,0.206763,-0.816967,-0.780410,-0.637068,-0.030158,-0.117721,0.221597,-0.968006
-0.136130,0.408460,-1.242687,0.533797,-0.541187,-0.285319,-0.123895,0.223025,-0.966907
-0.234071,0.649733,-1.738442,2.437030,-0.309323,-0.547829,-0.129073,0.208330,-0.969504
-0.227411,0.841849,-2.127402,4.679619,0.092455,-0.513227,-0.131293,0.172846,-0.976159
-0.135809,0.987480,-2.299171,6.684670,0.633872,-0.122558,-0.128382,0.116005,-0.984917
-0.079272,1.059491,-2.135740,7.936101,1.519456,0.396817,-0.117780,0.042881,-0.992113
-0.120101,1.015928,-1.685903,8.150480,2.470209,0.774661,-0.097749,-0.037565,-0.994502
-0.273417,0.875935,-0.828133,7.282682,2.937757,0.831151,-0.070913,-0.114552,-0.990883
-0.328522,0.609456,0.237060,5.798409,2.840582,0.723746,-0.043182,-0.179203,-0.982864
-0.258959,0.248322,1.046428,4.380420,2.506649,0.551731,-0.018095,-0.228852,-0.973293
-0.108784,-0.075040,1.492568,3.363099,2.050214,0.448046,0.002949,-0.266314,-0.963882
0.012784,-0.194528,1.791174,2.600013,1.405833,0.448458,0.018542,-0.295065,-0.955297
0.061789,-0.160264,2.086284,1.753946,0.852935,0.539136,0.027597,-0.316222,-0.948284
0.056781,-0.126471,2.246210,0.428685,0.673658,0.596461,0.032804,-0.327051,-0.944437
0.020174,-0.184351,2.241173,-1.093401,0.806102,0.580608,0.037733,-0.324086,-0.945275
-0.082208,-0.195505,2.119373,-2.431809,1.083338,0.456571,0.045053,-0.307287,-0.950550
-0.145175,-0.213252,1.918301,-3.322972,1.186149,0.278545,0.055041,-0.279545,-0.958554
-0.162592,-0.224109,1.767910,-3.751920,0.794223,0.002287,0.064554,-0.245114,-0.967343
-0.182010,-0.172579,1.692800,-3.788054,-0.068405,-0.366381,0.068744,-0.207914,-0.975729
