ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
-0.080850,0.472701,-1.544577,3.427478,0.965977,0.020793,-0.095480,0.165864,-0.981515
-0.034809,0.540230,-1.417338,4.462510,1.512491,0.375625,-0.082927,0.126809,-0.988455
-0.007244,0.569747,-1.203991,5.192224,2.059274,0.743750,-0.064488,0.078828,-0.994800
-0.023287,0.544411,-0.893181,5.544115,2.384931,1.035078,-0.041548,0.025261,-0.998817
-0.071561,0.511359,-0.425597,5.619777,2.343997,1.179014,-0.017566,-0.030661,-0.999375
-0.151225,0.461083,0.134320,5.465095,1.941304,1.099494,0.003444,-0.086358,-0.996258
-0.141596,0.310511,0.637435,5.162996,1.233099,0.877946,0.018412,-0.139612,-0.990035
-0.091412,0.120416,1.082556,4.779322,0.180896,0.572292,0.024380,-0.189126,-0.981650
-0.047519,-0.084536,1.496419,4.248099,-0.908485,0.171445,0.019900,-0.233671,-0.972112
-0.030897,-0.263197,1.734596,3.442351,-1.626973,-0.213210,0.007307,-0.271288,-0.962471
-0.031980,-0.316034,1.754916,2.317712,-1.712025,-0.400128,-0.008257,-0.299215,-0.954150
-0.027727,-0.239291,1.635789,0.987647,-1.148189,-0.387711,-0.021025,-0.315198,-0.948793
-0.037359,-0.162440,1.502074,-0.471857,-0.251980,-0.267041,-0.026667,-0.317799,-0.947783
-0.049704,-0.119458,1.456018,-1.939135,0.467825,-0.153979,-0.024820,-0.306262,-0.951624
-0.074692,-0.092934,1.521377,-3.214532,0.782573,-0.127390,-0.018082,-0.281379,-0.959426
-0.095129,-0.081901,1.585143,-4.195006,0.596244,-0.222517,-0.010736,-0.245232,-0.969405
-0.115521,-0.016724,1.504253,-4.761633,0.193814,-0.378735,-0.006106,-0.201110,-0.979550
-0.164686,0.089818,1.255148,-4.916460,-0.297075,-0.597471,-0.005739,-0.152989,-0.988211
-0.170246,0.145180,0.923575,-4.670278,-0.688948,-0.783063,-0.009869,-0.105018,-0.994421
-0.162683,0.220861,0.542950,-4.145645,-0.929147,-0.905347,-0.017355,-0.060827,-0.997997
-0.133815,0.310104,0.202350,-3.486000,-1.057274,-0.899087,-0.027028,-0.022658,-0.999378
-0.072132,0.364784,-0.052825,-2.854575,-1.046289,-0.795594,-0.037609,0.008874,-0.999253
-0.005838,0.401878,-0.252129,-2.350893,-0.965893,-0.621412,-0.047904,0.034616,-0.998252
0.043111,0.419968,-0.374405,-2.006857,-0.843065,-0.423599,-0.057271,0.056122,-0.996780
0.076483,0.409343,-0.482442,-1.745256,-0.609327,-0.206351,-0.064826,0.074697,-0.995097
