ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
-0.006381,0.257942,-0.746422,2.251513,0.452040,-0.438006,-0.038633,-0.023140,-0.998986
0.007571,0.255688,-0.573059,2.447563,0.648731,-0.394239,-0.032992,-0.046947,-0.998352
0.021661,0.270991,-0.378614,2.548800,0.853036,-0.275778,-0.025247,-0.072168,-0.997073
0.022868,0.305728,-0.163584,2.562011,1.047630,-0.106748,-0.015559,-0.097872,-0.995077
0.010494,0.319064,0.067290,2.476680,1.219139,0.062820,-0.004147,-0.123110,-0.992384
-0.008627,0.287525,0.310096,2.293842,1.245257,0.185806,0.008063,-0.146945,-0.989112
-0.030114,0.237949,0.621442,2.002162,1.098009,0.256660,0.019433,-0.168369,-0.985533
-0.025303,0.155735,0.894762,1.642748,0.851994,0.275124,0.028599,-0.186481,-0.982042
-0.027639,0.052865,1.069258,1.285632,0.649503,0.215166,0.035452,-0.200966,-0.978956
-0.037757,-0.027294,1.159900,0.951082,0.460190,0.098207,0.040580,-0.211994,-0.976428
-0.049918,-0.075638,1.219193,0.666167,0.300352,-0.048525,0.044211,-0.219909,-0.974518
-0.045389,-0.097341,1.211324,0.463616,0.223318,-0.174177,0.047007,-0.225321,-0.973150
-0.031703,-0.066751,1.164313,0.354772,0.103582,-0.226205,0.049128,-0.229178,-0.972144
-0.014411,-0.010339,1.178561,0.291970,-0.092834,-0.222893,0.049735,-0.232215,-0.971392
0.005610,0.025494,1.200614,0.184582,-0.322276,-0.177869,0.048177,-0.234493,-0.970923
0.000381,0.070415,1.194835,-0.007769,-0.520243,-0.133158,0.044403,-0.235347,-0.970897
-0.016252,0.098393,1.172624,-0.319391,-0.668664,-0.101453,0.038835,-0.233783,-0.971513
-0.030823,0.107427,1.130021,-0.778669,-0.757687,-0.063195,0.032013,-0.228474,-0.973023
-0.036045,0.123268,1.054689,-1.348318,-0.749865,-0.033538,0.024662,-0.218085,-0.975618
-0.032094,0.125440,0.918376,-1.918405,-0.647305,-0.009173,0.017797,-0.201978,-0.979228
-0.015251,0.117336,0.736350,-2.349134,-0.546027,0.025970,0.011925,-0.180782,-0.983451
0.009361,0.127886,0.568208,-2.547182,-0.544878,0.082285,0.006508,-0.156405,-0.987672
0.035358,0.151719,0.417868,-2.537988,-0.610791,0.166483,0.000592,-0.130982,-0.991385
0.053315,0.160845,0.262091,-2.358942,-0.689099,0.254401,-0.006150,-0.106447,-0.994299
0.047254,0.150595,0.100300,-2.113364,-0.716169,0.312675,-0.013517,-0.084020,-0.996372
