ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
-0.030126,0.285693,-1.129427,3.848598,0.361071,-0.403215,-0.093379,0.046354,-0.994551
0.009363,0.376038,-1.006867,4.412395,0.797685,-0.059226,-0.087671,0.004563,-0.996139
0.021634,0.421114,-0.820583,4.656387,1.258459,0.301541,-0.077405,-0.040941,-0.996159
0.005106,0.440332,-0.561632,4.649334,1.608588,0.605876,-0.063258,-0.087320,-0.994170
-0.024236,0.428977,-0.261612,4.519835,1.758609,0.788761,-0.047084,-0.132712,-0.990036
-0.056388,0.371984,0.072203,4.331500,1.643919,0.796886,-0.031304,-0.176381,-0.983824
-0.077718,0.280831,0.419354,4.058046,1.312438,0.616955,-0.018000,-0.217599,-0.975872
-0.096402,0.164042,0.749338,3.659423,0.712507,0.276444,-0.009037,-0.255351,-0.966806
-0.102593,0.030454,1.108745,3.039893,0.006315,-0.161580,-0.005744,-0.287870,-0.957652
-0.056108,-0.105394,1.338126,2.256575,-0.567660,-0.514151,-0.007536,-0.313353,-0.949607
-0.027274,-0.152782,1.379133,1.424507,-0.740998,-0.680523,-0.012063,-0.330952,-0.943571
-0.016488,-0.098803,1.277208,0.545898,-0.467992,-0.648345,-0.015724,-0.340421,-0.940141
-0.007976,0.008537,1.148407,-0.376818,0.102248,-0.486283,-0.015615,-0.341315,-0.939819
0.001693,0.062737,1.064698,-1.273543,0.744323,-0.300482,-0.010177,-0.333519,-0.942688
0.009752,0.049920,1.058193,-2.050575,1.070632,-0.194010,-0.000506,-0.317604,-0.948223
0.017383,0.023438,1.131646,-2.548433,1.027126,-0.165542,0.010266,-0.295410,-0.955315
0.001449,0.019239,1.160371,-2.793032,0.658171,-0.208350,0.019089,-0.269483,-0.962816
-0.005542,0.027225,1.136020,-2.846856,0.076156,-0.287624,0.023365,-0.241901,-0.970020
-0.002796,0.049162,1.020317,-2.749207,-0.530203,-0.375079,0.021839,-0.214368,-0.976509
-0.027616,0.095744,0.819446,-2.607084,-0.972062,-0.455744,0.015104,-0.187891,-0.982074
-0.038927,0.155556,0.553528,-2.483016,-1.123305,-0.439641,0.005357,-0.162682,-0.986664
-0.033349,0.222580,0.279349,-2.429384,-1.000314,-0.334807,-0.004737,-0.138305,-0.990378
-0.006258,0.255065,0.050716,-2.413217,-0.729833,-0.194747,-0.013105,-0.114180,-0.993374
0.030377,0.239391,-0.116710,-2.371043,-0.411264,-0.069737,-0.018658,-0.090221,-0.995747
0.046420,0.198651,-0.233756,-2.251735,-0.154394,0.020879,-0.021442,-0.067013,-0.997522
