ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
0.000393,-0.064461,-0.012896,-0.440163,-0.198484,-0.126038,-0.073421,0.092751,-0.992979
0.009324,-0.040139,-0.084678,-0.454189,-0.264685,-0.096656,-0.075822,0.097131,-0.992379
0.013476,-0.015183,-0.154251,-0.481650,-0.371230,-0.050577,-0.079043,0.101716,-0.991668
0.018596,0.006372,-0.239017,-0.546316,-0.529488,-0.017356,-0.083553,0.106787,-0.990765
0.005388,0.016879,-0.358059,-0.622059,-0.660089,-0.049679,-0.089556,0.112593,-0.989597
-0.042528,0.061123,-0.549094,-0.614265,-0.649379,-0.147476,-0.096312,0.118733,-0.988244
-0.089347,0.108457,-0.806397,-0.438565,-0.448102,-0.260559,-0.102105,0.123889,-0.987029
-0.118039,0.171269,-1.063209,-0.039833,-0.171528,-0.359137,-0.105594,0.126095,-0.986382
-0.138452,0.270552,-1.251954,0.607608,0.119329,-0.404854,-0.106329,0.123003,-0.986694
-0.117585,0.351357,-1.373923,1.429700,0.413066,-0.385329,-0.104186,0.112556,-0.988168
-0.072170,0.393564,-1.432944,2.340274,0.793475,-0.265557,-0.098576,0.093451,-0.990732
-0.027857,0.421891,-1.398085,3.116751,1.155055,-0.069085,-0.088965,0.065902,-0.993852
-0.028886,0.458012,-1.193931,3.602929,1.466703,0.114941,-0.075804,0.032100,-0.996606
-0.034574,0.456297,-0.918207,3.831134,1.739630,0.278216,-0.059664,-0.005186,-0.998205
-0.060118,0.421278,-0.623342,3.839155,1.935961,0.339087,-0.041231,-0.043683,-0.998194
-0.106181,0.356787,-0.301515,3.658000,2.009737,0.296702,-0.021565,-0.081274,-0.996458
-0.138257,0.281489,0.014382,3.416478,2.004257,0.186548,-0.001682,-0.116648,-0.993172
-0.148802,0.216936,0.269368,3.217956,1.949725,0.096843,0.017866,-0.149660,-0.988576
-0.143724,0.182908,0.483098,3.106869,1.827471,0.060765,0.036500,-0.180985,-0.982808
-0.126432,0.172682,0.683190,3.052059,1.646102,0.087946,0.053510,-0.211347,-0.975945
-0.115428,0.159664,0.886749,2.968429,1.335587,0.128368,0.067927,-0.240901,-0.968170
-0.106202,0.116422,1.118513,2.770857,0.914567,0.108793,0.078553,-0.268903,-0.959959
-0.114959,0.056058,1.312218,2.422864,0.559337,0.020893,0.085326,-0.294003,-0.951988
-0.124466,0.023026,1.385607,1.898757,0.404296,-0.098611,0.089920,-0.314667,-0.944934
-0.124236,0.024611,1.371179,1.289078,0.395948,-0.204458,0.094161,-0.329634,-0.939402
