ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
-0.053102,0.309119,-1.045382,2.617628,1.646246,-0.076328,-0.060576,0.013284,-0.998075
-0.058539,0.363105,-0.698604,2.843421,1.786017,0.111196,-0.043161,-0.014197,-0.998967
-0.063901,0.373701,-0.288008,2.978019,1.645115,0.277316,-0.025912,-0.043439,-0.998720
-0.050952,0.317198,0.100527,3.005562,1.424861,0.382126,-0.010663,-0.073469,-0.997240
-0.037588,0.243733,0.378723,2.956309,1.219247,0.402785,0.002203,-0.103336,-0.994644
-0.038549,0.162867,0.606483,2.882638,1.015018,0.360744,0.012944,-0.132517,-0.991096
-0.041267,0.098778,0.843988,2.802928,0.694616,0.298127,0.021049,-0.160881,-0.986749
-0.039053,0.049702,1.118734,2.643369,0.260603,0.161312,0.025412,-0.187962,-0.981848
-0.025976,-0.029699,1.345331,2.350132,-0.121027,-0.011244,0.025839,-0.212656,-0.976785
-0.018488,-0.069252,1.460903,1.876365,-0.296254,-0.135929,0.023828,-0.233467,-0.972073
-0.016771,-0.034623,1.478730,1.231823,-0.290453,-0.173355,0.021287,-0.248671,-0.968354
0.003757,0.018388,1.468390,0.562013,-0.179154,-0.141865,0.019345,-0.257325,-0.966131
0.042293,0.027049,1.430758,-0.029122,-0.063040,-0.044503,0.018483,-0.259852,-0.965472
0.063550,0.048577,1.407512,-0.534051,-0.076502,0.072524,0.017825,-0.257073,-0.966228
0.070318,0.097900,1.392181,-0.928535,-0.230668,0.178314,0.016108,-0.249892,-0.968140
0.073858,0.106140,1.332733,-1.173256,-0.488886,0.252842,0.012079,-0.239608,-0.970794
0.042390,0.106814,1.209618,-1.412039,-0.706544,0.302914,0.005538,-0.227038,-0.973870
0.011161,0.148944,1.014228,-1.705168,-0.794761,0.358038,-0.002647,-0.211764,-0.977317
-0.020566,0.183225,0.770827,-2.027740,-0.755409,0.381925,-0.011112,-0.193372,-0.981063
-0.057143,0.160338,0.526120,-2.322415,-0.613440,0.353163,-0.018617,-0.171736,-0.984967
-0.067406,0.123416,0.292384,-2.557926,-0.439834,0.322769,-0.024406,-0.147372,-0.988780
-0.064936,0.093395,0.084234,-2.629648,-0.269339,0.279864,-0.028310,-0.121333,-0.992208
-0.061683,0.061667,-0.085716,-2.504885,-0.165876,0.220179,-0.030724,-0.095480,-0.994957
-0.061015,0.053644,-0.232693,-2.218598,-0.107021,0.169659,-0.032231,-0.071695,-0.996906
-0.064889,0.065010,-0.358153,-1.872527,-0.066230,0.121280,-0.033209,-0.051124,-0.998140
