ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
0.331368,0.654340,0.191321,-2.005187,1.716590,-2.650579,-0.548409,0.519092,-0.655584
0.407098,0.754827,0.231572,-1.400874,1.105574,-2.265756,-0.551889,0.516749,-0.654515
0.479521,0.806416,0.266401,-0.807731,0.468395,-1.951344,-0.557585,0.512264,-0.653211
0.573484,0.767715,0.279025,-0.303380,-0.189312,-1.720770,-0.566053,0.505509,-0.651187
0.653455,0.723396,0.262079,0.049842,-0.771756,-1.539240,-0.577466,0.496910,-0.647775
0.688214,0.729237,0.191479,0.257615,-1.101454,-1.354007,-0.590848,0.487346,-0.642956
0.687742,0.797882,0.062582,0.340104,-1.133007,-1.069847,-0.604062,0.478042,-0.637640
0.683967,0.904617,-0.057708,0.304788,-0.986831,-0.638324,-0.614997,0.470658,-0.632661
0.717908,0.958411,-0.134551,0.205320,-0.756231,-0.103085,-0.622266,0.466668,-0.628495
0.759796,0.952332,-0.152773,0.099750,-0.603747,0.492310,-0.625626,0.466934,-0.624952
0.769432,0.950307,-0.121306,-0.007160,-0.459358,1.049662,-0.625328,0.471522,-0.621797
0.748078,0.931508,-0.158517,-0.062317,-0.213503,1.576479,-0.621186,0.480007,-0.619452
0.701131,0.936871,-0.232905,-0.017448,0.127025,2.120135,-0.612463,0.491764,-0.618917
0.632094,0.949003,-0.305388,0.136499,0.484477,2.665892,-0.598510,0.506029,-0.621064
0.563331,0.931703,-0.317953,0.367767,0.738101,3.125250,-0.579596,0.521682,-0.626032
0.520082,0.859476,-0.255674,0.637029,0.801885,3.443925,-0.557099,0.537329,-0.633181
0.476992,0.764596,-0.155864,0.894086,0.679432,3.634931,-0.532855,0.551856,-0.641499
0.418001,0.699436,-0.063187,1.112301,0.457230,3.733307,-0.508409,0.564633,-0.650162
0.355245,0.666861,-0.004780,1.297771,0.189147,3.788703,-0.484701,0.575479,-0.658702
0.295091,0.667877,0.032634,1.486365,-0.087165,3.860395,-0.462068,0.584397,-0.667064
0.254740,0.672625,0.064381,1.665671,-0.320556,3.971786,-0.440333,0.591520,-0.675434
0.237403,0.653593,0.076090,1.798543,-0.607568,4.146252,-0.419242,0.597185,-0.683817
0.206710,0.661861,0.121793,1.859133,-0.854495,4.354583,-0.398712,0.601978,-0.691846
0.161070,0.666950,0.119437,1.854822,-1.000692,4.613819,-0.378005,0.606457,-0.699515
0.088132,0.659091,0.081378,1.784696,-1.067893,4.939378,-0.356107,0.611188,-0.706850
