ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
0.021261,-0.331132,-0.172520,1.588087,-2.040209,1.592848,-0.956000,-0.274581,-0.103298
-0.019730,-0.379983,-0.186191,1.054613,-1.852334,1.306114,-0.961700,-0.261893,-0.080899
-0.110683,-0.403328,-0.199497,0.419606,-1.542942,1.064597,-0.965992,-0.250923,-0.062421
-0.252852,-0.471736,-0.256999,-0.176511,-0.989024,0.606143,-0.968797,-0.242802,-0.049794
-0.357276,-0.564919,-0.293977,-0.823579,-0.413509,0.238410,-0.970116,-0.238593,-0.044127
-0.381059,-0.703739,-0.271936,-1.429618,-0.057521,0.022089,-0.970519,-0.236828,-0.044791
-0.409638,-0.778847,-0.129898,-1.908308,-0.059236,-0.239889,-0.970291,-0.237053,-0.048386
-0.402260,-0.852827,0.041218,-2.289300,-0.330315,-0.544234,-0.969444,-0.239809,-0.051670
-0.324819,-0.918774,0.154323,-2.606439,-0.806939,-0.861026,-0.968028,-0.245349,-0.052211
-0.278003,-0.973937,0.219017,-2.870074,-1.349173,-1.176118,-0.966016,-0.253877,-0.048577
-0.301443,-0.968840,0.211742,-3.107093,-1.780186,-1.470236,-0.963267,-0.265382,-0.041103
-0.367835,-0.912108,0.127253,-3.330909,-2.017061,-1.710678,-0.959588,-0.279649,-0.031428
-0.414664,-0.850603,0.013341,-3.544962,-1.994735,-1.806177,-0.955011,-0.295760,-0.021916
-0.416071,-0.779524,-0.088933,-3.743007,-1.783580,-1.750338,-0.949896,-0.312212,-0.014888
-0.389378,-0.702393,-0.135975,-3.911050,-1.511846,-1.598908,-0.944713,-0.327698,-0.011486
-0.364732,-0.631602,-0.123843,-4.056191,-1.221720,-1.441729,-0.939757,-0.341634,-0.011960
-0.341248,-0.588161,-0.084787,-4.161606,-1.059541,-1.342781,-0.935058,-0.354146,-0.015722
-0.348086,-0.556740,-0.014596,-4.217090,-1.022123,-1.377015,-0.930341,-0.366082,-0.021201
-0.345018,-0.516028,0.054907,-4.201731,-1.181267,-1.395585,-0.925399,-0.378046,-0.026816
-0.286374,-0.493877,0.130262,-4.112774,-1.428705,-1.374718,-0.920429,-0.389699,-0.030760
-0.242565,-0.484873,0.156144,-3.984461,-1.645329,-1.385086,-0.915439,-0.401129,-0.032654
-0.249813,-0.472317,0.145287,-3.814019,-1.823506,-1.440485,-0.910236,-0.412800,-0.032662
-0.256118,-0.461020,0.097014,-3.623939,-1.973430,-1.546381,-0.904557,-0.425226,-0.030974
-0.269562,-0.439001,0.027224,-3.445910,-2.058620,-1.703015,-0.898071,-0.438959,-0.027972
-0.298982,-0.400530,-0.040474,-3.301242,-2.024646,-1.888004,-0.890517,-0.454282,-0.024636
