ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
-0.402516,1.014338,0.191465,1.535142,2.668192,2.412984,0.467656,-0.225229,-0.854734
-0.495549,0.959988,0.297731,1.245406,2.535025,2.085926,0.484594,-0.247876,-0.838884
-0.511224,0.978548,0.282706,0.911100,2.407232,1.761511,0.500268,-0.266436,-0.823859
-0.548972,0.980492,0.299667,0.558621,2.288974,1.436050,0.515159,-0.280647,-0.809845
-0.574707,0.973088,0.314318,0.206551,2.198614,1.099508,0.529633,-0.290395,-0.796969
-0.590542,0.959994,0.319939,-0.126447,2.153038,0.773672,0.544171,-0.295749,-0.785118
-0.599544,0.955144,0.314654,-0.424586,2.131110,0.483577,0.559093,-0.297047,-0.774066
-0.611611,0.959391,0.310611,-0.680504,2.116937,0.220321,0.574471,-0.294748,-0.763614
-0.625183,0.957571,0.310684,-0.890592,2.084523,-0.037664,0.590255,-0.289282,-0.753601
-0.638395,0.945920,0.315300,-1.072255,2.013134,-0.326228,0.606230,-0.280789,-0.744072
-0.665828,0.924888,0.328631,-1.240196,1.897181,-0.637480,0.622111,-0.269218,-0.735187
-0.693964,0.898252,0.334915,-1.401214,1.746465,-0.990752,0.637659,-0.254361,-0.727111
-0.704466,0.865547,0.337702,-1.567349,1.574497,-1.380797,0.652663,-0.235877,-0.719995
-0.704755,0.819251,0.333044,-1.736364,1.400192,-1.797522,0.666974,-0.213432,-0.713858
-0.698423,0.776456,0.319848,-1.899011,1.231700,-2.231652,0.680433,-0.186765,-0.708611
-0.681693,0.738280,0.301214,-2.032775,1.078481,-2.651259,0.692847,-0.155898,-0.704031
-0.658237,0.720807,0.285401,-2.110138,0.921396,-3.022225,0.703861,-0.121289,-0.699906
-0.633703,0.709918,0.269679,-2.127398,0.746186,-3.339872,0.713019,-0.083697,-0.696132
-0.604308,0.707074,0.264345,-2.084658,0.462960,-3.592007,0.719528,-0.043958,-0.693071
-0.578219,0.718329,0.275548,-2.001713,0.094556,-3.788675,0.722354,-0.002936,-0.691517
-0.553768,0.720830,0.270290,-1.899607,-0.265315,-3.952341,0.721035,0.038752,-0.691814
-0.515304,0.724347,0.223797,-1.791918,-0.545883,-4.073489,0.715758,0.080645,-0.693676
-0.469793,0.757112,0.157152,-1.672244,-0.719981,-4.157036,0.707082,0.122222,-0.696489
-0.408697,0.803990,0.097174,-1.549106,-0.844618,-4.239208,0.695547,0.163143,-0.699713
-0.338131,0.838292,0.066983,-1.441408,-0.925515,-4.372399,0.681331,0.203486,-0.703122
