ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
0.118846,0.317231,0.872395,-0.132402,1.761492,1.657947,-0.168132,-0.540986,-0.824055
0.120517,0.320912,0.834804,-0.462584,1.254277,2.025653,-0.165545,-0.535405,-0.828212
0.097087,0.299543,0.714493,-0.712815,0.653353,2.305816,-0.169124,-0.526777,-0.833008
0.069934,0.230243,0.487444,-0.763204,-0.050811,2.541290,-0.179248,-0.516208,-0.837496
0.063286,0.126411,0.183953,-0.550658,-0.789810,2.797503,-0.196510,-0.505515,-0.840142
0.079764,0.001706,-0.163912,-0.146185,-1.427761,3.016728,-0.220663,-0.496396,-0.839582
0.067874,-0.134087,-0.554692,0.368671,-1.671393,2.983922,-0.249026,-0.490150,-0.835308
-0.024779,-0.305813,-1.033462,0.967088,-1.272146,2.623156,-0.275575,-0.488255,-0.828049
-0.161643,-0.425586,-1.465549,1.556333,-0.276538,2.012965,-0.293740,-0.492047,-0.819516
-0.292909,-0.466589,-1.734364,1.964227,1.053878,1.118193,-0.298475,-0.502023,-0.811717
-0.378427,-0.500602,-1.725870,1.916741,2.423911,0.446646,-0.288138,-0.515802,-0.806799
-0.283764,-0.398846,-1.395270,1.466554,3.565939,0.074293,-0.265018,-0.528980,-0.806192
-0.204875,-0.261766,-0.940428,0.848866,4.464215,-0.213205,-0.231878,-0.538573,-0.810045
-0.205126,-0.136559,-0.461094,0.222483,5.039802,-0.490782,-0.190870,-0.543678,-0.817302
-0.226821,-0.014700,0.031466,-0.299084,5.256832,-0.672186,-0.144913,-0.544275,-0.826296
-0.233470,0.122745,0.514553,-0.670179,5.124610,-0.650624,-0.097631,-0.540973,-0.835354
-0.233437,0.294990,0.984201,-0.915503,4.549889,-0.422254,-0.053566,-0.534645,-0.843377
-0.210989,0.428931,1.400787,-1.069992,3.475990,0.002796,-0.017954,-0.526221,-0.850158
-0.118454,0.503717,1.670699,-1.105651,2.020085,0.573173,0.004303,-0.516779,-0.856108
0.007704,0.534098,1.700638,-0.883890,0.458382,1.172947,0.010470,-0.508097,-0.861236
0.089530,0.522705,1.487985,-0.367537,-0.938796,1.680019,0.000909,-0.502640,-0.864496
0.090239,0.453458,1.098433,0.253597,-1.899279,2.008564,-0.021040,-0.501981,-0.864623
0.024376,0.350721,0.564602,0.829728,-2.212410,2.217370,-0.050286,-0.505873,-0.861141
-0.050162,0.273678,-0.155341,1.298866,-1.909367,2.397623,-0.079645,-0.513867,-0.854165
-0.068889,0.221042,-0.783379,1.352785,-1.502995,2.587775,-0.107563,-0.522937,-0.845557
