ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
0.016294,0.269866,0.269058,1.235461,-0.783622,0.081847,0.276384,-0.144316,-0.950150
0.021677,0.324679,0.342939,1.312177,-0.885721,0.197672,0.268194,-0.156924,-0.950498
0.020663,0.456320,0.384387,1.302777,-0.870585,0.235151,0.259351,-0.170095,-0.950687
-0.032730,0.363061,0.383342,1.320060,-1.516106,0.014139,0.248642,-0.182916,-0.951167
-0.311432,0.382583,0.690141,1.538038,-2.462370,0.142680,0.229065,-0.196578,-0.953355
-0.254627,0.655079,0.774742,1.906799,-2.727565,0.455237,0.203159,-0.213688,-0.955544
-0.109369,0.587249,0.556313,2.402601,-2.581905,0.734444,0.176233,-0.235519,-0.955758
-0.024641,0.373561,0.513840,2.801012,-2.804768,0.781528,0.148360,-0.261714,-0.953674
0.029260,0.144220,0.669560,2.936927,-3.240224,0.073172,0.118674,-0.290766,-0.949406
0.783001,-0.387925,0.463650,1.428875,-5.061907,-3.331516,0.081455,-0.309142,-0.947521
2.115701,-1.466362,-0.652274,1.565987,-2.888613,-3.877693,0.054709,-0.320396,-0.945702
0.822108,-0.485056,-1.149528,1.637916,-1.580680,-2.750052,0.046011,-0.334356,-0.941323
0.156519,0.172826,-0.626315,1.304816,-1.470277,-1.417141,0.038229,-0.347249,-0.936993
-0.021865,0.448524,-0.366753,1.239033,-0.331582,-0.470376,0.032912,-0.358909,-0.932792
-0.193631,0.443029,-0.413734,0.914902,0.258239,-0.272502,0.033917,-0.369039,-0.928795
-0.285614,0.123410,-0.154968,0.438350,0.951205,-0.328770,0.040679,-0.375225,-0.926041
-0.288182,0.133002,-0.232834,0.108028,1.704374,-0.276078,0.054066,-0.377555,-0.924407
-0.355778,0.263076,-0.175295,-0.248241,2.463206,-0.170631,0.074482,-0.376846,-0.923276
-0.329103,0.260713,-0.109162,-0.723135,2.789761,0.063690,0.099366,-0.372347,-0.922759
-0.206743,0.238356,0.069032,-1.201922,2.789126,0.273179,0.124727,-0.363585,-0.923173
-0.138691,0.157343,0.270824,-1.640095,2.443965,0.420753,0.148075,-0.350855,-0.924648
-0.083612,0.069307,0.454057,-2.011760,1.120228,0.519725,0.163766,-0.334504,-0.928056
0.019025,-0.008817,0.689132,-2.072295,-1.046040,0.521379,0.162661,-0.316013,-0.934707
0.109442,0.002611,0.800182,-1.932755,-2.558065,0.321095,0.142587,-0.297945,-0.943874
0.134090,0.051704,0.268300,-1.657740,-3.044386,0.131403,0.116337,-0.280601,-0.952748
