ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
0.586134,0.753037,-0.124321,3.214011,-0.985522,-0.950962,0.276796,-0.198762,-0.940148
0.586167,0.793222,-0.035203,3.102538,-1.112778,-0.969510,0.268905,-0.225931,-0.936293
0.584921,0.835412,0.044612,3.013576,-1.202593,-0.997770,0.260355,-0.252053,-0.932033
0.586069,0.874509,0.129772,2.939887,-1.257942,-1.014932,0.251486,-0.277296,-0.927287
0.577415,0.907696,0.215630,2.855245,-1.280845,-0.997784,0.242593,-0.301754,-0.922005
0.560346,0.937366,0.291744,2.750503,-1.255829,-0.933026,0.233874,-0.325366,-0.916210
0.546086,0.967165,0.364277,2.617183,-1.174886,-0.824417,0.225643,-0.348009,-0.909931
0.529975,0.990243,0.424178,2.452993,-1.022444,-0.697879,0.218301,-0.369455,-0.903243
0.508594,1.007710,0.472897,2.255060,-0.815900,-0.568527,0.212323,-0.389424,-0.896252
0.478933,1.015068,0.518300,2.027355,-0.593531,-0.468041,0.207865,-0.407616,-0.889180
0.447841,1.009373,0.564150,1.777973,-0.362593,-0.405173,0.205388,-0.423679,-0.882220
0.416029,0.995412,0.598175,1.520380,-0.128846,-0.385756,0.204912,-0.437459,-0.875580
0.378479,0.975742,0.626014,1.262393,0.084776,-0.404693,0.206482,-0.448856,-0.869422
0.338489,0.952663,0.646634,1.008119,0.290676,-0.434247,0.210018,-0.457867,-0.863858
0.310483,0.929151,0.651579,0.764722,0.510451,-0.458156,0.215533,-0.464582,-0.858900
0.293119,0.922050,0.647114,0.547597,0.736178,-0.464522,0.223086,-0.469199,-0.854450
0.289893,0.927126,0.633589,0.323292,0.926635,-0.425934,0.232354,-0.471910,-0.850478
0.292316,0.927748,0.606648,0.062995,1.075252,-0.328878,0.242733,-0.472685,-0.847142
0.288999,0.935584,0.597549,-0.257428,1.094343,-0.205446,0.253329,-0.471229,-0.844848
0.276019,0.953989,0.629844,-0.617718,1.045537,-0.087829,0.263074,-0.467142,-0.844139
0.273044,0.947095,0.615942,-0.948563,1.066620,0.013920,0.272167,-0.460370,-0.844976
0.273288,0.916957,0.542386,-1.271164,1.116237,0.089328,0.281202,-0.451076,-0.847028
0.273868,0.897444,0.511755,-1.610896,1.160021,0.157044,0.290357,-0.439131,-0.850210
0.269461,0.907499,0.493745,-1.953508,1.185652,0.224285,0.299601,-0.424421,-0.854463
0.282536,0.914890,0.463123,-2.282150,1.209965,0.261431,0.308879,-0.406895,-0.859669
