ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
-0.218010,-0.283284,-0.284246,-1.395895,1.532602,2.434910,-0.605873,-0.079235,-0.791606
-0.253069,-0.304742,-0.274445,-1.417744,1.643895,2.399070,-0.594771,-0.053351,-0.802123
-0.296987,-0.325477,-0.256739,-1.440510,1.753612,2.359679,-0.581935,-0.027657,-0.812765
-0.338864,-0.350084,-0.232598,-1.455571,1.844019,2.305160,-0.567477,-0.002227,-0.823386
-0.390444,-0.385861,-0.229036,-1.437209,1.914810,2.228389,-0.551558,0.022625,-0.833830
-0.458284,-0.431826,-0.261361,-1.377362,1.947650,2.119348,-0.534499,0.046404,-0.843894
-0.536346,-0.472959,-0.298693,-1.292915,1.961335,1.980000,-0.516602,0.068662,-0.853468
-0.602276,-0.504010,-0.313944,-1.206840,1.964796,1.839725,-0.498142,0.089215,-0.862494
-0.649870,-0.535675,-0.316180,-1.128895,1.989383,1.699748,-0.479158,0.108109,-0.871045
-0.697776,-0.571423,-0.315374,-1.064418,1.969361,1.569852,-0.459740,0.125470,-0.879145
-0.734022,-0.610493,-0.278209,-1.064579,1.757767,1.472576,-0.441042,0.141759,-0.886220
-0.704982,-0.634945,-0.143144,-1.148417,1.429593,1.411220,-0.424595,0.157894,-0.891509
-0.643972,-0.656615,0.003471,-1.298553,1.087470,1.378420,-0.410960,0.174728,-0.894752
-0.581402,-0.673558,0.122917,-1.481298,0.746336,1.376363,-0.400150,0.192860,-0.895927
-0.511764,-0.683298,0.232623,-1.656979,0.410503,1.388451,-0.392136,0.212518,-0.895023
-0.445234,-0.697954,0.315707,-1.790540,0.107302,1.406909,-0.386691,0.233523,-0.892153
-0.392152,-0.712536,0.368781,-1.855335,-0.185766,1.413021,-0.383544,0.255352,-0.887518
-0.337203,-0.731447,0.400472,-1.839077,-0.520690,1.400968,-0.382905,0.277253,-0.881201
-0.286058,-0.745271,0.421605,-1.766585,-0.833637,1.365968,-0.384902,0.298539,-0.873341
-0.246513,-0.751219,0.416420,-1.646372,-1.043213,1.317626,-0.389000,0.318694,-0.864357
-0.216190,-0.746921,0.380914,-1.493059,-1.163675,1.265930,-0.394315,0.337375,-0.854806
-0.191128,-0.740847,0.341057,-1.314993,-1.233971,1.195647,-0.400302,0.354312,-0.845116
-0.175521,-0.739168,0.300523,-1.115488,-1.278471,1.092040,-0.406755,0.369249,-0.835587
-0.167896,-0.752062,0.253296,-0.905483,-1.317880,0.964710,-0.413708,0.381945,-0.826416
-0.158459,-0.770611,0.207271,-0.678302,-1.357715,0.808096,-0.421314,0.392223,-0.817714
