ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
-0.162274,-0.011726,0.086826,-1.096182,6.260617,0.405303,0.283474,-0.249733,-0.925892
-0.174496,-0.020650,0.072524,-0.978868,6.322819,0.296722,0.340695,-0.241267,-0.908690
-0.160025,-0.031261,0.073295,-0.875746,6.301559,0.145224,0.397238,-0.233708,-0.887459
-0.137440,-0.043345,0.096677,-0.767541,6.188208,-0.016571,0.452138,-0.226720,-0.862652
-0.105509,-0.047622,0.107179,-0.633236,6.024404,-0.172932,0.504481,-0.220261,-0.834856
-0.078531,-0.041029,0.098634,-0.487355,5.978879,-0.322824,0.554392,-0.214327,-0.804185
-0.095955,-0.008967,0.067414,-0.374871,6.032566,-0.463907,0.602791,-0.208624,-0.770142
-0.136461,0.021797,0.058360,-0.307970,6.047691,-0.557435,0.649553,-0.202812,-0.732768
-0.221729,0.080414,0.082543,-0.412902,5.137692,-0.590976,0.692050,-0.196503,-0.694588
-0.391591,0.157353,0.669157,-0.662619,3.183379,-0.712650,0.720983,-0.188176,-0.666914
-0.353966,0.035356,1.000027,-0.884264,2.212801,-0.872054,0.740135,-0.177248,-0.648678
-0.143777,-0.011728,0.645988,-1.102857,1.373757,-1.040443,0.753426,-0.163626,-0.636848
-0.036766,0.039025,0.629445,-1.295447,0.521046,-1.132883,0.761086,-0.147637,-0.631627
0.006093,0.064386,0.469618,-1.441224,0.154858,-1.115189,0.764597,-0.130258,-0.631208
-0.043564,0.146903,0.121778,-1.551946,0.118561,-1.065149,0.766693,-0.112342,-0.632108
-0.108834,0.198710,-0.054999,-1.694144,0.147773,-1.065978,0.768700,-0.093867,-0.632684
-0.158080,0.168577,-0.070598,-1.940460,-0.097958,-1.219103,0.770003,-0.073621,-0.633779
-0.262025,0.109226,0.117420,-2.376544,-0.669504,-1.400860,0.768205,-0.049610,-0.638279
-0.294716,0.121363,0.252911,-2.647149,-0.627973,-1.494240,0.764427,-0.022150,-0.644329
-0.341515,0.222403,-0.102941,-2.838084,-0.705107,-1.534992,0.760338,0.007348,-0.649486
-0.350349,0.286839,-0.084283,-2.951509,-0.855440,-1.521694,0.754906,0.038021,-0.654730
-0.289504,0.272721,-0.011740,-3.117446,-1.028458,-1.649921,0.747771,0.069854,-0.660272
-0.248828,0.036848,-0.045104,-3.556946,-0.902019,-2.069153,0.739581,0.105776,-0.664704
-0.246767,-0.330990,-0.215640,-4.062019,-0.626251,-2.568244,0.731493,0.148510,-0.665479
-0.247526,-0.400979,-0.294519,-4.487099,-0.325592,-2.819163,0.723616,0.196954,-0.661506
