ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
0.000334,0.800155,0.235532,3.126985,-1.143547,2.586359,0.309374,-0.215346,-0.926236
-0.011524,0.807212,0.265112,3.044556,-1.026059,2.292989,0.293568,-0.251441,-0.922277
-0.023822,0.813885,0.282649,2.950157,-0.920970,2.041651,0.278750,-0.285413,-0.916972
-0.033882,0.825487,0.309648,2.835023,-0.848324,1.821759,0.264808,-0.317308,-0.910600
-0.040172,0.841533,0.338086,2.706372,-0.799831,1.617364,0.251629,-0.347103,-0.903439
-0.050588,0.856070,0.360220,2.557828,-0.756932,1.417712,0.239110,-0.374686,-0.895788
-0.058105,0.876340,0.389397,2.388358,-0.725964,1.203326,0.227355,-0.399960,-0.887886
-0.056453,0.898061,0.411547,2.192793,-0.672807,0.974695,0.216624,-0.422780,-0.879961
-0.050439,0.921790,0.412759,1.952937,-0.582945,0.747685,0.207345,-0.442908,-0.872262
-0.045008,0.938642,0.405194,1.653709,-0.473536,0.530848,0.199824,-0.460004,-0.865140
-0.039355,0.942572,0.400610,1.305261,-0.334260,0.323588,0.194308,-0.473700,-0.858984
-0.051074,0.935656,0.396394,0.926473,-0.167399,0.121141,0.191058,-0.483752,-0.854096
-0.059834,0.916287,0.397393,0.528609,0.001709,-0.124314,0.190343,-0.490003,-0.850686
-0.063794,0.886285,0.407829,0.113448,0.176344,-0.407450,0.192395,-0.492242,-0.848930
-0.085764,0.865317,0.414947,-0.308015,0.365909,-0.703460,0.197443,-0.490332,-0.848876
-0.109443,0.850390,0.422683,-0.728205,0.573758,-1.017379,0.205665,-0.484164,-0.850463
-0.120940,0.832991,0.427266,-1.145852,0.782830,-1.348240,0.217177,-0.473616,-0.853535
-0.127115,0.809825,0.431004,-1.557298,0.997139,-1.691885,0.231958,-0.458538,-0.857869
-0.136305,0.785409,0.432326,-1.941618,1.211600,-2.028984,0.249922,-0.438866,-0.863096
-0.146882,0.765591,0.432964,-2.296804,1.389273,-2.348784,0.270692,-0.414654,-0.868786
-0.161594,0.745566,0.437686,-2.623107,1.487773,-2.628126,0.293384,-0.385993,-0.874606
-0.178965,0.734288,0.447061,-2.910820,1.529980,-2.849074,0.316920,-0.353139,-0.880258
-0.191925,0.735072,0.441099,-3.154125,1.538908,-3.034859,0.340469,-0.316448,-0.885405
-0.191384,0.736273,0.429781,-3.342400,1.540755,-3.173321,0.363488,-0.276404,-0.889650
-0.202651,0.735976,0.423036,-3.482802,1.530576,-3.267437,0.385527,-0.233642,-0.892626
