ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
-0.099597,0.430713,0.759753,-1.038381,0.981655,-0.566103,-0.007672,-0.711505,-0.702639
-0.055415,0.483825,0.992852,-1.636492,0.276815,-0.237111,-0.000112,-0.701964,-0.712212
0.014115,0.448379,1.131441,-2.014163,-0.526342,0.094372,-0.000519,-0.688644,-0.725100
0.079350,0.353148,1.073137,-2.119234,-1.391641,0.378139,-0.009205,-0.673308,-0.739305
0.093578,0.253973,0.831334,-2.037703,-2.219121,0.647096,-0.026241,-0.657538,-0.752965
0.056554,0.183645,0.445386,-1.769870,-2.802716,0.919669,-0.050694,-0.642599,-0.764524
-0.002841,0.129498,-0.010205,-1.255021,-2.990153,1.116648,-0.079877,-0.630108,-0.772388
-0.074658,0.036571,-0.489132,-0.532331,-2.668208,1.167805,-0.109393,-0.622005,-0.775334
-0.146099,-0.119153,-0.916592,0.159366,-1.936891,1.078583,-0.134540,-0.619235,-0.773594
-0.159104,-0.241726,-1.170961,0.611762,-1.018895,0.889345,-0.152221,-0.620960,-0.768920
-0.126426,-0.306197,-1.211792,0.717926,-0.156272,0.654119,-0.161522,-0.625016,-0.763718
-0.079206,-0.366027,-1.063723,0.555732,0.502422,0.388356,-0.163378,-0.629136,-0.759931
-0.036399,-0.412911,-0.828983,0.265287,0.915949,0.111923,-0.159447,-0.631889,-0.758480
0.014970,-0.430285,-0.595868,-0.013933,1.155817,-0.170208,-0.151307,-0.632856,-0.759341
0.033676,-0.411083,-0.414793,-0.169970,1.323139,-0.447677,-0.139847,-0.632541,-0.761797
-0.002339,-0.328177,-0.285016,-0.196985,1.504594,-0.667739,-0.125423,-0.631845,-0.764880
-0.055063,-0.197789,-0.162309,-0.193891,1.674657,-0.747723,-0.108587,-0.631191,-0.767989
-0.087525,-0.072073,0.002881,-0.217406,1.724440,-0.702263,-0.090712,-0.630350,-0.770993
-0.084751,0.019190,0.201603,-0.265273,1.598867,-0.564768,-0.073681,-0.629008,-0.773899
-0.060203,0.083838,0.397252,-0.309654,1.296548,-0.383940,-0.059319,-0.627081,-0.776692
-0.035018,0.112638,0.549658,-0.327917,0.841237,-0.194265,-0.049073,-0.624723,-0.779303
-0.010534,0.122243,0.645030,-0.283322,0.280729,-0.036230,-0.043940,-0.622350,-0.781505
0.006237,0.123428,0.664098,-0.198706,-0.286184,0.109824,-0.044201,-0.620438,-0.783009
0.013296,0.121966,0.624152,-0.136113,-0.825016,0.248708,-0.049734,-0.619051,-0.783774
0.012835,0.116156,0.544006,-0.124031,-1.269902,0.363391,-0.059985,-0.617881,-0.783981
