ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
-0.122189,0.794236,-0.243323,-2.152841,-2.599848,-2.327160,-0.534259,-0.519304,-0.667001
-0.059434,0.709284,-0.401111,-2.358721,-1.313606,-2.567938,-0.535064,-0.517252,-0.667950
0.128862,0.511784,-0.852559,-2.227379,2.207904,-2.679805,-0.516740,-0.515568,-0.683497
0.175779,0.371899,-0.789970,-1.858915,3.865155,-2.637190,-0.482557,-0.514538,-0.708794
0.103131,0.388296,-0.202887,-1.345678,6.612087,-2.569770,-0.430691,-0.514899,-0.741205
0.046608,0.296482,-0.623926,-0.973420,9.022152,-2.614831,-0.357460,-0.516377,-0.778189
-0.170356,0.239616,-0.359505,-0.422868,10.372529,-2.567884,-0.263513,-0.518608,-0.813392
-0.079895,0.337298,0.104987,1.531835,2.101742,-1.763825,-0.204162,-0.529437,-0.823416
0.457381,0.356990,0.942377,1.406204,0.993868,-1.730292,-0.184447,-0.545207,-0.817758
-0.035701,0.336115,-0.615615,0.916975,2.384040,-1.551207,-0.161687,-0.557780,-0.814088
-0.449848,0.636132,-0.835240,0.271937,3.558008,-1.531456,-0.128598,-0.564904,-0.815075
-0.521887,0.593002,-0.610676,-0.353723,4.335286,-1.626940,-0.086725,-0.566192,-0.819698
-0.449921,0.416823,-0.428849,-0.740167,3.633487,-1.755512,-0.043366,-0.562667,-0.825546
-0.325960,0.318139,-0.032939,-1.124273,2.061389,-1.876776,-0.009367,-0.555444,-0.831501
-0.182702,0.221822,0.102988,-1.628800,0.861102,-1.877306,0.012948,-0.543843,-0.839087
-0.097764,0.192559,0.022292,-2.085918,0.237724,-1.762011,0.027390,-0.527612,-0.849044
-0.038961,0.203469,-0.065783,-2.430631,-0.230800,-1.585202,0.035894,-0.507638,-0.860823
-0.013863,0.189865,-0.125606,-2.819991,-0.027285,-1.461214,0.042122,-0.484130,-0.873981
0.028503,0.157316,-0.253674,-3.072669,-0.029401,-1.327750,0.048767,-0.457273,-0.887988
0.081850,0.181223,-0.115752,-3.162688,-0.350828,-1.193436,0.052671,-0.428492,-0.902009
0.085695,0.178220,-0.004804,-3.131850,-0.404201,-1.060163,0.053618,-0.399045,-0.915362
0.062202,0.181768,-0.089733,-2.954111,-0.101586,-0.924210,0.055001,-0.370229,-0.927311
0.043103,0.176103,-0.151731,-2.677418,0.222324,-0.799337,0.058735,-0.343279,-0.937395
0.006249,0.165882,-0.065084,-2.317616,0.461855,-0.674925,0.064415,-0.319126,-0.945521
-0.006115,0.159156,-0.004398,-1.903373,0.742709,-0.581117,0.072109,-0.298530,-0.951672
