ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
0.119866,0.714820,0.504274,1.967469,0.758749,-1.666855,-0.826867,0.267754,-0.494569
0.133151,0.700857,0.518551,1.866834,0.735592,-1.512973,-0.827273,0.244837,-0.505642
0.147832,0.668104,0.524626,1.835800,0.790438,-1.291936,-0.826635,0.223650,-0.516387
0.173635,0.642862,0.544226,1.662067,1.607382,-1.063795,-0.823446,0.204550,-0.529241
0.139238,0.620350,0.454667,1.295381,2.389590,-0.855223,-0.814149,0.188580,-0.549180
0.084166,0.634814,0.568236,0.655689,2.170296,-0.672491,-0.802458,0.176801,-0.569915
0.154873,0.642119,0.738783,0.002332,1.688518,-0.526151,-0.792309,0.170182,-0.585905
0.258158,0.561029,0.784948,-0.385400,1.294269,-0.444603,-0.784266,0.167608,-0.597356
0.315449,0.475408,0.817981,-0.549070,0.727978,-0.429538,-0.778736,0.167078,-0.604694
0.365366,0.410115,0.947446,-0.540957,-0.239920,-0.424171,-0.778024,0.166988,-0.605634
0.358455,0.314779,1.057778,-0.415356,-0.694420,-0.322215,-0.781810,0.167017,-0.600732
0.368514,0.283240,0.715959,-0.246722,-0.488317,-0.285721,-0.786026,0.166650,-0.595308
0.396698,0.298441,0.412329,-0.049176,-0.274140,-0.298939,-0.788712,0.165243,-0.592139
0.417154,0.315610,0.398154,0.164440,-0.176448,-0.315453,-0.790507,0.162432,-0.590521
0.385265,0.332379,0.356556,0.309435,-0.167642,-0.284926,-0.792034,0.158557,-0.589527
0.295378,0.362945,0.250698,0.221046,0.111160,-0.158717,-0.792723,0.155045,-0.589534
0.142021,0.345885,-0.010095,-0.053277,0.327736,0.008746,-0.791374,0.153932,-0.591635
0.199132,0.334255,0.018077,-0.274975,0.257253,0.183761,-0.789373,0.155720,-0.593837
0.355443,0.300465,0.229902,-0.331196,-0.163411,0.406279,-0.788533,0.159908,-0.593840
0.438148,0.289343,0.435648,-0.241450,-0.794098,0.663644,-0.790443,0.165903,-0.589640
0.486455,0.279360,0.525137,-0.097411,-1.469640,0.905861,-0.795781,0.173170,-0.580298
0.521461,0.235037,0.478933,0.071616,-2.167697,1.124156,-0.804436,0.181451,-0.565649
0.520418,0.171687,0.461016,0.330459,-2.604231,1.244807,-0.815737,0.190130,-0.546282
0.441767,0.056641,0.290106,0.775133,-2.614028,1.214828,-0.827295,0.197311,-0.525976
0.230008,0.042285,0.117947,1.245950,-2.724294,1.230059,-0.838849,0.202405,-0.505337
