ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
-0.524243,0.420903,-0.220052,-1.937170,2.082223,1.074342,0.934048,0.357142,-0.001856
-0.545796,0.410327,-0.229547,-2.035773,1.712506,0.878835,0.937306,0.347744,0.023065
-0.553899,0.392485,-0.225814,-2.065690,1.370691,0.722636,0.939534,0.339524,0.044708
-0.556592,0.366518,-0.225775,-2.068451,1.041282,0.620228,0.941144,0.332060,0.063116
-0.564705,0.348628,-0.230734,-2.115868,0.651322,0.518903,0.942436,0.325170,0.077963
-0.571645,0.312261,-0.210716,-1.572785,-1.330829,0.172421,0.943807,0.320155,0.082039
-0.808706,0.224939,-0.044970,-0.982627,-1.543995,0.011608,0.945227,0.318304,0.072314
-0.822699,0.188447,-0.379784,-0.287752,-2.148740,-0.011724,0.946417,0.317961,0.056526
-0.739200,0.210553,-0.359991,0.245930,-2.128692,0.011788,0.947406,0.318027,0.035787
-0.776219,0.223808,-0.538120,0.397016,-1.450909,0.294131,0.948338,0.316780,0.017460
-0.807732,0.410263,-0.799726,0.271297,-0.948759,0.540559,0.949837,0.312699,0.005338
-0.724437,0.409312,-0.684288,0.325854,-1.021316,0.563603,0.951595,0.307317,-0.004890
-0.577784,0.223655,-0.350210,0.406331,-0.759924,0.439948,0.953074,0.302376,-0.014811
-0.461329,0.137599,-0.306089,0.310896,-0.250987,0.180669,0.953943,0.299260,-0.020861
-0.326632,0.162475,-0.252516,0.086859,0.159129,-0.218864,0.953921,0.299271,-0.021714
-0.341748,0.105998,-0.047722,-0.248720,0.361674,-0.788992,0.952451,0.304097,-0.019050
-0.435317,0.019613,0.084889,-0.699008,0.715501,-1.203231,0.949386,0.313867,-0.012425
-0.392071,0.135844,0.024546,-1.087118,0.840828,-1.404424,0.945217,0.326436,-0.001872
-0.325063,0.226247,0.119488,-1.208823,0.535515,-1.459748,0.940359,0.340068,0.008884
-0.255188,0.240590,0.158019,-1.047701,0.214080,-1.338085,0.935394,0.353236,0.016190
-0.235802,0.192091,0.001053,-0.813403,-0.124476,-1.105448,0.930962,0.364565,0.020066
-0.228726,0.102685,-0.057426,-0.562068,-0.482278,-0.890781,0.927335,0.373710,0.019783
-0.206188,0.016624,-0.055532,-0.380758,-0.828915,-0.774928,0.924312,0.381325,0.015432
-0.182944,-0.075435,-0.016364,-0.222227,-1.155135,-0.791147,0.921439,0.388453,0.007437
-0.163582,-0.167876,0.102033,-0.004926,-1.694640,-1.057478,0.917870,0.396849,-0.005140
