ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
-0.143576,-0.051174,-0.082586,-0.179454,-3.750021,-1.337627,0.927786,-0.046177,0.370245
-0.106694,-0.176656,-0.248624,-0.038122,-3.427035,-1.749421,0.941166,-0.032023,0.336423
-0.023572,-0.164892,-0.250974,0.077725,-3.044255,-2.128234,0.952069,-0.013483,0.305586
0.024258,-0.153300,-0.239462,0.186056,-2.550027,-2.490838,0.960377,0.009135,0.278555
0.053159,-0.139545,-0.247015,0.309183,-1.869563,-2.903922,0.965732,0.035846,0.257056
0.180574,-0.129202,-0.238515,0.456773,-1.207620,-3.407835,0.967955,0.067480,0.241887
0.252915,-0.106716,-0.200264,0.653342,-0.559013,-3.876235,0.966903,0.104290,0.232857
0.206825,-0.076925,-0.164662,0.908678,-0.166820,-4.196027,0.962578,0.145437,0.228673
0.065547,0.014694,-0.040403,1.213426,-0.603686,-3.811383,0.956502,0.187149,0.223784
-0.201441,0.412379,0.252706,1.482466,-1.572757,-2.457510,0.952387,0.220647,0.210414
-0.318404,0.827058,0.358884,1.546244,-1.932091,-0.878001,0.952193,0.239485,0.189669
-0.165347,0.772564,0.030063,1.485859,-1.821656,0.071879,0.954730,0.245609,0.167829
0.046935,0.348194,-0.093410,1.503138,-1.698566,0.370910,0.958131,0.245525,0.147319
0.089460,0.012284,0.045231,1.603985,-1.779299,0.357478,0.961428,0.244064,0.126843
0.042841,-0.120165,0.150393,1.712320,-1.934206,0.294514,0.964391,0.242846,0.104764
-0.030573,-0.141159,0.131219,1.816577,-1.965258,0.290365,0.966929,0.241700,0.081428
-0.096941,-0.155575,0.051729,1.903047,-1.920643,0.299554,0.969011,0.240109,0.058013
-0.121171,-0.220502,0.020740,1.951821,-2.012096,0.222296,0.970567,0.238370,0.034359
-0.085112,-0.299097,0.077670,1.935763,-2.330774,0.064749,0.971373,0.237406,0.008512
-0.066966,-0.300370,0.138612,1.932502,-2.615113,-0.090640,0.971202,0.237397,-0.020249
-0.022944,-0.272024,0.156493,1.925497,-2.996026,-0.316378,0.969706,0.238637,-0.052168
0.067550,-0.259877,0.215369,1.898586,-3.529649,-0.595163,0.966310,0.241703,-0.088461
0.099979,-0.254813,0.278283,1.848323,-4.188184,-0.887817,0.960247,0.246832,-0.130379
0.066074,-0.259148,0.332316,1.792671,-4.864598,-1.179004,0.950604,0.253944,-0.178508
0.036336,-0.270880,0.370449,1.712911,-5.465407,-1.490197,0.936458,0.262976,-0.232143
