ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
-0.280534,-0.316191,-0.165115,-2.563420,0.702527,1.676628,-0.171813,-0.955308,-0.240555
-0.290871,-0.376162,-0.115467,-2.679617,0.862475,1.877158,-0.186806,-0.945402,-0.267055
-0.296561,-0.409380,-0.107237,-2.716111,1.072515,2.072349,-0.202752,-0.933897,-0.294496
-0.288891,-0.413290,-0.089747,-2.699978,1.256351,2.242763,-0.219272,-0.920908,-0.322256
-0.265508,-0.374071,-0.042676,-2.657708,1.398134,2.370359,-0.236003,-0.906553,-0.349948
-0.239706,-0.336400,0.016865,-2.601362,1.413185,2.439667,-0.252604,-0.891017,-0.377201
-0.214704,-0.344741,0.096803,-2.575863,1.240162,2.490230,-0.269213,-0.874406,-0.403657
-0.191408,-0.363406,0.210023,-2.555304,0.996335,2.429441,-0.286025,-0.856763,-0.429124
-0.214382,-0.447808,0.245411,0.226298,4.343351,2.339096,-0.298405,-0.841575,-0.450230
0.270910,-2.378969,0.015565,4.456151,6.957821,2.441952,-0.284185,-0.851866,-0.439958
0.558572,-2.297675,1.950607,2.398762,3.929415,3.335020,-0.286157,-0.858453,-0.425644
-0.216635,1.274953,1.392159,1.516690,3.826848,3.822993,-0.301507,-0.855703,-0.420555
-0.197917,0.182569,-0.151416,3.314155,2.538702,1.938250,-0.313695,-0.856290,-0.410321
0.319140,-1.328925,0.908253,2.373235,2.929731,1.744663,-0.317538,-0.862634,-0.393742
0.156280,-0.016893,0.246918,1.707348,2.867329,2.223922,-0.323516,-0.864073,-0.385635
-0.192810,0.224770,0.136495,1.502181,2.659488,2.560560,-0.333481,-0.862420,-0.380818
-0.447489,-0.138170,0.020124,0.933003,2.556884,3.166262,-0.348257,-0.857374,-0.378980
-0.576501,-0.095804,-0.103161,0.236961,2.631111,3.790586,-0.368217,-0.847036,-0.383335
-0.587478,-0.131727,-0.178277,-0.321263,2.460150,4.225536,-0.392167,-0.831439,-0.393592
-0.505069,-0.162587,-0.109599,-0.693253,2.063858,4.440623,-0.418927,-0.811641,-0.407109
-0.356895,-0.158156,-0.060311,-1.013936,1.639709,4.513365,-0.447366,-0.788545,-0.421973
-0.190411,-0.109012,-0.031307,-1.404950,1.550420,4.419377,-0.475498,-0.762555,-0.438648
-0.026596,-0.038878,-0.050228,-1.806539,1.667603,4.218141,-0.500763,-0.734071,-0.458668
0.144070,0.025744,-0.013314,-2.137100,1.596521,3.897965,-0.522412,-0.703768,-0.481452
0.257071,0.001863,0.127941,-2.290152,1.457560,3.397585,-0.540168,-0.673174,-0.505031
