ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
-0.179350,0.338086,0.385377,1.218080,0.532332,2.014111,0.843977,0.444202,-0.300645
-0.217989,0.348392,0.330490,1.176740,0.945827,1.975785,0.854876,0.423596,-0.299591
-0.257144,0.365305,0.277566,1.250126,1.358985,2.046835,0.866641,0.402608,-0.294687
-0.299383,0.377078,0.247654,1.405215,1.631470,2.182178,0.879370,0.380170,-0.286670
-0.356352,0.411702,0.259171,1.575817,1.798433,2.309014,0.892501,0.355891,-0.277099
-0.368704,0.380309,0.234964,1.824440,2.010863,2.413154,0.905829,0.329896,-0.265787
-0.401201,0.335433,0.195074,2.078011,2.286656,2.515222,0.919252,0.302186,-0.252309
-0.480982,0.338524,0.173605,2.340321,2.352110,2.700421,0.932475,0.272484,-0.237158
-0.566938,0.386364,0.256656,2.460401,1.066724,2.667412,0.943937,0.241138,-0.225467
-0.958422,0.300153,0.990877,2.479665,-1.080409,2.390035,0.949541,0.211520,-0.231584
-1.195951,0.112538,1.081133,2.195059,-1.130640,2.098819,0.950773,0.184230,-0.249178
-1.133355,-0.050026,0.458116,1.640596,-0.096001,1.898422,0.952797,0.160438,-0.257753
-0.815995,-0.227493,0.413045,1.343961,0.509834,1.744305,0.956101,0.138977,-0.257985
-0.378239,-0.092118,0.238802,1.341342,1.183247,1.264155,0.960316,0.120912,-0.251345
0.157658,-0.027364,-0.119282,1.423736,1.235965,0.885692,0.964565,0.107305,-0.241039
0.072636,0.161537,-0.224652,1.599816,1.342713,0.873280,0.968517,0.095375,-0.229953
-0.136788,0.371184,-0.270370,1.732273,1.200447,0.997948,0.972268,0.082445,-0.218858
-0.124911,0.368845,-0.110242,1.762416,0.885736,1.027646,0.975298,0.068670,-0.209948
-0.151363,0.249651,-0.023367,1.670147,0.669174,0.926723,0.977504,0.055433,-0.203500
-0.227726,0.117683,-0.030609,1.505369,0.546218,0.757347,0.979160,0.043908,-0.198288
-0.300180,0.006695,-0.029871,1.274952,0.209249,0.477307,0.980188,0.034992,-0.194952
-0.327871,-0.118147,-0.040560,0.879131,-0.426349,0.197121,0.980139,0.029524,-0.196103
-0.416431,-0.225983,-0.094367,0.212046,-1.396557,-0.133049,0.978290,0.028077,-0.205330
-0.389582,-0.317861,-0.151878,-0.494771,-1.701855,-0.383208,0.974787,0.031027,-0.220971
-0.494064,-0.259161,-0.269107,-1.149725,-1.885757,-0.413881,0.970566,0.037023,-0.237973
