ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
-0.810208,0.249592,-0.315975,3.081820,-1.180041,-4.187650,-0.445163,0.882580,0.151272
-0.805572,0.279538,-0.314662,3.174739,-1.194235,-4.576194,-0.482056,0.866549,0.129283
-0.810607,0.351141,-0.312079,3.267334,-1.238384,-4.944238,-0.521653,0.846338,0.107657
-0.812366,0.451385,-0.308770,3.366211,-1.318676,-5.281194,-0.563336,0.821656,0.086801
-0.801302,0.549171,-0.299469,3.477457,-1.394718,-5.581761,-0.606413,0.792321,0.067017
-0.773813,0.657667,-0.296341,3.567352,-1.420709,-5.827558,-0.650137,0.758272,0.048431
-0.738920,0.775932,-0.305317,3.600601,-1.397394,-5.987445,-0.693560,0.719719,0.031300
-0.706816,0.889062,-0.322940,3.570833,-1.296430,-6.038235,-0.735567,0.677268,0.015780
-0.668003,1.001883,-0.347522,3.476104,-1.102165,-5.987502,-0.775143,0.631784,0.001681
-0.609130,1.101116,-0.363650,3.305717,-0.842026,-5.863505,-0.811738,0.583912,-0.011365
-0.537768,1.173287,-0.359165,3.080560,-0.535995,-5.689465,-0.844419,0.535163,-0.023601
-0.454017,1.211225,-0.344147,2.825049,-0.199290,-5.486059,-0.873254,0.485964,-0.035598
-0.358712,1.224416,-0.321769,2.571702,0.123359,-5.272226,-0.898246,0.436884,-0.047814
-0.262164,1.224049,-0.280846,2.343941,0.372171,-5.067327,-0.919569,0.388271,-0.060325
-0.178199,1.214113,-0.224425,2.170746,0.568374,-4.870917,-0.937463,0.340345,-0.072999
-0.103789,1.191083,-0.182946,2.060638,0.742180,-4.686758,-0.952165,0.293246,-0.085960
-0.032144,1.157952,-0.158293,1.982085,0.923290,-4.512303,-0.963888,0.247031,-0.099474
0.038656,1.132904,-0.130562,1.908862,1.085341,-4.336268,-0.972799,0.201844,-0.113670
0.111732,1.116249,-0.087019,1.834543,1.205934,-4.159080,-0.979087,0.157860,-0.128328
0.178903,1.099968,-0.042777,1.761935,1.273744,-3.974437,-0.982980,0.115257,-0.143060
0.236340,1.082967,0.000239,1.695388,1.307964,-3.774585,-0.984722,0.074275,-0.157496
0.287661,1.073965,0.039157,1.625059,1.326377,-3.556148,-0.984561,0.035211,-0.171466
0.338702,1.068817,0.072023,1.541928,1.328512,-3.328263,-0.982760,-0.001693,-0.184877
0.386987,1.060485,0.100118,1.449199,1.304338,-3.108646,-0.979608,-0.036346,-0.197606
0.427874,1.052804,0.128508,1.360756,1.250100,-2.887760,-0.975405,-0.068704,-0.209440
