ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
0.638034,0.151964,-0.348753,-2.449129,-0.332602,-2.979016,0.387600,0.908781,-0.154543
0.629279,0.085569,-0.387766,-2.584661,-0.479395,-2.824951,0.360299,0.923327,-0.132864
0.626756,0.021217,-0.435200,-2.686825,-0.566462,-2.693261,0.333861,0.936181,-0.110012
0.612605,-0.032716,-0.495402,-2.710636,-0.587914,-2.572855,0.308340,0.947358,-0.086248
0.604238,-0.067156,-0.545265,-2.620569,-0.572869,-2.457762,0.283809,0.956850,-0.062371
0.608570,-0.092913,-0.575411,-2.403723,-0.520919,-2.353492,0.260281,0.964724,-0.039519
0.619841,-0.128492,-0.607887,-2.071476,-0.417177,-2.270457,0.237626,0.971174,-0.018853
0.623851,-0.178430,-0.636471,-1.649565,-0.264719,-2.201930,0.215672,0.976465,-0.001362
0.624639,-0.229411,-0.651269,-1.175705,-0.094100,-2.114926,0.194408,0.980845,0.012201
0.627572,-0.270818,-0.650427,-0.684399,0.073725,-1.997185,0.174063,0.984502,0.021383
0.634488,-0.305113,-0.637248,-0.214648,0.216463,-1.844515,0.154956,0.987578,0.026057
0.644538,-0.334836,-0.610657,0.195366,0.313578,-1.657160,0.137444,0.990155,0.026505
0.653464,-0.361973,-0.572808,0.523416,0.357132,-1.436591,0.121911,0.992267,0.023309
0.658722,-0.390141,-0.526071,0.762530,0.368172,-1.203821,0.108643,0.993931,0.017252
0.663463,-0.419973,-0.486847,0.916486,0.358347,-0.965345,0.097752,0.995168,0.009186
0.664855,-0.446174,-0.448609,0.991596,0.345303,-0.731346,0.089249,0.996009,-0.000075
0.660818,-0.464920,-0.415881,1.007930,0.335845,-0.495233,0.083124,0.996491,-0.009824
0.655622,-0.474983,-0.388218,0.982316,0.326439,-0.255830,0.079409,0.996650,-0.019543
0.653811,-0.481404,-0.361306,0.926800,0.303808,-0.017096,0.078123,0.996526,-0.028876
0.651132,-0.482143,-0.338383,0.848750,0.273193,0.214105,0.079215,0.996150,-0.037548
0.646524,-0.479160,-0.319571,0.762479,0.242766,0.439669,0.082602,0.995548,-0.045404
0.641185,-0.476775,-0.310476,0.679946,0.205640,0.662612,0.088231,0.994720,-0.052424
0.637112,-0.466529,-0.303657,0.615262,0.177274,0.878979,0.096042,0.993645,-0.058709
0.628173,-0.452510,-0.301576,0.570966,0.148861,1.094479,0.106004,0.992275,-0.064451
0.616831,-0.435781,-0.301765,0.551452,0.134632,1.303026,0.118063,0.990545,-0.069878
