ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
0.102084,0.764048,0.133885,-7.523556,-0.542151,-5.196299,0.930982,0.341665,0.128597
0.183692,0.802101,0.118537,-7.723861,-0.637165,-5.233095,0.912881,0.379342,0.150827
0.261529,0.839174,0.110067,-7.829666,-0.727148,-5.239017,0.893089,0.414153,0.175700
0.339691,0.886171,0.086530,-7.856551,-0.770911,-5.215911,0.871903,0.445631,0.202975
0.411910,0.923696,0.041931,-7.820602,-0.762946,-5.180978,0.849535,0.473490,0.232589
0.486934,0.960502,-0.004164,-7.736189,-0.709222,-5.115247,0.826207,0.497475,0.264387
0.565967,1.003165,-0.051381,-7.606402,-0.617466,-5.001213,0.802243,0.517236,0.298116
0.640084,1.038558,-0.106400,-7.436399,-0.510038,-4.841001,0.778023,0.532487,0.333375
0.708332,1.058444,-0.159886,-7.242184,-0.378817,-4.643988,0.753918,0.543088,0.369679
0.771737,1.060641,-0.223721,-7.030162,-0.237734,-4.427076,0.730186,0.549085,0.406613
0.814422,1.044983,-0.295034,-6.798753,-0.150423,-4.186775,0.707154,0.550659,0.443517
0.811292,1.007084,-0.365212,-6.537297,-0.094247,-3.905901,0.685321,0.548062,0.479546
0.777032,0.947853,-0.453026,-6.241713,-0.082382,-3.579096,0.665198,0.541558,0.514030
0.729403,0.880443,-0.524849,-5.908140,-0.154651,-3.211245,0.647443,0.531574,0.546119
0.683010,0.817398,-0.568722,-5.526336,-0.323552,-2.797256,0.632862,0.518677,0.574856
0.650656,0.763652,-0.607547,-5.087096,-0.558325,-2.326543,0.622248,0.503499,0.599414
0.612204,0.721656,-0.633339,-4.590794,-0.860426,-1.821726,0.616221,0.486733,0.619163
0.562761,0.681119,-0.630779,-4.047878,-1.224716,-1.304181,0.615248,0.469165,0.633526
0.513069,0.645474,-0.615098,-3.477556,-1.589831,-0.807330,0.619408,0.451526,0.642229
0.462602,0.614376,-0.592624,-2.900929,-1.929431,-0.373458,0.628203,0.434528,0.645404
0.414143,0.579475,-0.561002,-2.349733,-2.216120,-0.033773,0.640819,0.418771,0.643414
0.360837,0.543472,-0.521507,-1.848472,-2.422383,0.211006,0.656177,0.404648,0.636940
0.301092,0.514127,-0.493254,-1.414825,-2.530520,0.371329,0.673136,0.392321,0.626875
0.241671,0.484866,-0.477143,-1.060567,-2.529334,0.457458,0.690596,0.381742,0.614289
0.192414,0.452619,-0.475107,-0.786882,-2.435616,0.491938,0.707595,0.372775,0.600290
