ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
-0.195365,0.673121,0.256434,2.722405,-1.190478,5.513514,0.531501,0.160222,-0.831766
-0.211947,0.651320,0.290469,2.764209,-1.193704,5.366506,0.528887,0.108065,-0.841784
-0.226731,0.630237,0.315394,2.791161,-1.230117,5.213364,0.523011,0.056377,-0.850459
-0.248761,0.632794,0.331190,2.798451,-1.221988,5.073729,0.514233,0.005466,-0.857633
-0.274525,0.647529,0.336516,2.821824,-1.280737,4.927692,0.502582,-0.044441,-0.863386
-0.291162,0.641214,0.373462,2.917579,-1.583627,4.805254,0.486902,-0.093607,-0.868426
-0.315831,0.619669,0.412824,3.098450,-2.055400,4.764937,0.465368,-0.142832,-0.873517
-0.353743,0.622205,0.457111,3.322893,-2.620688,4.781732,0.436781,-0.192792,-0.878666
-0.352119,0.669522,0.507905,3.523283,-3.207792,4.832736,0.400352,-0.243420,-0.883439
-0.332055,0.729142,0.545473,3.642395,-3.593376,4.866553,0.356835,-0.293886,-0.886736
-0.299570,0.770895,0.538701,3.642998,-3.686394,4.824206,0.308649,-0.342718,-0.887288
-0.261299,0.777290,0.483769,3.508137,-3.492754,4.700205,0.258995,-0.388268,-0.884404
-0.236913,0.751792,0.415055,3.240706,-3.053283,4.529617,0.210881,-0.429160,-0.878266
-0.216432,0.721578,0.362316,2.862713,-2.525780,4.272656,0.166536,-0.464406,-0.869823
-0.188368,0.684152,0.347130,2.391496,-2.114348,3.900169,0.126753,-0.493356,-0.860543
-0.171962,0.635242,0.348531,1.852068,-1.894639,3.474591,0.090816,-0.515690,-0.851949
-0.206799,0.603419,0.349225,1.288933,-1.736956,3.032505,0.058194,-0.531520,-0.845044
-0.254047,0.581650,0.361101,0.755156,-1.607749,2.600601,0.028827,-0.541397,-0.840272
-0.271978,0.577560,0.375295,0.271211,-1.469340,2.187684,0.002737,-0.546082,-0.837727
-0.264754,0.588029,0.374641,-0.158922,-1.292950,1.776870,-0.019808,-0.546357,-0.837318
-0.236122,0.614859,0.355567,-0.540400,-1.052772,1.348642,-0.038308,-0.542929,-0.838905
-0.189903,0.644536,0.321976,-0.895338,-0.772169,0.901742,-0.052148,-0.536336,-0.842392
-0.157113,0.661957,0.292232,-1.235926,-0.488358,0.440010,-0.061087,-0.526901,-0.847728
-0.134593,0.663261,0.286842,-1.589007,-0.217052,-0.025776,-0.065206,-0.514686,-0.854896
-0.129746,0.648818,0.284903,-1.958616,0.094771,-0.490784,-0.064453,-0.499526,-0.863898
