ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
0.129433,0.275620,-0.467123,0.243076,-0.443530,-0.318834,0.163826,0.542969,-0.823618
0.105726,0.419609,-0.381295,0.608453,-0.900132,-0.385119,0.156496,0.540001,-0.826987
0.118264,0.425894,-0.374962,1.102710,-1.481633,-0.574328,0.143959,0.533716,-0.833321
0.131315,0.471360,-0.430517,1.845818,-2.037228,-0.625578,0.125918,0.522185,-0.843485
0.154101,0.491884,-0.492061,2.584862,-2.589094,-0.503899,0.102964,0.503890,-0.857609
0.154603,0.526329,-0.529647,3.424033,-2.531194,-0.369774,0.078186,0.478157,-0.874787
0.140836,0.522687,-0.592743,4.323663,-2.017383,-0.214779,0.056384,0.443866,-0.894318
0.059941,0.482880,-0.534352,5.154531,-1.274996,-0.025536,0.040798,0.400681,-0.915309
-0.008757,0.436035,-0.412240,5.754697,-0.410455,0.274145,0.033323,0.349655,-0.936286
-0.052322,0.402016,-0.269946,5.954770,0.416698,0.692083,0.035003,0.293494,-0.955320
-0.090117,0.378590,-0.082668,5.742525,0.978502,1.112922,0.044356,0.236263,-0.970676
-0.127906,0.341394,0.155447,5.295593,1.322949,1.402933,0.058372,0.181296,-0.981695
-0.170277,0.255763,0.364962,4.750843,1.569413,1.559172,0.075078,0.130483,-0.988604
-0.208103,0.147337,0.527388,4.171745,1.723993,1.608299,0.093265,0.084689,-0.992033
-0.242695,0.052431,0.682427,3.606011,1.772120,1.548369,0.111805,0.044249,-0.992745
-0.266162,-0.047389,0.822883,3.077431,1.706633,1.352861,0.129611,0.009150,-0.991523
-0.280806,-0.173973,0.967320,2.606549,1.517791,1.041443,0.145598,-0.020805,-0.989125
-0.298398,-0.310647,1.049919,2.171702,1.555771,0.679041,0.160321,-0.045844,-0.986000
-0.302366,-0.416854,0.998853,1.741140,1.883299,0.416766,0.176969,-0.066133,-0.981992
-0.287117,-0.402486,1.039405,1.247884,2.139753,0.288068,0.196663,-0.081569,-0.977072
-0.257772,-0.315850,1.162684,0.617609,2.190224,0.205257,0.217763,-0.091316,-0.971721
-0.222757,-0.260371,1.200781,-0.117704,2.131299,0.165528,0.238703,-0.094197,-0.966513
-0.184578,-0.221754,1.150155,-0.860277,2.007318,0.236317,0.258614,-0.089938,-0.961785
-0.173043,-0.175921,1.097812,-1.579812,1.856695,0.385411,0.277016,-0.078977,-0.957614
-0.195833,-0.140516,1.026437,-2.270560,1.682797,0.488240,0.293718,-0.061739,-0.953896
-0.224818,-0.136768,0.951562,-2.965441,1.516583,0.439561,0.308772,-0.038128,-0.950372
-0.221019,-0.172741,0.861277,-3.669470,1.379353,0.210258,0.322490,-0.007542,-0.946543
-0.194873,-0.218695,0.765515,-4.332314,1.227928,-0.134025,0.334887,0.030356,-0.941769
-0.178782,-0.230489,0.680885,-4.912871,1.071398,-0.571047,0.345530,0.075246,-0.935386
-0.181374,-0.199610,0.570133,-5.399567,0.929297,-1.071694,0.354073,0.126490,-0.926624
-0.178615,-0.117077,0.435624,-5.711792,0.716527,-1.550467,0.359721,0.182797,-0.914979
-0.170193,0.018537,0.316990,-5.758889,0.393369,-1.931293,0.361065,0.241717,-0.900669
-0.148287,0.151649,0.187556,-5.447223,0.126839,-2.150188,0.357729,0.299660,-0.884440
-0.087625,0.240434,0.045104,-4.790602,-0.055958,-2.240264,0.350809,0.352767,-0.867461
-0.002265,0.307172,-0.043593,-3.961051,-0.329391,-2.222379,0.340751,0.398440,-0.851548
0.081039,0.370237,-0.087225,-3.105101,-0.730293,-2.084447,0.327225,0.435717,-0.838496
0.125931,0.418072,-0.100156,-2.347175,-1.147484,-1.883903,0.310363,0.464848,-0.829211
0.128054,0.432745,-0.103791,-1.856592,-1.491013,-1.711504,0.290724,0.487574,-0.823257
0.100792,0.398271,-0.142546,-1.668302,-1.695650,-1.662277,0.269126,0.506713,-0.819032
0.083661,0.345142,-0.186714,-1.737094,-1.798861,-1.734352,0.245899,0.524991,-0.814812
0.084959,0.312103,-0.269061,-1.863829,-1.731834,-1.818185,0.221834,0.543930,-0.809277
0.095595,0.309835,-0.383508,-1.824271,-1.587180,-1.804899,0.198228,0.562831,-0.802451
0.100102,0.343888,-0.455797,-1.573425,-1.316575,-1.642487,0.176539,0.579834,-0.795378
0.115860,0.380134,-0.541257,-1.195703,-1.056927,-1.345166,0.158294,0.593423,-0.789172
0.141753,0.410078,-0.531421,-0.805408,-0.937259,-0.996133,0.143403,0.603106,-0.784665
0.161127,0.401117,-0.466268,-0.486392,-0.866332,-0.662002,0.131262,0.609290,-0.782008
0.166740,0.349301,-0.432420,-0.290966,-0.817122,-0.395363,0.121468,0.612949,-0.780730
0.148888,0.292526,-0.397359,-0.207881,-0.835119,-0.233246,0.113075,0.615235,-0.780193
0.095030,0.216433,-0.362129,-0.162139,-0.707354,-0.175941,0.105699,0.616895,-0.779915
0.032302,0.145654,-0.378383,-0.136125,-0.496635,-0.175378,0.099900,0.618232,-0.779622
