ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
-0.058295,0.339638,-0.597870,3.911589,0.098984,-0.487925,-0.675576,0.012565,-0.737183
-0.043868,0.388021,-0.658064,4.883629,0.034652,-0.541379,-0.675050,-0.023504,-0.737398
-0.044150,0.431710,-0.660497,5.924026,-0.019655,-0.526663,-0.674767,-0.067193,-0.734965
-0.095878,0.514705,-0.595984,6.857677,-0.049674,-0.425328,-0.674584,-0.117610,-0.728769
-0.159747,0.594681,-0.442903,7.484715,-0.107057,-0.287928,-0.674619,-0.172379,-0.717757
-0.187077,0.604642,-0.242787,7.703841,-0.156930,-0.182514,-0.675120,-0.228361,-0.701473
-0.156605,0.534240,-0.069782,7.519694,-0.116708,-0.129542,-0.675732,-0.282485,-0.680874
-0.110772,0.420845,0.084897,6.996447,-0.011249,-0.123476,-0.675819,-0.332329,-0.657895
-0.061300,0.303405,0.236237,6.235705,0.214680,-0.151984,-0.674738,-0.376357,-0.634888
0.002043,0.203992,0.354224,5.345724,0.601982,-0.179740,-0.671568,-0.413907,-0.614555
0.061739,0.113967,0.445148,4.398298,1.049007,-0.184420,-0.665743,-0.444869,-0.599064
0.088259,0.031282,0.563476,3.436506,1.415129,-0.189623,-0.657473,-0.469515,-0.589309
0.105488,-0.033873,0.703608,2.478142,1.651013,-0.207349,-0.647434,-0.488268,-0.585170
0.124647,-0.068911,0.829783,1.530722,1.838618,-0.225455,-0.636076,-0.501462,-0.586467
0.157083,-0.090019,0.923707,0.605773,1.980727,-0.236383,-0.623544,-0.509255,-0.593171
0.182750,-0.094866,0.997415,-0.269192,2.036999,-0.208083,-0.610256,-0.511625,-0.604837
0.199967,-0.079816,1.046158,-1.055935,2.009518,-0.125524,-0.596894,-0.508532,-0.620575
0.211699,-0.044269,1.079893,-1.733817,1.899189,0.008443,-0.584166,-0.500012,-0.639326
0.211735,-0.008620,1.101083,-2.319822,1.714248,0.175193,-0.572788,-0.486207,-0.659936
0.208467,0.016301,1.098803,-2.844610,1.479633,0.351466,-0.563264,-0.467274,-0.681460
0.194569,0.035937,1.078827,-3.367363,1.248690,0.532143,-0.555806,-0.443164,-0.703339
0.175008,0.050252,1.037408,-3.940946,1.022546,0.703215,-0.550298,-0.413488,-0.725396
0.166209,0.066875,0.982817,-4.574831,0.764129,0.860565,-0.546794,-0.377635,-0.747267
0.159281,0.097258,0.917263,-5.228728,0.451290,0.949219,-0.545404,-0.335265,-0.768200
0.137882,0.124707,0.815788,-5.841853,0.056590,0.929587,-0.546329,-0.286725,-0.786965
0.106520,0.146330,0.691132,-6.324242,-0.437733,0.828023,-0.550123,-0.233138,-0.801880
0.066088,0.173510,0.556222,-6.602903,-0.986215,0.667525,-0.557452,-0.176379,-0.811257
0.015706,0.206450,0.409898,-6.652201,-1.514749,0.477201,-0.568547,-0.118803,-0.814027
-0.039200,0.253310,0.270995,-6.459902,-1.983414,0.264098,-0.583237,-0.062956,-0.809859
-0.094402,0.298564,0.113071,-6.035883,-2.288939,0.044466,-0.600697,-0.011348,-0.799396
-0.143906,0.328712,-0.080713,-5.424435,-2.359921,-0.112568,-0.619354,0.034142,-0.784369
-0.179119,0.355191,-0.252843,-4.713584,-2.221403,-0.198566,-0.637410,0.072726,-0.767085
-0.192808,0.354242,-0.410089,-3.973028,-1.958073,-0.220786,-0.653582,0.104483,-0.749609
-0.190918,0.346114,-0.527225,-3.276853,-1.639552,-0.218366,-0.667266,0.130036,-0.733380
-0.183752,0.330181,-0.622975,-2.631610,-1.314031,-0.237074,-0.678370,0.150059,-0.719234
-0.182200,0.300481,-0.697333,-2.029976,-1.008731,-0.262680,-0.687094,0.165049,-0.707574
-0.184127,0.283037,-0.727807,-1.442699,-0.714991,-0.277114,-0.693650,0.175459,-0.698616
-0.184815,0.262262,-0.732870,-0.863311,-0.438890,-0.275512,-0.698181,0.181570,-0.692514
-0.181873,0.240738,-0.696581,-0.342287,-0.183510,-0.246494,-0.700817,0.183869,-0.689237
-0.164020,0.237147,-0.620236,0.041354,0.005439,-0.199011,-0.701810,0.183263,-0.688388
-0.141144,0.238967,-0.522753,0.258105,0.103199,-0.152935,-0.701721,0.180909,-0.689100
-0.119908,0.221061,-0.431976,0.337694,0.159996,-0.115645,-0.701045,0.177849,-0.690583
-0.101791,0.179385,-0.367803,0.335654,0.227853,-0.075739,-0.699875,0.174802,-0.692545
-0.081113,0.134281,-0.322874,0.289090,0.292095,-0.045336,-0.698153,0.172192,-0.694933
-0.059254,0.089460,-0.273120,0.243057,0.328044,-0.030552,-0.696026,0.170077,-0.697583
-0.040141,0.040548,-0.230645,0.237452,0.337822,-0.038416,-0.693746,0.168177,-0.700309
-0.029257,-0.004581,-0.194953,0.275549,0.355484,-0.061891,-0.691386,0.166034,-0.703149
-0.017333,-0.030034,-0.167874,0.333949,0.362139,-0.093656,-0.688951,0.163335,-0.706165
-0.006745,-0.034664,-0.138013,0.393296,0.339037,-0.125337,-0.686630,0.159985,-0.709186
-0.016565,-0.029617,-0.111091,0.439066,0.335548,-0.157279,-0.684470,0.156021,-0.712151
