ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
0.183497,0.313631,-0.644737,1.213562,2.646892,-0.082381,0.401616,-0.169817,-0.899926
0.188584,0.331205,-0.750687,1.636363,2.756828,-0.103754,0.426131,-0.182203,-0.886123
0.164325,0.347102,-0.766233,2.086406,2.643258,-0.149080,0.450390,-0.198100,-0.870577
0.196519,0.316810,-0.753868,2.490755,2.174799,-0.188584,0.471862,-0.217200,-0.854500
0.211690,0.253857,-0.687318,2.829778,1.368879,-0.205443,0.487575,-0.238934,-0.839751
0.206815,0.201030,-0.571277,3.112062,0.363360,-0.193303,0.495394,-0.262874,-0.827938
0.209655,0.185990,-0.448068,3.339272,-0.552215,-0.174409,0.494981,-0.288697,-0.819541
0.189398,0.160336,-0.353423,3.511398,-1.245489,-0.207764,0.488122,-0.315900,-0.813599
0.127962,0.121717,-0.195996,3.593535,-1.742148,-0.258532,0.476546,-0.343747,-0.809161
0.073077,0.102894,0.007633,3.555666,-1.988737,-0.288171,0.462277,-0.371464,-0.805180
0.032667,0.066349,0.224179,3.396060,-1.958642,-0.286221,0.447252,-0.398213,-0.800870
-0.044667,-0.009673,0.435391,3.131475,-1.503244,-0.234499,0.434240,-0.423235,-0.795178
-0.132119,-0.078204,0.614057,2.829283,-0.743962,-0.150731,0.426003,-0.446103,-0.787091
-0.246646,-0.119381,0.826872,2.521269,0.259136,-0.048295,0.424441,-0.466709,-0.775907
-0.379443,-0.157734,0.971776,2.206424,1.332934,0.037656,0.430605,-0.484967,-0.761174
-0.513777,-0.204616,1.039966,1.865871,2.293193,0.152114,0.443968,-0.500798,-0.743030
-0.536713,-0.170236,1.125346,1.477242,2.982042,0.275355,0.462448,-0.514136,-0.722362
-0.555090,-0.161484,1.222538,1.014940,3.369609,0.344366,0.483648,-0.524582,-0.700641
-0.618461,-0.195579,1.281763,0.486093,3.545284,0.353559,0.505821,-0.531594,-0.679377
-0.660119,-0.197379,1.302298,-0.161808,3.538184,0.261482,0.528054,-0.534402,-0.659979
-0.655706,-0.153679,1.305575,-0.995763,3.490336,0.069244,0.550161,-0.531608,-0.643984
-0.580470,-0.073170,1.228345,-1.975975,3.476756,-0.158621,0.572749,-0.521862,-0.632154
-0.459686,0.064009,1.075317,-2.953987,3.428588,-0.411491,0.596039,-0.504607,-0.624588
-0.325071,0.149597,0.864253,-3.628278,3.307923,-0.747676,0.620023,-0.480362,-0.620341
-0.184142,0.170538,0.560702,-4.074036,2.952393,-1.022593,0.643767,-0.450597,-0.618487
0.004095,0.191657,0.404739,-4.235199,2.550014,-1.175182,0.665720,-0.417350,-0.618575
0.132099,0.238179,0.116500,-4.165509,2.080511,-1.163275,0.684918,-0.383092,-0.619781
0.256178,0.273219,-0.123599,-3.858999,1.534000,-1.063226,0.700334,-0.350199,-0.622007
0.361530,0.277786,-0.250778,-3.475739,0.988185,-0.957616,0.711636,-0.320022,-0.625428
0.420619,0.287522,-0.354933,-3.121350,0.534717,-0.844684,0.719166,-0.292710,-0.630175
0.438918,0.293717,-0.453896,-2.773470,0.260636,-0.722594,0.723833,-0.268265,-0.635689
0.445218,0.282354,-0.548734,-2.384194,0.105090,-0.620081,0.726718,-0.246801,-0.641070
0.455584,0.277880,-0.563921,-1.995183,0.000302,-0.534761,0.728422,-0.228411,-0.645933
0.439670,0.276066,-0.527092,-1.625533,-0.076561,-0.456563,0.729245,-0.212987,-0.650261
0.383755,0.240534,-0.502396,-1.272059,-0.046452,-0.348700,0.729634,-0.200525,-0.653777
0.326509,0.200115,-0.489006,-0.952572,0.048074,-0.220359,0.730193,-0.191113,-0.655968
0.267657,0.167563,-0.439725,-0.672397,0.119294,-0.098705,0.731061,-0.184607,-0.656863
0.210133,0.134263,-0.370540,-0.450104,0.157180,0.001050,0.732066,-0.180574,-0.656865
0.163767,0.092808,-0.304435,-0.263770,0.166386,0.074633,0.733083,-0.178532,-0.656289
0.117037,0.056738,-0.240962,-0.110878,0.123904,0.125206,0.733869,-0.178061,-0.655538
0.077854,0.023781,-0.174689,0.016087,0.067153,0.147358,0.734249,-0.178780,-0.654916
0.036477,-0.003339,-0.111426,0.106573,0.016376,0.147148,0.734245,-0.180301,-0.654505
-0.005445,-0.021978,-0.056125,0.152641,-0.013517,0.129267,0.733991,-0.182200,-0.654263
-0.035824,-0.027272,-0.013775,0.153054,-0.017787,0.093534,0.733670,-0.184062,-0.654102
-0.049426,-0.040163,0.015423,0.113446,-0.041192,0.035371,0.733371,-0.185438,-0.654049
-0.048069,-0.056159,0.048648,0.058823,-0.102023,-0.040992,0.732914,-0.185983,-0.654407
-0.047742,-0.063621,0.087184,-0.005675,-0.142171,-0.106407,0.732236,-0.185616,-0.655268
-0.055761,-0.054546,0.104059,-0.093926,-0.109214,-0.156550,0.731618,-0.184331,-0.656321
-0.060247,-0.039859,0.096144,-0.186562,-0.010308,-0.195053,0.731527,-0.182111,-0.657042
-0.064438,-0.036230,0.085366,-0.267798,0.127024,-0.226571,0.732285,-0.179056,-0.657037
