ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
0.024956,0.046314,-0.032398,-1.464696,-1.278989,-1.632619,-0.068306,0.457715,-0.886471
0.045933,0.033301,-0.041119,-1.796648,-1.583750,-1.902173,-0.089284,0.470727,-0.877750
0.058877,0.145657,-0.125301,-2.227503,-1.846974,-2.101088,-0.114022,0.486270,-0.866337
0.052436,0.318309,-0.268200,-2.668823,-2.019183,-2.248436,-0.141639,0.504673,-0.851612
0.023617,0.507146,-0.448355,-2.897225,-2.068450,-2.411766,-0.171032,0.524791,-0.833872
0.017005,0.689958,-0.592390,-2.682048,-2.134335,-2.675100,-0.202063,0.543425,-0.814776
0.022768,0.784052,-0.638342,-1.973434,-2.136083,-3.072980,-0.235308,0.556204,-0.797037
-0.000828,0.727798,-0.708399,-1.054709,-2.313249,-3.475699,-0.270961,0.559952,-0.782965
-0.056273,0.655143,-0.630892,0.094322,-2.595656,-3.629295,-0.310441,0.553399,-0.772901
-0.045392,0.623768,-0.592588,1.432442,-2.474617,-3.684814,-0.350268,0.535381,-0.768557
0.080538,0.488923,-0.628037,2.840041,-2.140437,-3.664876,-0.387468,0.505172,-0.771149
0.191845,0.374578,-0.516939,4.147711,-1.791323,-3.570727,-0.420422,0.463083,-0.780256
0.311621,0.252940,-0.393888,5.090471,-1.744311,-3.307175,-0.449408,0.411168,-0.793078
0.410492,0.149898,-0.226746,5.518525,-1.799158,-2.787690,-0.475540,0.354024,-0.805313
0.519425,0.082122,-0.115676,5.572894,-1.733085,-2.007099,-0.497895,0.296891,-0.814835
0.635936,0.014895,0.026756,5.399481,-1.545769,-1.081778,-0.515681,0.243711,-0.821388
0.705614,-0.105459,0.238187,4.960780,-1.266227,-0.087581,-0.528688,0.197592,-0.825498
0.657002,-0.201431,0.373091,4.319778,-0.943680,0.794268,-0.537159,0.160934,-0.827986
0.569426,-0.304720,0.492478,3.631273,-0.770293,1.422923,-0.542540,0.133929,-0.829285
0.516957,-0.402623,0.649276,2.929493,-0.726701,1.658707,-0.546773,0.115117,-0.829330
0.456175,-0.588190,0.716973,2.243965,-0.794484,1.597839,-0.551283,0.102640,-0.827980
0.370234,-0.696002,0.742002,1.640608,-0.911321,1.397649,-0.556865,0.094912,-0.825163
0.321434,-0.686581,0.783323,1.152871,-1.023397,1.199510,-0.563682,0.090695,-0.820997
0.292796,-0.622119,0.822514,0.739810,-1.064276,1.109886,-0.571285,0.089465,-0.815861
0.258734,-0.524574,0.825740,0.375867,-0.958374,1.177894,-0.578619,0.091484,-0.810451
0.222328,-0.398025,0.783459,0.071824,-0.643768,1.345234,-0.584037,0.097045,-0.805905
0.191564,-0.291664,0.725646,-0.195353,-0.187911,1.578454,-0.585943,0.106117,-0.803374
0.161761,-0.203428,0.679505,-0.502787,0.266218,1.882249,-0.583636,0.119063,-0.803239
0.127272,-0.109322,0.643266,-0.882577,0.594564,2.214600,-0.577452,0.136590,-0.804918
0.081959,-0.034450,0.626821,-1.355698,0.822427,2.523720,-0.568150,0.159283,-0.807363
0.019515,0.052409,0.573840,-1.877471,1.008970,2.751233,-0.556059,0.187398,-0.809741
-0.037045,0.146311,0.478883,-2.332218,1.150755,2.793550,-0.541523,0.220007,-0.811388
-0.092403,0.179314,0.407547,-2.626128,1.214815,2.608083,-0.525333,0.254921,-0.811813
-0.148071,0.164518,0.371436,-2.721556,1.196444,2.246973,-0.508790,0.289507,-0.810752
-0.194540,0.138350,0.347239,-2.662691,1.101896,1.802424,-0.493174,0.321687,-0.808268
-0.223170,0.124256,0.325444,-2.534303,0.942240,1.352425,-0.479528,0.350490,-0.804494
-0.235518,0.129683,0.305114,-2.426127,0.781016,0.948955,-0.468431,0.375932,-0.799529
-0.239370,0.153500,0.256749,-2.414839,0.693277,0.672245,-0.459422,0.399005,-0.793553
-0.241808,0.226049,0.175603,-2.466895,0.628552,0.501068,-0.451795,0.421061,-0.786504
-0.236281,0.288364,0.124113,-2.499375,0.620218,0.348636,-0.445070,0.442547,-0.778502
-0.222461,0.298921,0.076205,-2.460200,0.646146,0.210613,-0.438885,0.463133,-0.769992
-0.190057,0.288947,0.045626,-2.346917,0.681562,0.108396,-0.433035,0.482369,-0.761446
-0.156087,0.278679,0.018728,-2.178998,0.719227,0.047392,-0.427333,0.499946,-0.753286
-0.143325,0.254446,-0.014146,-1.987947,0.764638,-0.001009,-0.421632,0.515757,-0.745803
-0.134652,0.215310,-0.042236,-1.805011,0.810057,-0.047346,-0.415885,0.529807,-0.739151
-0.115527,0.181339,-0.059851,-1.666924,0.870310,-0.065248,-0.409986,0.542385,-0.733301
-0.100348,0.166812,-0.085346,-1.579453,0.925983,-0.058039,-0.403727,0.554044,-0.728038
-0.099061,0.143014,-0.104485,-1.524166,0.966393,-0.037862,-0.397094,0.565147,-0.723136
-0.088405,0.130812,-0.125968,-1.505334,0.927444,0.011657,-0.390264,0.576082,-0.718209
-0.084503,0.157810,-0.147451,-1.458956,0.877431,0.023383,-0.383652,0.586864,-0.713023
